seqnames	start	end	strand	transcript_id	type	gene_id
chr11	610	707	+	ENST00000425380.7	UTR	NA
chr11	707	1558	+	ENST00000425380.7	intron	NA
chr11	1558	1607	+	ENST00000425380.7	UTR	NA
chr11	1607	2129	+	ENST00000425380.7	intron	NA
chr11	2129	2153	+	ENST00000425380.7	UTR	NA
chr11	2154	3056	+	ENST00000425380.7	CDS	ENSG00000198331.11
chr11	3057	3431	+	ENST00000425380.7	UTR	NA
chr11	2	707	+	ONT11.5767.9443	UTR	NA
chr11	707	1558	+	ONT11.5767.9443	intron	NA
chr11	1558	1607	+	ONT11.5767.9443	UTR	NA
chr11	1607	2129	+	ONT11.5767.9443	intron	NA
chr11	2129	2153	+	ONT11.5767.9443	UTR	NA
chr11	2154	3053	+	ONT11.5767.9443	CDS	HYLS1
chr11	3054	3431	+	ONT11.5767.9443	UTR	NA
chr11	13	707	+	ONT11.5767.9444	UTR	NA
chr11	707	2129	+	ONT11.5767.9444	intron	NA
chr11	2129	2153	+	ONT11.5767.9444	UTR	NA
chr11	2154	3053	+	ONT11.5767.9444	CDS	HYLS1
chr11	3054	3431	+	ONT11.5767.9444	UTR	NA
chr11	47	707	+	ONT11.5767.9449	UTR	NA
chr11	707	1558	+	ONT11.5767.9449	intron	NA
chr11	1558	1607	+	ONT11.5767.9449	UTR	NA
chr11	1607	2129	+	ONT11.5767.9449	intron	NA
chr11	2129	2153	+	ONT11.5767.9449	UTR	NA
chr11	2154	3053	+	ONT11.5767.9449	CDS	HYLS1
chr11	3054	3431	+	ONT11.5767.9449	UTR	NA
chr11	113	707	+	ONT11.5767.9450	UTR	NA
chr11	707	1558	+	ONT11.5767.9450	intron	NA
chr11	1558	1607	+	ONT11.5767.9450	UTR	NA
chr11	1607	2132	+	ONT11.5767.9450	intron	NA
chr11	2132	2153	+	ONT11.5767.9450	UTR	NA
chr11	2154	3053	+	ONT11.5767.9450	CDS	HYLS1
chr11	3054	3431	+	ONT11.5767.9450	UTR	NA
chr11	152	707	+	ONT11.5767.9451	UTR	NA
chr11	707	2129	+	ONT11.5767.9451	intron	NA
chr11	2129	2153	+	ONT11.5767.9451	UTR	NA
chr11	2154	3053	+	ONT11.5767.9451	CDS	HYLS1
chr11	3054	3431	+	ONT11.5767.9451	UTR	NA
chr11	173	707	+	ONT11.5767.9454	UTR	NA
chr11	707	1558	+	ONT11.5767.9454	intron	NA
chr11	1558	1607	+	ONT11.5767.9454	UTR	NA
chr11	1607	2129	+	ONT11.5767.9454	intron	NA
chr11	2129	2153	+	ONT11.5767.9454	UTR	NA
chr11	2154	3053	+	ONT11.5767.9454	CDS	HYLS1
chr11	3054	3431	+	ONT11.5767.9454	UTR	NA
chr11	367	707	+	ONT11.5767.9456	UTR	NA
chr11	707	2132	+	ONT11.5767.9456	intron	NA
chr11	2132	2153	+	ONT11.5767.9456	UTR	NA
chr11	2154	3053	+	ONT11.5767.9456	CDS	HYLS1
chr11	3054	3431	+	ONT11.5767.9456	UTR	NA
chr11	378	707	+	ONT11.5767.9457	UTR	NA
chr11	707	1558	+	ONT11.5767.9457	intron	NA
chr11	1558	1607	+	ONT11.5767.9457	UTR	NA
chr11	1607	2129	+	ONT11.5767.9457	intron	NA
chr11	2129	2153	+	ONT11.5767.9457	UTR	NA
chr11	2154	3053	+	ONT11.5767.9457	CDS	HYLS1
chr11	3054	3431	+	ONT11.5767.9457	UTR	NA
chr11	546	707	+	ONT11.5767.9460	UTR	NA
chr11	707	2129	+	ONT11.5767.9460	intron	NA
chr11	2129	2153	+	ONT11.5767.9460	UTR	NA
chr11	2154	3053	+	ONT11.5767.9460	CDS	HYLS1
chr11	3054	3431	+	ONT11.5767.9460	UTR	NA
chr11	521	707	+	ONT11.5767.9461	UTR	NA
chr11	707	1558	+	ONT11.5767.9461	intron	NA
chr11	1558	1607	+	ONT11.5767.9461	UTR	NA
chr11	1607	2129	+	ONT11.5767.9461	intron	NA
chr11	2129	2153	+	ONT11.5767.9461	UTR	NA
chr11	2154	3053	+	ONT11.5767.9461	CDS	HYLS1
chr11	3054	3431	+	ONT11.5767.9461	UTR	NA
chr11	587	707	+	ONT11.5767.9465	UTR	NA
chr11	707	2129	+	ONT11.5767.9465	intron	NA
chr11	2129	2153	+	ONT11.5767.9465	UTR	NA
chr11	2154	3053	+	ONT11.5767.9465	CDS	HYLS1
chr11	3054	3431	+	ONT11.5767.9465	UTR	NA
chr11	617	707	+	ONT11.5767.9466	UTR	NA
chr11	707	1558	+	ONT11.5767.9466	intron	NA
chr11	1558	1607	+	ONT11.5767.9466	UTR	NA
chr11	1607	2129	+	ONT11.5767.9466	intron	NA
chr11	2129	2153	+	ONT11.5767.9466	UTR	NA
chr11	2154	3053	+	ONT11.5767.9466	CDS	HYLS1
chr11	3054	3431	+	ONT11.5767.9466	UTR	NA
chr11	610	707	+	ONT11.5767.9467	UTR	NA
chr11	707	1558	+	ONT11.5767.9467	intron	NA
chr11	1558	1607	+	ONT11.5767.9467	UTR	NA
chr11	1607	2129	+	ONT11.5767.9467	intron	NA
chr11	2129	2153	+	ONT11.5767.9467	UTR	NA
chr11	2154	3053	+	ONT11.5767.9467	CDS	HYLS1
chr11	3054	3270	+	ONT11.5767.9467	UTR	NA
chr11	615	707	+	ONT11.5767.9469	UTR	NA
chr11	707	2102	+	ONT11.5767.9469	intron	NA
chr11	2102	2153	+	ONT11.5767.9469	UTR	NA
chr11	2154	3053	+	ONT11.5767.9469	CDS	HYLS1
chr11	3054	3431	+	ONT11.5767.9469	UTR	NA
chr11	588	707	+	ONT11.5767.9471	UTR	NA
chr11	707	2084	+	ONT11.5767.9471	intron	NA
chr11	2084	2153	+	ONT11.5767.9471	UTR	NA
chr11	2154	3053	+	ONT11.5767.9471	CDS	HYLS1
chr11	3054	3414	+	ONT11.5767.9471	UTR	NA
chr11	619	707	+	ONT11.5767.9475	UTR	NA
chr11	707	1558	+	ONT11.5767.9475	intron	NA
chr11	1558	1607	+	ONT11.5767.9475	UTR	NA
chr11	1607	1929	+	ONT11.5767.9475	intron	NA
chr11	1929	1983	+	ONT11.5767.9475	UTR	NA
chr11	1983	2129	+	ONT11.5767.9475	intron	NA
chr11	2129	2153	+	ONT11.5767.9475	UTR	NA
chr11	2154	3053	+	ONT11.5767.9475	CDS	HYLS1
chr11	3054	3430	+	ONT11.5767.9475	UTR	NA
chr11	643	707	+	ONT11.5767.9477	UTR	NA
chr11	707	1558	+	ONT11.5767.9477	intron	NA
chr11	1558	1607	+	ONT11.5767.9477	UTR	NA
chr11	1607	2129	+	ONT11.5767.9477	intron	NA
chr11	2129	2153	+	ONT11.5767.9477	UTR	NA
chr11	2154	3053	+	ONT11.5767.9477	CDS	HYLS1
chr11	3054	3128	+	ONT11.5767.9477	UTR	NA
chr11	610	707	+	ONT11.5767.9481	UTR	NA
chr11	707	1558	+	ONT11.5767.9481	intron	NA
chr11	1558	1607	+	ONT11.5767.9481	UTR	NA
chr11	1607	1708	+	ONT11.5767.9481	intron	NA
chr11	1708	1828	+	ONT11.5767.9481	UTR	NA
chr11	1828	2129	+	ONT11.5767.9481	intron	NA
chr11	2129	2153	+	ONT11.5767.9481	UTR	NA
chr11	2154	3053	+	ONT11.5767.9481	CDS	HYLS1
chr11	3054	3431	+	ONT11.5767.9481	UTR	NA
chr11	610	707	+	ONT11.5767.9487	UTR	NA
chr11	707	1543	+	ONT11.5767.9487	intron	NA
chr11	1543	1607	+	ONT11.5767.9487	UTR	NA
chr11	1607	2129	+	ONT11.5767.9487	intron	NA
chr11	2129	2153	+	ONT11.5767.9487	UTR	NA
chr11	2154	3053	+	ONT11.5767.9487	CDS	HYLS1
chr11	3054	3431	+	ONT11.5767.9487	UTR	NA
chr11	642	707	+	ONT11.5767.9489	UTR	NA
chr11	707	1569	+	ONT11.5767.9489	intron	NA
chr11	1569	1607	+	ONT11.5767.9489	UTR	NA
chr11	1607	2129	+	ONT11.5767.9489	intron	NA
chr11	2129	2153	+	ONT11.5767.9489	UTR	NA
chr11	2154	3053	+	ONT11.5767.9489	CDS	HYLS1
chr11	3054	3435	+	ONT11.5767.9489	UTR	NA
chr11	621	707	+	ONT11.5767.9492	UTR	NA
chr11	707	1558	+	ONT11.5767.9492	intron	NA
chr11	1558	1607	+	ONT11.5767.9492	UTR	NA
chr11	1607	2141	+	ONT11.5767.9492	intron	NA
chr11	2141	2153	+	ONT11.5767.9492	UTR	NA
chr11	2154	3053	+	ONT11.5767.9492	CDS	HYLS1
chr11	3054	3431	+	ONT11.5767.9492	UTR	NA
chr11	644	707	+	ONT11.5767.9494	UTR	NA
chr11	707	2091	+	ONT11.5767.9494	intron	NA
chr11	2091	2153	+	ONT11.5767.9494	UTR	NA
chr11	2154	3053	+	ONT11.5767.9494	CDS	HYLS1
chr11	3054	3431	+	ONT11.5767.9494	UTR	NA
