seqnames	start	end	strand	transcript_id	type	gene_id
chr3	2	1370	-	ENST00000327047.6	UTR	NA
chr3	1371	1636	-	ENST00000327047.6	CDS	ENSG00000163646.12
chr3	1636	1737	-	ENST00000327047.6	intron	ENSG00000163646.12
chr3	1737	1916	-	ENST00000327047.6	CDS	ENSG00000163646.12
chr3	1916	2017	-	ENST00000327047.6	intron	ENSG00000163646.12
chr3	2017	2272	-	ENST00000327047.6	CDS	ENSG00000163646.12
chr3	2273	2288	-	ENST00000327047.6	UTR	NA
chr3	2	1636	-	ENST00000327047.6	exon	ENSG00000163646.12
chr3	1636	1737	-	ENST00000327047.6	intron	ENSG00000163646.12
chr3	1737	1916	-	ENST00000327047.6	exon	ENSG00000163646.12
chr3	1916	2017	-	ENST00000327047.6	intron	ENSG00000163646.12
chr3	2017	2288	-	ENST00000327047.6	exon	ENSG00000163646.12
