seqnames	start	end	strand	transcript_id	type	gene_id
chr11	19	78	-	ENST00000317459.11	UTR	NA
chr11	79	170	-	ENST00000317459.11	CDS	ENSG00000149743.14
chr11	170	303	-	ENST00000317459.11	intron	ENSG00000149743.14
chr11	303	413	-	ENST00000317459.11	CDS	ENSG00000149743.14
chr11	413	488	-	ENST00000317459.11	intron	ENSG00000149743.14
chr11	488	544	-	ENST00000317459.11	CDS	ENSG00000149743.14
chr11	544	746	-	ENST00000317459.11	intron	ENSG00000149743.14
chr11	746	920	-	ENST00000317459.11	CDS	ENSG00000149743.14
chr11	920	1004	-	ENST00000317459.11	intron	ENSG00000149743.14
chr11	1004	1173	-	ENST00000317459.11	CDS	ENSG00000149743.14
chr11	1173	1702	-	ENST00000317459.11	intron	ENSG00000149743.14
chr11	1702	1783	-	ENST00000317459.11	CDS	ENSG00000149743.14
chr11	1783	1989	-	ENST00000317459.11	intron	ENSG00000149743.14
chr11	1989	2066	-	ENST00000317459.11	CDS	ENSG00000149743.14
chr11	2067	2072	-	ENST00000317459.11	UTR	NA
chr11	2072	2253	-	ENST00000317459.11	intron	NA
chr11	2253	2389	-	ENST00000317459.11	UTR	NA
chr11	36	81	-	ONT11.3448.36900	UTR	NA
chr11	82	170	-	ONT11.3448.36900	CDS	TRPT1
chr11	170	303	-	ONT11.3448.36900	intron	TRPT1
chr11	303	413	-	ONT11.3448.36900	CDS	TRPT1
chr11	413	488	-	ONT11.3448.36900	intron	TRPT1
chr11	488	544	-	ONT11.3448.36900	CDS	TRPT1
chr11	544	746	-	ONT11.3448.36900	intron	TRPT1
chr11	746	920	-	ONT11.3448.36900	CDS	TRPT1
chr11	920	1004	-	ONT11.3448.36900	intron	TRPT1
chr11	1004	1173	-	ONT11.3448.36900	CDS	TRPT1
chr11	1173	1702	-	ONT11.3448.36900	intron	TRPT1
chr11	1702	1714	-	ONT11.3448.36900	CDS	TRPT1
chr11	1715	1783	-	ONT11.3448.36900	UTR	NA
chr11	1783	2394	-	ONT11.3448.36900	intron	NA
chr11	2394	2445	-	ONT11.3448.36900	UTR	NA
chr11	42	81	-	ONT11.3448.36901	UTR	NA
chr11	82	170	-	ONT11.3448.36901	CDS	TRPT1
chr11	170	303	-	ONT11.3448.36901	intron	TRPT1
chr11	303	413	-	ONT11.3448.36901	CDS	TRPT1
chr11	413	488	-	ONT11.3448.36901	intron	TRPT1
