seqnames	start	end	strand	transcript_id	type	gene_id
chr3	894	1082	-	ENST00000283290.10	UTR	NA
chr3	1083	1164	-	ENST00000283290.10	CDS	ENSG00000144848.11
chr3	1164	2653	-	ENST00000283290.10	intron	ENSG00000144848.11
chr3	2653	2721	-	ENST00000283290.10	CDS	ENSG00000144848.11
chr3	2721	4859	-	ENST00000283290.10	intron	ENSG00000144848.11
chr3	4859	4986	-	ENST00000283290.10	CDS	ENSG00000144848.11
chr3	4986	5087	-	ENST00000283290.10	intron	ENSG00000144848.11
chr3	5087	5242	-	ENST00000283290.10	CDS	ENSG00000144848.11
chr3	5242	5372	-	ENST00000283290.10	intron	ENSG00000144848.11
chr3	5372	5406	-	ENST00000283290.10	CDS	ENSG00000144848.11
chr3	5406	5532	-	ENST00000283290.10	intron	ENSG00000144848.11
chr3	5532	5613	-	ENST00000283290.10	CDS	ENSG00000144848.11
chr3	5613	7786	-	ENST00000283290.10	intron	ENSG00000144848.11
chr3	7786	7835	-	ENST00000283290.10	CDS	ENSG00000144848.11
chr3	7835	7991	-	ENST00000283290.10	intron	ENSG00000144848.11
chr3	7991	8098	-	ENST00000283290.10	CDS	ENSG00000144848.11
chr3	8098	8211	-	ENST00000283290.10	intron	ENSG00000144848.11
chr3	8211	8281	-	ENST00000283290.10	CDS	ENSG00000144848.11
chr3	8281	8387	-	ENST00000283290.10	intron	ENSG00000144848.11
chr3	8387	8436	-	ENST00000283290.10	CDS	ENSG00000144848.11
chr3	8436	8560	-	ENST00000283290.10	intron	ENSG00000144848.11
chr3	8560	8601	-	ENST00000283290.10	CDS	ENSG00000144848.11
chr3	8601	9114	-	ENST00000283290.10	intron	ENSG00000144848.11
chr3	9114	9188	-	ENST00000283290.10	CDS	ENSG00000144848.11
chr3	9189	9619	-	ENST00000283290.10	UTR	NA
chr3	898	1164	-	ONT3.5627.1015	UTR	NA
chr3	1164	2653	-	ONT3.5627.1015	intron	NA
chr3	2653	2721	-	ONT3.5627.1015	UTR	NA
chr3	2721	4859	-	ONT3.5627.1015	intron	NA
chr3	4859	4986	-	ONT3.5627.1015	UTR	NA
chr3	4986	5087	-	ONT3.5627.1015	intron	NA
chr3	5087	5242	-	ONT3.5627.1015	UTR	NA
chr3	5242	5372	-	ONT3.5627.1015	intron	NA
chr3	5372	5406	-	ONT3.5627.1015	UTR	NA
chr3	5406	5532	-	ONT3.5627.1015	intron	NA
chr3	5532	5613	-	ONT3.5627.1015	UTR	NA
chr3	5613	7961	-	ONT3.5627.1015	intron	NA
chr3	7961	7973	-	ONT3.5627.1015	UTR	NA
chr3	7974	8098	-	ONT3.5627.1015	CDS	ATG3
chr3	8098	8211	-	ONT3.5627.1015	intron	ATG3
chr3	8211	8281	-	ONT3.5627.1015	CDS	ATG3
chr3	8281	8387	-	ONT3.5627.1015	intron	ATG3
chr3	8387	8436	-	ONT3.5627.1015	CDS	ATG3
chr3	8436	8560	-	ONT3.5627.1015	intron	ATG3
chr3	8560	8601	-	ONT3.5627.1015	CDS	ATG3
chr3	8601	9114	-	ONT3.5627.1015	intron	ATG3
chr3	9114	9188	-	ONT3.5627.1015	CDS	ATG3
chr3	9189	9592	-	ONT3.5627.1015	UTR	NA
chr3	898	1085	-	ONT3.5627.1016	UTR	NA
chr3	1086	1164	-	ONT3.5627.1016	CDS	ATG3
chr3	1164	2653	-	ONT3.5627.1016	intron	ATG3
chr3	2653	2721	-	ONT3.5627.1016	CDS	ATG3
chr3	2721	4859	-	ONT3.5627.1016	intron	ATG3
chr3	4859	4986	-	ONT3.5627.1016	CDS	ATG3
chr3	4986	5087	-	ONT3.5627.1016	intron	ATG3
chr3	5087	5242	-	ONT3.5627.1016	CDS	ATG3
chr3	5242	5372	-	ONT3.5627.1016	intron	ATG3
chr3	5372	5406	-	ONT3.5627.1016	CDS	ATG3
chr3	5406	5532	-	ONT3.5627.1016	intron	ATG3
chr3	5532	5613	-	ONT3.5627.1016	CDS	ATG3
chr3	5613	7786	-	ONT3.5627.1016	intron	ATG3
chr3	7786	7835	-	ONT3.5627.1016	CDS	ATG3
chr3	7835	8000	-	ONT3.5627.1016	intron	ATG3
chr3	8000	8098	-	ONT3.5627.1016	CDS	ATG3
chr3	8098	8211	-	ONT3.5627.1016	intron	ATG3
chr3	8211	8281	-	ONT3.5627.1016	CDS	ATG3
chr3	8281	8387	-	ONT3.5627.1016	intron	ATG3
chr3	8387	8436	-	ONT3.5627.1016	CDS	ATG3
chr3	8436	8560	-	ONT3.5627.1016	intron	ATG3
chr3	8560	8601	-	ONT3.5627.1016	CDS	ATG3
chr3	8601	9114	-	ONT3.5627.1016	intron	ATG3
chr3	9114	9188	-	ONT3.5627.1016	CDS	ATG3
chr3	9189	9563	-	ONT3.5627.1016	UTR	NA
chr3	898	1164	-	ONT3.5627.1035	UTR	NA
chr3	1164	2653	-	ONT3.5627.1035	intron	NA
chr3	2653	4785	-	ONT3.5627.1035	UTR	NA
chr3	4786	4986	-	ONT3.5627.1035	CDS	ATG3
chr3	4986	5087	-	ONT3.5627.1035	intron	ATG3
chr3	5087	5242	-	ONT3.5627.1035	CDS	ATG3
chr3	5242	5372	-	ONT3.5627.1035	intron	ATG3
chr3	5372	5406	-	ONT3.5627.1035	CDS	ATG3
chr3	5406	5532	-	ONT3.5627.1035	intron	ATG3
chr3	5532	5613	-	ONT3.5627.1035	CDS	ATG3
chr3	5613	7786	-	ONT3.5627.1035	intron	ATG3
chr3	7786	7835	-	ONT3.5627.1035	CDS	ATG3
chr3	7835	7991	-	ONT3.5627.1035	intron	ATG3
chr3	7991	8098	-	ONT3.5627.1035	CDS	ATG3
chr3	8098	8211	-	ONT3.5627.1035	intron	ATG3
chr3	8211	8281	-	ONT3.5627.1035	CDS	ATG3
chr3	8281	8387	-	ONT3.5627.1035	intron	ATG3
chr3	8387	8436	-	ONT3.5627.1035	CDS	ATG3
chr3	8436	8560	-	ONT3.5627.1035	intron	ATG3
chr3	8560	8601	-	ONT3.5627.1035	CDS	ATG3
chr3	8601	9114	-	ONT3.5627.1035	intron	ATG3
chr3	9114	9188	-	ONT3.5627.1035	CDS	ATG3
chr3	9189	9341	-	ONT3.5627.1035	UTR	NA
chr3	898	1110	-	ONT3.5627.1048	UTR	NA
chr3	1111	1164	-	ONT3.5627.1048	CDS	ATG3
chr3	1164	2661	-	ONT3.5627.1048	intron	ATG3
chr3	2661	2721	-	ONT3.5627.1048	CDS	ATG3
chr3	2721	4859	-	ONT3.5627.1048	intron	ATG3
chr3	4859	4986	-	ONT3.5627.1048	CDS	ATG3
chr3	4986	5087	-	ONT3.5627.1048	intron	ATG3
chr3	5087	5242	-	ONT3.5627.1048	CDS	ATG3
chr3	5242	5372	-	ONT3.5627.1048	intron	ATG3
chr3	5372	5406	-	ONT3.5627.1048	CDS	ATG3
chr3	5406	5532	-	ONT3.5627.1048	intron	ATG3
chr3	5532	5613	-	ONT3.5627.1048	CDS	ATG3
chr3	5613	7786	-	ONT3.5627.1048	intron	ATG3
chr3	7786	7835	-	ONT3.5627.1048	CDS	ATG3
chr3	7835	7991	-	ONT3.5627.1048	intron	ATG3
chr3	7991	8075	-	ONT3.5627.1048	CDS	ATG3
chr3	8076	8098	-	ONT3.5627.1048	UTR	NA
chr3	8098	8211	-	ONT3.5627.1048	intron	NA
chr3	8211	8255	-	ONT3.5627.1048	UTR	NA
chr3	898	1085	-	ONT3.5627.1057	UTR	NA
chr3	1086	1155	-	ONT3.5627.1057	CDS	ATG3
chr3	1155	2653	-	ONT3.5627.1057	intron	ATG3
chr3	2653	2721	-	ONT3.5627.1057	CDS	ATG3
chr3	2721	4859	-	ONT3.5627.1057	intron	ATG3
chr3	4859	4986	-	ONT3.5627.1057	CDS	ATG3
chr3	4986	5087	-	ONT3.5627.1057	intron	ATG3
chr3	5087	5242	-	ONT3.5627.1057	CDS	ATG3
chr3	5242	5372	-	ONT3.5627.1057	intron	ATG3
