seqnames	start	end	strand	transcript_id	type	gene_id
chr3	128	178	+	ENST00000283875.6	UTR	NA
chr3	178	1199	+	ENST00000283875.6	intron	NA
chr3	1199	1228	+	ENST00000283875.6	UTR	NA
chr3	1229	1676	+	ENST00000283875.6	CDS	ENSG00000153767.10
chr3	1676	2814	+	ENST00000283875.6	intron	ENSG00000153767.10
chr3	2814	3015	+	ENST00000283875.6	CDS	ENSG00000153767.10
chr3	3015	3169	+	ENST00000283875.6	intron	ENSG00000153767.10
chr3	3169	3410	+	ENST00000283875.6	CDS	ENSG00000153767.10
chr3	3410	3517	+	ENST00000283875.6	intron	ENSG00000153767.10
chr3	3517	3947	+	ENST00000283875.6	CDS	ENSG00000153767.10
chr3	3948	5543	+	ENST00000283875.6	UTR	NA
chr3	2	178	+	ONT3.5760.12633	UTR	NA
chr3	178	1199	+	ONT3.5760.12633	intron	NA
chr3	1199	1228	+	ONT3.5760.12633	UTR	NA
chr3	1229	1676	+	ONT3.5760.12633	CDS	GTF2E1
chr3	1676	2814	+	ONT3.5760.12633	intron	GTF2E1
chr3	2814	3015	+	ONT3.5760.12633	CDS	GTF2E1
chr3	3015	3169	+	ONT3.5760.12633	intron	GTF2E1
chr3	3169	3410	+	ONT3.5760.12633	CDS	GTF2E1
chr3	3410	3517	+	ONT3.5760.12633	intron	GTF2E1
chr3	3517	3944	+	ONT3.5760.12633	CDS	GTF2E1
chr3	3945	5614	+	ONT3.5760.12633	UTR	NA
chr3	129	178	+	ONT3.5760.12636	UTR	NA
chr3	178	1199	+	ONT3.5760.12636	intron	NA
chr3	1199	1228	+	ONT3.5760.12636	UTR	NA
chr3	1229	1676	+	ONT3.5760.12636	CDS	GTF2E1
chr3	1676	2814	+	ONT3.5760.12636	intron	GTF2E1
chr3	2814	3015	+	ONT3.5760.12636	CDS	GTF2E1
chr3	3015	3169	+	ONT3.5760.12636	intron	GTF2E1
chr3	3169	3410	+	ONT3.5760.12636	CDS	GTF2E1
chr3	3410	3517	+	ONT3.5760.12636	intron	GTF2E1
chr3	3517	3944	+	ONT3.5760.12636	CDS	GTF2E1
chr3	3945	5535	+	ONT3.5760.12636	UTR	NA
chr3	73	178	+	ONT3.5760.12639	UTR	NA
chr3	178	1199	+	ONT3.5760.12639	intron	NA
