seqnames	start	end	strand	transcript_id	type	gene_id
chr5	2	6666	-	ENST00000377801.8	UTR	NA
chr5	6667	6820	-	ENST00000377801.8	CDS	ENSG00000182836.10
chr5	6820	6921	-	ENST00000377801.8	intron	ENSG00000182836.10
chr5	6921	7629	-	ENST00000377801.8	CDS	ENSG00000182836.10
chr5	7629	7730	-	ENST00000377801.8	intron	ENSG00000182836.10
chr5	7730	7835	-	ENST00000377801.8	CDS	ENSG00000182836.10
chr5	7836	7907	-	ENST00000377801.8	UTR	NA
chr5	5822	6669	-	ONT5.4141.535	UTR	NA
chr5	6670	6820	-	ONT5.4141.535	CDS	PLCXD3
chr5	6820	6921	-	ONT5.4141.535	intron	PLCXD3
chr5	6921	7629	-	ONT5.4141.535	CDS	PLCXD3
chr5	7629	7730	-	ONT5.4141.535	intron	PLCXD3
chr5	7730	7835	-	ONT5.4141.535	CDS	PLCXD3
chr5	7836	8082	-	ONT5.4141.535	UTR	NA
chr5	5688	6669	-	ONT5.4141.536	UTR	NA
chr5	6670	6820	-	ONT5.4141.536	CDS	PLCXD3
chr5	6820	6921	-	ONT5.4141.536	intron	PLCXD3
chr5	6921	7629	-	ONT5.4141.536	CDS	PLCXD3
chr5	7629	7730	-	ONT5.4141.536	intron	PLCXD3
chr5	7730	7835	-	ONT5.4141.536	CDS	PLCXD3
chr5	7836	7900	-	ONT5.4141.536	UTR	NA
chr5	5724	6669	-	ONT5.4141.538	UTR	NA
chr5	6670	6820	-	ONT5.4141.538	CDS	PLCXD3
chr5	6820	6921	-	ONT5.4141.538	intron	PLCXD3
chr5	6921	7629	-	ONT5.4141.538	CDS	PLCXD3
chr5	7629	7730	-	ONT5.4141.538	intron	PLCXD3
chr5	7730	7835	-	ONT5.4141.538	CDS	PLCXD3
chr5	7836	8002	-	ONT5.4141.538	UTR	NA
chr5	5731	6669	-	ONT5.4141.540	UTR	NA
chr5	6670	6810	-	ONT5.4141.540	CDS	PLCXD3
chr5	6811	6820	-	ONT5.4141.540	UTR	NA
chr5	6820	6921	-	ONT5.4141.540	intron	NA
chr5	6921	7030	-	ONT5.4141.540	UTR	NA
chr5	5731	6669	-	ONT5.4141.543	UTR	NA
chr5	6670	6820	-	ONT5.4141.543	CDS	PLCXD3
chr5	6820	6921	-	ONT5.4141.543	intron	PLCXD3
chr5	6921	7288	-	ONT5.4141.543	CDS	PLCXD3
chr5	7289	7430	-	ONT5.4141.543	UTR	NA
chr5	5731	6669	-	ONT5.4141.544	UTR	NA
chr5	6670	6820	-	ONT5.4141.544	CDS	PLCXD3
chr5	6820	6921	-	ONT5.4141.544	intron	PLCXD3
chr5	6921	7288	-	ONT5.4141.544	CDS	PLCXD3
chr5	7289	7361	-	ONT5.4141.544	UTR	NA
chr5	5745	6669	-	ONT5.4141.549	UTR	NA
chr5	6670	6820	-	ONT5.4141.549	CDS	PLCXD3
chr5	6820	6921	-	ONT5.4141.549	intron	PLCXD3
chr5	6921	7629	-	ONT5.4141.549	CDS	PLCXD3
chr5	7629	7730	-	ONT5.4141.549	intron	PLCXD3
