seqnames	start	end	strand	transcript_id	type	gene_id
chr9	2	414	+	ENST00000291906.5	UTR	NA
chr9	415	438	+	ENST00000291906.5	CDS	ENSG00000160447.7
chr9	438	803	+	ENST00000291906.5	intron	ENSG00000160447.7
chr9	803	1043	+	ENST00000291906.5	CDS	ENSG00000160447.7
chr9	1043	1144	+	ENST00000291906.5	intron	ENSG00000160447.7
chr9	1144	1289	+	ENST00000291906.5	CDS	ENSG00000160447.7
chr9	1289	1390	+	ENST00000291906.5	intron	ENSG00000160447.7
chr9	1390	1501	+	ENST00000291906.5	CDS	ENSG00000160447.7
chr9	1501	1573	+	ENST00000291906.5	intron	ENSG00000160447.7
chr9	1573	1700	+	ENST00000291906.5	CDS	ENSG00000160447.7
chr9	1700	1801	+	ENST00000291906.5	intron	ENSG00000160447.7
chr9	1801	1984	+	ENST00000291906.5	CDS	ENSG00000160447.7
chr9	1984	2085	+	ENST00000291906.5	intron	ENSG00000160447.7
chr9	2085	2231	+	ENST00000291906.5	CDS	ENSG00000160447.7
chr9	2231	2311	+	ENST00000291906.5	intron	ENSG00000160447.7
chr9	2311	2420	+	ENST00000291906.5	CDS	ENSG00000160447.7
chr9	2420	2524	+	ENST00000291906.5	intron	ENSG00000160447.7
chr9	2524	2667	+	ENST00000291906.5	CDS	ENSG00000160447.7
chr9	2667	2768	+	ENST00000291906.5	intron	ENSG00000160447.7
chr9	2768	2843	+	ENST00000291906.5	CDS	ENSG00000160447.7
chr9	2843	2919	+	ENST00000291906.5	intron	ENSG00000160447.7
chr9	2919	3087	+	ENST00000291906.5	CDS	ENSG00000160447.7
chr9	3087	3188	+	ENST00000291906.5	intron	ENSG00000160447.7
chr9	3188	3290	+	ENST00000291906.5	CDS	ENSG00000160447.7
chr9	3290	3391	+	ENST00000291906.5	intron	ENSG00000160447.7
chr9	3391	3458	+	ENST00000291906.5	CDS	ENSG00000160447.7
chr9	3458	3559	+	ENST00000291906.5	intron	ENSG00000160447.7
chr9	3559	3622	+	ENST00000291906.5	CDS	ENSG00000160447.7
chr9	3622	3724	+	ENST00000291906.5	intron	ENSG00000160447.7
chr9	3724	3815	+	ENST00000291906.5	CDS	ENSG00000160447.7
chr9	3815	3918	+	ENST00000291906.5	intron	ENSG00000160447.7
chr9	3918	4094	+	ENST00000291906.5	CDS	ENSG00000160447.7
chr9	4094	4195	+	ENST00000291906.5	intron	ENSG00000160447.7
chr9	4195	4257	+	ENST00000291906.5	CDS	ENSG00000160447.7
chr9	4257	4361	+	ENST00000291906.5	intron	ENSG00000160447.7
chr9	4361	4437	+	ENST00000291906.5	CDS	ENSG00000160447.7
chr9	4437	4580	+	ENST00000291906.5	intron	ENSG00000160447.7
chr9	4580	4722	+	ENST00000291906.5	CDS	ENSG00000160447.7
chr9	4722	4804	+	ENST00000291906.5	intron	ENSG00000160447.7
chr9	4804	4911	+	ENST00000291906.5	CDS	ENSG00000160447.7
chr9	4911	5012	+	ENST00000291906.5	intron	ENSG00000160447.7
chr9	5012	5092	+	ENST00000291906.5	CDS	ENSG00000160447.7
chr9	5092	5203	+	ENST00000291906.5	intron	ENSG00000160447.7
chr9	5203	5418	+	ENST00000291906.5	CDS	ENSG00000160447.7
chr9	5419	5725	+	ENST00000291906.5	UTR	NA
chr9	10	414	+	ONT9.4942.63026	UTR	NA
chr9	415	438	+	ONT9.4942.63026	CDS	PKN3
chr9	438	803	+	ONT9.4942.63026	intron	PKN3
chr9	803	1043	+	ONT9.4942.63026	CDS	PKN3
chr9	1043	1144	+	ONT9.4942.63026	intron	PKN3
chr9	1144	1289	+	ONT9.4942.63026	CDS	PKN3
chr9	1289	1390	+	ONT9.4942.63026	intron	PKN3
chr9	1390	1501	+	ONT9.4942.63026	CDS	PKN3
chr9	1501	1573	+	ONT9.4942.63026	intron	PKN3
chr9	1573	1700	+	ONT9.4942.63026	CDS	PKN3
chr9	1700	1801	+	ONT9.4942.63026	intron	PKN3
chr9	1801	1984	+	ONT9.4942.63026	CDS	PKN3
chr9	1984	2085	+	ONT9.4942.63026	intron	PKN3
chr9	2085	2231	+	ONT9.4942.63026	CDS	PKN3
chr9	2231	2311	+	ONT9.4942.63026	intron	PKN3
chr9	2311	2420	+	ONT9.4942.63026	CDS	PKN3
chr9	2420	2524	+	ONT9.4942.63026	intron	PKN3
chr9	2524	2667	+	ONT9.4942.63026	CDS	PKN3
chr9	2667	2768	+	ONT9.4942.63026	intron	PKN3
chr9	2768	2843	+	ONT9.4942.63026	CDS	PKN3
chr9	2843	2919	+	ONT9.4942.63026	intron	PKN3
chr9	2919	3087	+	ONT9.4942.63026	CDS	PKN3
chr9	3087	3188	+	ONT9.4942.63026	intron	PKN3
chr9	3188	3290	+	ONT9.4942.63026	CDS	PKN3
chr9	3290	3391	+	ONT9.4942.63026	intron	PKN3
chr9	3391	3458	+	ONT9.4942.63026	CDS	PKN3
chr9	3458	3559	+	ONT9.4942.63026	intron	PKN3
chr9	3559	3622	+	ONT9.4942.63026	CDS	PKN3
chr9	3622	3724	+	ONT9.4942.63026	intron	PKN3
chr9	3724	3815	+	ONT9.4942.63026	CDS	PKN3
chr9	3815	3918	+	ONT9.4942.63026	intron	PKN3
chr9	3918	4094	+	ONT9.4942.63026	CDS	PKN3
chr9	4094	4195	+	ONT9.4942.63026	intron	PKN3
chr9	4195	4257	+	ONT9.4942.63026	CDS	PKN3
chr9	4257	4361	+	ONT9.4942.63026	intron	PKN3
chr9	4361	4437	+	ONT9.4942.63026	CDS	PKN3
chr9	4437	4580	+	ONT9.4942.63026	intron	PKN3
chr9	4580	4722	+	ONT9.4942.63026	CDS	PKN3
chr9	4722	4804	+	ONT9.4942.63026	intron	PKN3
chr9	4804	4911	+	ONT9.4942.63026	CDS	PKN3
chr9	4911	5012	+	ONT9.4942.63026	intron	PKN3
chr9	5012	5092	+	ONT9.4942.63026	CDS	PKN3
chr9	5092	5203	+	ONT9.4942.63026	intron	PKN3
chr9	5203	5415	+	ONT9.4942.63026	CDS	PKN3
chr9	5416	5727	+	ONT9.4942.63026	UTR	NA
chr9	23	99	+	ONT9.4942.63034	UTR	NA
chr9	99	803	+	ONT9.4942.63034	intron	NA
chr9	803	1043	+	ONT9.4942.63034	UTR	NA
chr9	1043	1144	+	ONT9.4942.63034	intron	NA
chr9	1144	1256	+	ONT9.4942.63034	UTR	NA
chr9	1257	1289	+	ONT9.4942.63034	CDS	PKN3
chr9	1289	1390	+	ONT9.4942.63034	intron	PKN3
chr9	1390	1501	+	ONT9.4942.63034	CDS	PKN3
chr9	1501	1573	+	ONT9.4942.63034	intron	PKN3
chr9	1573	1700	+	ONT9.4942.63034	CDS	PKN3
chr9	1700	1801	+	ONT9.4942.63034	intron	PKN3
chr9	1801	1984	+	ONT9.4942.63034	CDS	PKN3
chr9	1984	2085	+	ONT9.4942.63034	intron	PKN3
chr9	2085	2231	+	ONT9.4942.63034	CDS	PKN3
chr9	2231	2311	+	ONT9.4942.63034	intron	PKN3
chr9	2311	2420	+	ONT9.4942.63034	CDS	PKN3
chr9	2420	2524	+	ONT9.4942.63034	intron	PKN3
chr9	2524	2667	+	ONT9.4942.63034	CDS	PKN3
chr9	2667	2768	+	ONT9.4942.63034	intron	PKN3
chr9	2768	2843	+	ONT9.4942.63034	CDS	PKN3
chr9	2843	2919	+	ONT9.4942.63034	intron	PKN3
