seqnames	start	end	strand	transcript_id	type	gene_id
chr19	364	500	+	ENST00000604404.6	UTR	NA
chr19	500	805	+	ENST00000604404.6	intron	NA
chr19	805	900	+	ENST00000604404.6	UTR	NA
chr19	900	1185	+	ENST00000604404.6	intron	NA
chr19	1185	1198	+	ENST00000604404.6	UTR	NA
chr19	1199	1238	+	ENST00000604404.6	CDS	ENSG00000089356.19
chr19	1238	1339	+	ENST00000604404.6	intron	ENSG00000089356.19
chr19	1339	1371	+	ENST00000604404.6	CDS	ENSG00000089356.19
chr19	1371	1472	+	ENST00000604404.6	intron	ENSG00000089356.19
chr19	1472	1495	+	ENST00000604404.6	CDS	ENSG00000089356.19
chr19	1495	1596	+	ENST00000604404.6	intron	ENSG00000089356.19
chr19	1596	1670	+	ENST00000604404.6	CDS	ENSG00000089356.19
chr19	1670	1749	+	ENST00000604404.6	intron	ENSG00000089356.19
chr19	1749	1785	+	ENST00000604404.6	CDS	ENSG00000089356.19
chr19	1785	1886	+	ENST00000604404.6	intron	ENSG00000089356.19
chr19	1886	1923	+	ENST00000604404.6	CDS	ENSG00000089356.19
chr19	1923	2056	+	ENST00000604404.6	intron	ENSG00000089356.19
chr19	2056	2075	+	ENST00000604404.6	CDS	ENSG00000089356.19
chr19	2076	2939	+	ENST00000604404.6	UTR	NA
chr19	2	500	+	ONT19.519.19843	UTR	NA
chr19	500	805	+	ONT19.519.19843	intron	NA
chr19	805	900	+	ONT19.519.19843	UTR	NA
chr19	900	1001	+	ONT19.519.19843	intron	NA
chr19	1001	1084	+	ONT19.519.19843	UTR	NA
chr19	1084	1185	+	ONT19.519.19843	intron	NA
chr19	1185	1198	+	ONT19.519.19843	UTR	NA
chr19	1199	1238	+	ONT19.519.19843	CDS	FXYD3
chr19	1238	1339	+	ONT19.519.19843	intron	FXYD3
chr19	1339	1371	+	ONT19.519.19843	CDS	FXYD3
chr19	1371	1472	+	ONT19.519.19843	intron	FXYD3
chr19	1472	1495	+	ONT19.519.19843	CDS	FXYD3
chr19	1495	1596	+	ONT19.519.19843	intron	FXYD3
chr19	1596	1674	+	ONT19.519.19843	CDS	FXYD3
chr19	1674	1749	+	ONT19.519.19843	intron	FXYD3
chr19	1749	1785	+	ONT19.519.19843	CDS	FXYD3
chr19	1785	1886	+	ONT19.519.19843	intron	FXYD3
chr19	1886	1923	+	ONT19.519.19843	CDS	FXYD3
chr19	1923	2056	+	ONT19.519.19843	intron	FXYD3
chr19	2056	2146	+	ONT19.519.19843	CDS	FXYD3
chr19	2147	2269	+	ONT19.519.19843	UTR	NA
chr19	244	500	+	ONT19.519.19903	UTR	NA
chr19	500	805	+	ONT19.519.19903	intron	NA
chr19	805	900	+	ONT19.519.19903	UTR	NA
chr19	900	1185	+	ONT19.519.19903	intron	NA
chr19	1185	1198	+	ONT19.519.19903	UTR	NA
chr19	1199	1238	+	ONT19.519.19903	CDS	FXYD3
chr19	1238	1339	+	ONT19.519.19903	intron	FXYD3
chr19	1339	1371	+	ONT19.519.19903	CDS	FXYD3
chr19	1371	1472	+	ONT19.519.19903	intron	FXYD3
chr19	1472	1495	+	ONT19.519.19903	CDS	FXYD3
chr19	1495	1596	+	ONT19.519.19903	intron	FXYD3
chr19	1596	1674	+	ONT19.519.19903	CDS	FXYD3
chr19	1674	2008	+	ONT19.519.19903	intron	FXYD3
chr19	2008	2146	+	ONT19.519.19903	CDS	FXYD3
chr19	2147	2272	+	ONT19.519.19903	UTR	NA
chr19	244	500	+	ONT19.519.19909	UTR	NA
chr19	500	805	+	ONT19.519.19909	intron	NA
chr19	805	900	+	ONT19.519.19909	UTR	NA
chr19	900	1185	+	ONT19.519.19909	intron	NA
chr19	1185	1198	+	ONT19.519.19909	UTR	NA
chr19	1199	1238	+	ONT19.519.19909	CDS	FXYD3
chr19	1238	1339	+	ONT19.519.19909	intron	FXYD3
chr19	1339	1371	+	ONT19.519.19909	CDS	FXYD3
chr19	1371	1472	+	ONT19.519.19909	intron	FXYD3
chr19	1472	1495	+	ONT19.519.19909	CDS	FXYD3
chr19	1495	1596	+	ONT19.519.19909	intron	FXYD3
chr19	1596	1670	+	ONT19.519.19909	CDS	FXYD3
chr19	1670	1749	+	ONT19.519.19909	intron	FXYD3
chr19	1749	1785	+	ONT19.519.19909	CDS	FXYD3
chr19	1785	2021	+	ONT19.519.19909	intron	FXYD3
chr19	2021	2072	+	ONT19.519.19909	CDS	FXYD3
chr19	2073	2267	+	ONT19.519.19909	UTR	NA
chr19	482	529	+	ONT19.519.19935	UTR	NA
chr19	530	581	+	ONT19.519.19935	CDS	FXYD3
chr19	581	805	+	ONT19.519.19935	intron	FXYD3
chr19	805	900	+	ONT19.519.19935	CDS	FXYD3
chr19	900	1185	+	ONT19.519.19935	intron	FXYD3
chr19	1185	1238	+	ONT19.519.19935	CDS	FXYD3
chr19	1238	1339	+	ONT19.519.19935	intron	FXYD3
chr19	1339	1371	+	ONT19.519.19935	CDS	FXYD3
chr19	1371	1472	+	ONT19.519.19935	intron	FXYD3
chr19	1472	1495	+	ONT19.519.19935	CDS	FXYD3
chr19	1495	1596	+	ONT19.519.19935	intron	FXYD3
chr19	1596	1670	+	ONT19.519.19935	CDS	FXYD3
chr19	1670	1749	+	ONT19.519.19935	intron	FXYD3
chr19	1749	1785	+	ONT19.519.19935	CDS	FXYD3
chr19	1785	1886	+	ONT19.519.19935	intron	FXYD3
chr19	1886	1923	+	ONT19.519.19935	CDS	FXYD3
chr19	1923	2056	+	ONT19.519.19935	intron	FXYD3
chr19	2056	2072	+	ONT19.519.19935	CDS	FXYD3
chr19	2073	2272	+	ONT19.519.19935	UTR	NA
chr19	498	755	+	ONT19.519.19940	UTR	NA
chr19	756	900	+	ONT19.519.19940	CDS	FXYD3
chr19	900	1185	+	ONT19.519.19940	intron	FXYD3
chr19	1185	1238	+	ONT19.519.19940	CDS	FXYD3
chr19	1238	1339	+	ONT19.519.19940	intron	FXYD3
chr19	1339	1371	+	ONT19.519.19940	CDS	FXYD3
chr19	1371	1472	+	ONT19.519.19940	intron	FXYD3
