seqnames	start	end	strand	transcript_id	type	gene_id
chr7	2	1483	-	ENST00000333385.11	UTR	NA
chr7	1483	1584	-	ENST00000333385.11	intron	NA
chr7	1584	1628	-	ENST00000333385.11	UTR	NA
chr7	1629	1688	-	ENST00000333385.11	CDS	ENSG00000273520.6
chr7	1688	1789	-	ENST00000333385.11	intron	ENSG00000273520.6
chr7	1789	2032	-	ENST00000333385.11	CDS	ENSG00000273520.6
chr7	2032	2133	-	ENST00000333385.11	intron	ENSG00000273520.6
chr7	2133	2218	-	ENST00000333385.11	CDS	ENSG00000273520.6
chr7	2218	2319	-	ENST00000333385.11	intron	ENSG00000273520.6
chr7	2319	2377	-	ENST00000333385.11	CDS	ENSG00000273520.6
chr7	2377	2478	-	ENST00000333385.11	intron	ENSG00000273520.6
chr7	2478	2696	-	ENST00000333385.11	CDS	ENSG00000273520.6
chr7	2696	2797	-	ENST00000333385.11	intron	ENSG00000273520.6
chr7	2797	2929	-	ENST00000333385.11	CDS	ENSG00000273520.6
chr7	2930	3379	-	ENST00000333385.11	UTR	NA
chr7	3379	3480	-	ENST00000333385.11	intron	NA
chr7	3480	3601	-	ENST00000333385.11	UTR	NA
chr7	2	1483	-	ENST00000333385.11	exon	ENSG00000273520.6
chr7	1483	1584	-	ENST00000333385.11	intron	NA
chr7	1584	1688	-	ENST00000333385.11	exon	ENSG00000273520.6
chr7	1688	1789	-	ENST00000333385.11	intron	ENSG00000273520.6
chr7	1789	2032	-	ENST00000333385.11	exon	ENSG00000273520.6
chr7	2032	2133	-	ENST00000333385.11	intron	ENSG00000273520.6
chr7	2133	2218	-	ENST00000333385.11	exon	ENSG00000273520.6
chr7	2218	2319	-	ENST00000333385.11	intron	ENSG00000273520.6
chr7	2319	2377	-	ENST00000333385.11	exon	ENSG00000273520.6
chr7	2377	2478	-	ENST00000333385.11	intron	ENSG00000273520.6
chr7	2478	2696	-	ENST00000333385.11	exon	ENSG00000273520.6
chr7	2696	2964	-	ENST00000333385.11	intron	ENSG00000273520.6
chr7	2964	3546	-	ENST00000333385.11	exon	ENSG00000273520.6
chr7	3546	3747	-	ENST00000333385.11	intron	NA
chr7	3747	3868	-	ENST00000333385.11	exon	ENSG00000273520.6
chr7	2797	2863	-	ONT7.3384.36485	exon	SPDYE8
chr7	2864	3419	-	ONT7.3384.36485	exon	SPDYE8
