seqnames	start	end	strand	transcript_id	type	gene_id
chrX	623	954	+	ENST00000393985.8	UTR	NA
chrX	954	1630	+	ENST00000393985.8	intron	NA
chrX	1630	1696	+	ENST00000393985.8	UTR	NA
chrX	1696	2622	+	ENST00000393985.8	intron	NA
chrX	2622	2754	+	ENST00000393985.8	UTR	NA
chrX	2754	2856	+	ENST00000393985.8	intron	NA
chrX	2856	2884	+	ENST00000393985.8	UTR	NA
chrX	2885	3137	+	ENST00000393985.8	CDS	ENSG00000197620.11
chrX	3137	3238	+	ENST00000393985.8	intron	ENSG00000197620.11
chrX	3238	3464	+	ENST00000393985.8	CDS	ENSG00000197620.11
chrX	3465	4830	+	ENST00000393985.8	UTR	NA
chrX	623	954	+	ONTX.9501.1004	UTR	NA
chrX	954	1630	+	ONTX.9501.1004	intron	NA
chrX	1630	1696	+	ONTX.9501.1004	UTR	NA
chrX	1696	2622	+	ONTX.9501.1004	intron	NA
chrX	2622	2754	+	ONTX.9501.1004	UTR	NA
chrX	2754	2948	+	ONTX.9501.1004	intron	NA
chrX	2948	3070	+	ONTX.9501.1004	UTR	NA
chrX	3071	3137	+	ONTX.9501.1004	CDS	EOLA1
chrX	3137	3238	+	ONTX.9501.1004	intron	EOLA1
chrX	3238	3461	+	ONTX.9501.1004	CDS	EOLA1
chrX	3462	3808	+	ONTX.9501.1004	UTR	NA
chrX	623	1436	+	ONTX.9501.1021	UTR	NA
chrX	1436	1630	+	ONTX.9501.1021	intron	NA
chrX	1630	1677	+	ONTX.9501.1021	UTR	NA
chrX	1677	2622	+	ONTX.9501.1021	intron	NA
chrX	2622	2754	+	ONTX.9501.1021	UTR	NA
chrX	2754	2856	+	ONTX.9501.1021	intron	NA
chrX	2856	2884	+	ONTX.9501.1021	UTR	NA
chrX	2885	3137	+	ONTX.9501.1021	CDS	EOLA1
chrX	3137	3238	+	ONTX.9501.1021	intron	EOLA1
chrX	3238	3461	+	ONTX.9501.1021	CDS	EOLA1
chrX	3462	4819	+	ONTX.9501.1021	UTR	NA
chrX	631	903	+	ONTX.9501.1037	UTR	NA
chrX	903	1630	+	ONTX.9501.1037	intron	NA
chrX	1630	1668	+	ONTX.9501.1037	UTR	NA
chrX	1668	2622	+	ONTX.9501.1037	intron	NA
chrX	2622	2754	+	ONTX.9501.1037	UTR	NA
chrX	2754	2856	+	ONTX.9501.1037	intron	NA
chrX	2856	2884	+	ONTX.9501.1037	UTR	NA
chrX	2885	3137	+	ONTX.9501.1037	CDS	EOLA1
chrX	3137	3238	+	ONTX.9501.1037	intron	EOLA1
chrX	3238	3461	+	ONTX.9501.1037	CDS	EOLA1
chrX	3462	3805	+	ONTX.9501.1037	UTR	NA
chrX	732	954	+	ONTX.9501.1067	UTR	NA
chrX	954	1630	+	ONTX.9501.1067	intron	NA
chrX	1630	1677	+	ONTX.9501.1067	UTR	NA
chrX	1677	2622	+	ONTX.9501.1067	intron	NA
chrX	2622	2754	+	ONTX.9501.1067	UTR	NA
chrX	2754	2856	+	ONTX.9501.1067	intron	NA
chrX	2856	2884	+	ONTX.9501.1067	UTR	NA
chrX	2885	3137	+	ONTX.9501.1067	CDS	EOLA1
chrX	3137	3238	+	ONTX.9501.1067	intron	EOLA1
chrX	3238	3461	+	ONTX.9501.1067	CDS	EOLA1
chrX	3462	3797	+	ONTX.9501.1067	UTR	NA
chrX	726	903	+	ONTX.9501.1068	UTR	NA
chrX	903	1630	+	ONTX.9501.1068	intron	NA
chrX	1630	1677	+	ONTX.9501.1068	UTR	NA
chrX	1677	2622	+	ONTX.9501.1068	intron	NA
chrX	2622	2754	+	ONTX.9501.1068	UTR	NA
chrX	2754	2856	+	ONTX.9501.1068	intron	NA
chrX	2856	2884	+	ONTX.9501.1068	UTR	NA
chrX	2885	3137	+	ONTX.9501.1068	CDS	EOLA1
chrX	3137	3238	+	ONTX.9501.1068	intron	EOLA1
chrX	3238	3461	+	ONTX.9501.1068	CDS	EOLA1
chrX	3462	3807	+	ONTX.9501.1068	UTR	NA
chrX	746	954	+	ONTX.9501.1070	UTR	NA
chrX	954	1630	+	ONTX.9501.1070	intron	NA
chrX	1630	1696	+	ONTX.9501.1070	UTR	NA
chrX	1696	2622	+	ONTX.9501.1070	intron	NA
chrX	2622	2754	+	ONTX.9501.1070	UTR	NA
chrX	2754	2856	+	ONTX.9501.1070	intron	NA
