seqnames	start	end	strand	transcript_id	type	gene_id
chr5	54	92	+	ENST00000253754.8	UTR	NA
chr5	93	185	+	ENST00000253754.8	CDS	ENSG00000131435.13
chr5	185	287	+	ENST00000253754.8	intron	ENSG00000131435.13
chr5	287	438	+	ENST00000253754.8	CDS	ENSG00000131435.13
chr5	438	549	+	ENST00000253754.8	intron	ENSG00000131435.13
chr5	549	630	+	ENST00000253754.8	CDS	ENSG00000131435.13
chr5	630	2135	+	ENST00000253754.8	intron	ENSG00000131435.13
chr5	2135	2313	+	ENST00000253754.8	CDS	ENSG00000131435.13
chr5	2313	2415	+	ENST00000253754.8	intron	ENSG00000131435.13
chr5	2415	2578	+	ENST00000253754.8	CDS	ENSG00000131435.13
chr5	2578	2903	+	ENST00000253754.8	intron	ENSG00000131435.13
chr5	2903	3020	+	ENST00000253754.8	CDS	ENSG00000131435.13
chr5	3020	3137	+	ENST00000253754.8	intron	ENSG00000131435.13
chr5	3137	3344	+	ENST00000253754.8	CDS	ENSG00000131435.13
chr5	3345	4566	+	ENST00000253754.8	UTR	NA
chr5	7	92	+	ONT5.8730.549	UTR	NA
chr5	93	185	+	ONT5.8730.549	CDS	PDLIM4
chr5	185	287	+	ONT5.8730.549	intron	PDLIM4
chr5	287	438	+	ONT5.8730.549	CDS	PDLIM4
chr5	438	549	+	ONT5.8730.549	intron	PDLIM4
chr5	549	630	+	ONT5.8730.549	CDS	PDLIM4
chr5	630	2135	+	ONT5.8730.549	intron	PDLIM4
chr5	2135	2313	+	ONT5.8730.549	CDS	PDLIM4
chr5	2313	2415	+	ONT5.8730.549	intron	PDLIM4
chr5	2415	2578	+	ONT5.8730.549	CDS	PDLIM4
chr5	2578	2903	+	ONT5.8730.549	intron	PDLIM4
chr5	2903	3020	+	ONT5.8730.549	CDS	PDLIM4
chr5	3020	3137	+	ONT5.8730.549	intron	PDLIM4
chr5	3137	3341	+	ONT5.8730.549	CDS	PDLIM4
chr5	3342	3444	+	ONT5.8730.549	UTR	NA
chr5	6	92	+	ONT5.8730.550	UTR	NA
chr5	93	185	+	ONT5.8730.550	CDS	PDLIM4
chr5	185	287	+	ONT5.8730.550	intron	PDLIM4
chr5	287	438	+	ONT5.8730.550	CDS	PDLIM4
chr5	438	549	+	ONT5.8730.550	intron	PDLIM4
chr5	549	630	+	ONT5.8730.550	CDS	PDLIM4
chr5	630	2135	+	ONT5.8730.550	intron	PDLIM4
chr5	2135	2313	+	ONT5.8730.550	CDS	PDLIM4
