seqnames	start	end	strand	transcript_id	type	gene_id
chr7	2	498	-	ENST00000356309.8	UTR	NA
chr7	499	550	-	ENST00000356309.8	CDS	ENSG00000146918.20
chr7	550	1583	-	ENST00000356309.8	intron	ENSG00000146918.20
chr7	1583	1682	-	ENST00000356309.8	CDS	ENSG00000146918.20
chr7	1682	1787	-	ENST00000356309.8	intron	ENSG00000146918.20
chr7	1787	1887	-	ENST00000356309.8	CDS	ENSG00000146918.20
chr7	1887	1988	-	ENST00000356309.8	intron	ENSG00000146918.20
chr7	1988	2091	-	ENST00000356309.8	CDS	ENSG00000146918.20
chr7	2091	2411	-	ENST00000356309.8	intron	ENSG00000146918.20
chr7	2411	2551	-	ENST00000356309.8	CDS	ENSG00000146918.20
chr7	2551	2652	-	ENST00000356309.8	intron	ENSG00000146918.20
chr7	2652	2839	-	ENST00000356309.8	CDS	ENSG00000146918.20
chr7	2839	2942	-	ENST00000356309.8	intron	ENSG00000146918.20
chr7	2942	3041	-	ENST00000356309.8	CDS	ENSG00000146918.20
chr7	3041	3152	-	ENST00000356309.8	intron	ENSG00000146918.20
chr7	3152	3292	-	ENST00000356309.8	CDS	ENSG00000146918.20
chr7	3292	3373	-	ENST00000356309.8	intron	ENSG00000146918.20
chr7	3373	3489	-	ENST00000356309.8	CDS	ENSG00000146918.20
chr7	3489	3590	-	ENST00000356309.8	intron	ENSG00000146918.20
chr7	3590	3763	-	ENST00000356309.8	CDS	ENSG00000146918.20
chr7	3763	3868	-	ENST00000356309.8	intron	ENSG00000146918.20
chr7	3868	4021	-	ENST00000356309.8	CDS	ENSG00000146918.20
chr7	4021	4122	-	ENST00000356309.8	intron	ENSG00000146918.20
chr7	4122	4192	-	ENST00000356309.8	CDS	ENSG00000146918.20
chr7	4192	4294	-	ENST00000356309.8	intron	ENSG00000146918.20
chr7	4294	4467	-	ENST00000356309.8	CDS	ENSG00000146918.20
chr7	4467	4568	-	ENST00000356309.8	intron	ENSG00000146918.20
chr7	4568	4680	-	ENST00000356309.8	CDS	ENSG00000146918.20
chr7	4680	4783	-	ENST00000356309.8	intron	ENSG00000146918.20
chr7	4783	5005	-	ENST00000356309.8	CDS	ENSG00000146918.20
chr7	5005	5356	-	ENST00000356309.8	intron	ENSG00000146918.20
chr7	5356	5508	-	ENST00000356309.8	CDS	ENSG00000146918.20
chr7	5508	5609	-	ENST00000356309.8	intron	ENSG00000146918.20
