seqnames	start	end	strand	transcript_id	type	gene_id
chr10	2	1478	-	ENST00000636213.3	UTR	NA
chr10	1479	1561	-	ENST00000636213.3	CDS	ENSG00000179133.15
chr10	1561	1662	-	ENST00000636213.3	intron	ENSG00000179133.15
chr10	1662	1722	-	ENST00000636213.3	CDS	ENSG00000179133.15
chr10	1722	1808	-	ENST00000636213.3	intron	ENSG00000179133.15
chr10	1808	1882	-	ENST00000636213.3	CDS	ENSG00000179133.15
chr10	1882	1983	-	ENST00000636213.3	intron	ENSG00000179133.15
chr10	1983	2070	-	ENST00000636213.3	CDS	ENSG00000179133.15
chr10	2070	2171	-	ENST00000636213.3	intron	ENSG00000179133.15
chr10	2171	2236	-	ENST00000636213.3	CDS	ENSG00000179133.15
chr10	2236	2328	-	ENST00000636213.3	intron	ENSG00000179133.15
chr10	2328	2407	-	ENST00000636213.3	CDS	ENSG00000179133.15
chr10	2407	3446	-	ENST00000636213.3	intron	ENSG00000179133.15
chr10	3446	3610	-	ENST00000636213.3	CDS	ENSG00000179133.15
chr10	3610	3715	-	ENST00000636213.3	intron	ENSG00000179133.15
chr10	3715	3774	-	ENST00000636213.3	CDS	ENSG00000179133.15
chr10	3774	3875	-	ENST00000636213.3	intron	ENSG00000179133.15
chr10	3875	3940	-	ENST00000636213.3	CDS	ENSG00000179133.15
chr10	3940	4041	-	ENST00000636213.3	intron	ENSG00000179133.15
chr10	4041	4099	-	ENST00000636213.3	CDS	ENSG00000179133.15
chr10	4099	4200	-	ENST00000636213.3	intron	ENSG00000179133.15
chr10	4200	4347	-	ENST00000636213.3	CDS	ENSG00000179133.15
chr10	4347	5430	-	ENST00000636213.3	intron	ENSG00000179133.15
chr10	5430	5585	-	ENST00000636213.3	CDS	ENSG00000179133.15
chr10	5585	8065	-	ENST00000636213.3	intron	ENSG00000179133.15
chr10	8065	8139	-	ENST00000636213.3	CDS	ENSG00000179133.15
chr10	8139	8240	-	ENST00000636213.3	intron	ENSG00000179133.15
chr10	8240	8383	-	ENST00000636213.3	CDS	ENSG00000179133.15
chr10	8383	8487	-	ENST00000636213.3	intron	ENSG00000179133.15
chr10	8487	8607	-	ENST00000636213.3	CDS	ENSG00000179133.15
chr10	8607	9163	-	ENST00000636213.3	intron	ENSG00000179133.15
chr10	9163	9371	-	ENST00000636213.3	CDS	ENSG00000179133.15
chr10	9372	9391	-	ENST00000636213.3	UTR	NA
chr10	1129	1481	-	ONT10.1199.4863	UTR	NA
chr10	1482	1561	-	ONT10.1199.4863	CDS	C10orf67
chr10	1561	1662	-	ONT10.1199.4863	intron	C10orf67
chr10	1662	1722	-	ONT10.1199.4863	CDS	C10orf67
chr10	1722	1808	-	ONT10.1199.4863	intron	C10orf67
chr10	1808	1882	-	ONT10.1199.4863	CDS	C10orf67
chr10	1882	1983	-	ONT10.1199.4863	intron	C10orf67
chr10	1983	2070	-	ONT10.1199.4863	CDS	C10orf67
chr10	2070	2171	-	ONT10.1199.4863	intron	C10orf67
chr10	2171	2236	-	ONT10.1199.4863	CDS	C10orf67
