seqnames	start	end	strand	transcript_id	type	gene_id
chr6	8559	9885	-	ENST00000244711.4	UTR	NA
chr6	9886	10037	-	ENST00000244711.4	CDS	ENSG00000124733.5
chr6	10037	10342	-	ENST00000244711.4	intron	ENSG00000124733.5
chr6	10342	10444	-	ENST00000244711.4	CDS	ENSG00000124733.5
chr6	10444	10531	-	ENST00000244711.4	intron	ENSG00000124733.5
chr6	10531	10805	-	ENST00000244711.4	CDS	ENSG00000124733.5
chr6	10805	11202	-	ENST00000244711.4	intron	ENSG00000124733.5
chr6	11202	11232	-	ENST00000244711.4	CDS	ENSG00000124733.5
chr6	11233	11362	-	ENST00000244711.4	UTR	NA
chr6	2	1100	-	ONT6.2049.17238	UTR	NA
chr6	1101	1159	-	ONT6.2049.17238	CDS	MEA1
chr6	1159	10342	-	ONT6.2049.17238	intron	MEA1
chr6	10342	10444	-	ONT6.2049.17238	CDS	MEA1
chr6	10444	10531	-	ONT6.2049.17238	intron	MEA1
chr6	10531	10797	-	ONT6.2049.17238	CDS	MEA1
chr6	10798	10805	-	ONT6.2049.17238	UTR	NA
chr6	10805	11314	-	ONT6.2049.17238	intron	NA
chr6	11314	11331	-	ONT6.2049.17238	UTR	NA
chr6	857	1100	-	ONT6.2049.17242	UTR	NA
chr6	1101	1159	-	ONT6.2049.17242	CDS	MEA1
chr6	1159	10342	-	ONT6.2049.17242	intron	MEA1
chr6	10342	10444	-	ONT6.2049.17242	CDS	MEA1
chr6	10444	10531	-	ONT6.2049.17242	intron	MEA1
chr6	10531	10797	-	ONT6.2049.17242	CDS	MEA1
chr6	10798	10805	-	ONT6.2049.17242	UTR	NA
chr6	10805	11314	-	ONT6.2049.17242	intron	NA
chr6	11314	11340	-	ONT6.2049.17242	UTR	NA
chr6	857	1100	-	ONT6.2049.17245	UTR	NA
chr6	1101	1159	-	ONT6.2049.17245	CDS	MEA1
chr6	1159	10342	-	ONT6.2049.17245	intron	MEA1
chr6	10342	10444	-	ONT6.2049.17245	CDS	MEA1
chr6	10444	10531	-	ONT6.2049.17245	intron	MEA1
chr6	10531	10797	-	ONT6.2049.17245	CDS	MEA1
chr6	10798	10809	-	ONT6.2049.17245	UTR	NA
chr6	1260	3269	-	ONT6.2049.17292	UTR	NA
chr6	3270	3445	-	ONT6.2049.17292	CDS	MEA1
chr6	3445	10342	-	ONT6.2049.17292	intron	MEA1
chr6	10342	10444	-	ONT6.2049.17292	CDS	MEA1
chr6	10444	10531	-	ONT6.2049.17292	intron	MEA1
chr6	10531	10797	-	ONT6.2049.17292	CDS	MEA1
chr6	10798	10806	-	ONT6.2049.17292	UTR	NA
chr6	3166	3269	-	ONT6.2049.17327	UTR	NA
chr6	3270	3445	-	ONT6.2049.17327	CDS	MEA1
chr6	3445	10342	-	ONT6.2049.17327	intron	MEA1
chr6	10342	10444	-	ONT6.2049.17327	CDS	MEA1
chr6	10444	10531	-	ONT6.2049.17327	intron	MEA1
chr6	10531	10797	-	ONT6.2049.17327	CDS	MEA1
chr6	10798	10806	-	ONT6.2049.17327	UTR	NA
chr6	3546	4498	-	ONT6.2049.17767	UTR	NA
chr6	4499	4638	-	ONT6.2049.17767	CDS	MEA1
chr6	4638	10342	-	ONT6.2049.17767	intron	MEA1
chr6	10342	10444	-	ONT6.2049.17767	CDS	MEA1
chr6	10444	10531	-	ONT6.2049.17767	intron	MEA1
chr6	10531	10797	-	ONT6.2049.17767	CDS	MEA1
chr6	10798	10805	-	ONT6.2049.17767	UTR	NA
chr6	10805	11314	-	ONT6.2049.17767	intron	NA
chr6	11314	11335	-	ONT6.2049.17767	UTR	NA
chr6	3546	4498	-	ONT6.2049.17769	UTR	NA
chr6	4499	4638	-	ONT6.2049.17769	CDS	MEA1
chr6	4638	10342	-	ONT6.2049.17769	intron	MEA1
chr6	10342	10444	-	ONT6.2049.17769	CDS	MEA1
chr6	10444	10531	-	ONT6.2049.17769	intron	MEA1
chr6	10531	10797	-	ONT6.2049.17769	CDS	MEA1
chr6	10798	10806	-	ONT6.2049.17769	UTR	NA
chr6	4314	4498	-	ONT6.2049.17851	UTR	NA
chr6	4499	4638	-	ONT6.2049.17851	CDS	MEA1
chr6	4638	10342	-	ONT6.2049.17851	intron	MEA1
chr6	10342	10444	-	ONT6.2049.17851	CDS	MEA1
chr6	10444	10531	-	ONT6.2049.17851	intron	MEA1
chr6	10531	10797	-	ONT6.2049.17851	CDS	MEA1
chr6	10798	10805	-	ONT6.2049.17851	UTR	NA
chr6	10805	11314	-	ONT6.2049.17851	intron	NA
chr6	11314	11332	-	ONT6.2049.17851	UTR	NA
chr6	4314	4498	-	ONT6.2049.17852	UTR	NA
chr6	4499	4638	-	ONT6.2049.17852	CDS	MEA1
chr6	4638	10342	-	ONT6.2049.17852	intron	MEA1
chr6	10342	10444	-	ONT6.2049.17852	CDS	MEA1
chr6	10444	10531	-	ONT6.2049.17852	intron	MEA1
chr6	10531	10797	-	ONT6.2049.17852	CDS	MEA1
chr6	10798	10807	-	ONT6.2049.17852	UTR	NA
chr6	4739	4921	-	ONT6.2049.17946	UTR	NA
chr6	4921	5022	-	ONT6.2049.17946	intron	NA
chr6	5022	5222	-	ONT6.2049.17946	UTR	NA
chr6	5222	5308	-	ONT6.2049.17946	intron	NA
chr6	5308	5417	-	ONT6.2049.17946	UTR	NA
chr6	5417	5518	-	ONT6.2049.17946	intron	NA
chr6	5518	5610	-	ONT6.2049.17946	UTR	NA
chr6	5610	5711	-	ONT6.2049.17946	intron	NA
chr6	5711	5841	-	ONT6.2049.17946	UTR	NA
chr6	5841	5942	-	ONT6.2049.17946	intron	NA
chr6	5942	6004	-	ONT6.2049.17946	UTR	NA
chr6	6004	6105	-	ONT6.2049.17946	intron	NA
chr6	6105	6170	-	ONT6.2049.17946	UTR	NA
chr6	6171	6210	-	ONT6.2049.17946	CDS	MEA1
chr6	6210	6311	-	ONT6.2049.17946	intron	MEA1
chr6	6311	6371	-	ONT6.2049.17946	CDS	MEA1
chr6	6371	6472	-	ONT6.2049.17946	intron	MEA1
chr6	6472	6640	-	ONT6.2049.17946	CDS	MEA1
chr6	6640	6735	-	ONT6.2049.17946	intron	MEA1
chr6	6735	6865	-	ONT6.2049.17946	CDS	MEA1
chr6	6865	7884	-	ONT6.2049.17946	intron	MEA1
chr6	7884	7896	-	ONT6.2049.17946	CDS	MEA1
chr6	7897	7985	-	ONT6.2049.17946	UTR	NA
chr6	7985	8080	-	ONT6.2049.17946	intron	NA
chr6	8080	8148	-	ONT6.2049.17946	UTR	NA
chr6	8148	8293	-	ONT6.2049.17946	intron	NA
chr6	8293	8411	-	ONT6.2049.17946	UTR	NA
chr6	8411	8563	-	ONT6.2049.17946	intron	NA
chr6	8563	9090	-	ONT6.2049.17946	UTR	NA
chr6	6720	9888	-	ONT6.2049.17969	UTR	NA
chr6	9889	10037	-	ONT6.2049.17969	CDS	MEA1
chr6	10037	10342	-	ONT6.2049.17969	intron	MEA1
chr6	10342	10444	-	ONT6.2049.17969	CDS	MEA1
chr6	10444	10531	-	ONT6.2049.17969	intron	MEA1
chr6	10531	10797	-	ONT6.2049.17969	CDS	MEA1
chr6	10798	10805	-	ONT6.2049.17969	UTR	NA
chr6	10805	11314	-	ONT6.2049.17969	intron	NA
chr6	11314	11335	-	ONT6.2049.17969	UTR	NA
chr6	8515	9888	-	ONT6.2049.17982	UTR	NA
chr6	9889	10037	-	ONT6.2049.17982	CDS	MEA1
chr6	10037	10342	-	ONT6.2049.17982	intron	MEA1
chr6	10342	10444	-	ONT6.2049.17982	CDS	MEA1
chr6	10444	10531	-	ONT6.2049.17982	intron	MEA1
chr6	10531	10797	-	ONT6.2049.17982	CDS	MEA1
chr6	10798	10805	-	ONT6.2049.17982	UTR	NA
chr6	10805	11314	-	ONT6.2049.17982	intron	NA
chr6	11314	11340	-	ONT6.2049.17982	UTR	NA
chr6	8497	9888	-	ONT6.2049.17983	UTR	NA
chr6	9889	10037	-	ONT6.2049.17983	CDS	MEA1
chr6	10037	10342	-	ONT6.2049.17983	intron	MEA1
chr6	10342	10444	-	ONT6.2049.17983	CDS	MEA1
chr6	10444	10531	-	ONT6.2049.17983	intron	MEA1
chr6	10531	10805	-	ONT6.2049.17983	CDS	MEA1
chr6	10805	11202	-	ONT6.2049.17983	intron	MEA1
chr6	11202	11232	-	ONT6.2049.17983	CDS	MEA1
chr6	11233	11302	-	ONT6.2049.17983	UTR	NA
chr6	8515	9888	-	ONT6.2049.17984	UTR	NA
chr6	9889	10037	-	ONT6.2049.17984	CDS	MEA1
chr6	10037	10342	-	ONT6.2049.17984	intron	MEA1
chr6	10342	10444	-	ONT6.2049.17984	CDS	MEA1
chr6	10444	10531	-	ONT6.2049.17984	intron	MEA1
chr6	10531	10797	-	ONT6.2049.17984	CDS	MEA1
chr6	10798	10805	-	ONT6.2049.17984	UTR	NA
chr6	8494	9888	-	ONT6.2049.17986	UTR	NA
chr6	9889	10037	-	ONT6.2049.17986	CDS	MEA1
chr6	10037	10342	-	ONT6.2049.17986	intron	MEA1
chr6	10342	10444	-	ONT6.2049.17986	CDS	MEA1
chr6	10444	10531	-	ONT6.2049.17986	intron	MEA1
chr6	10531	10797	-	ONT6.2049.17986	CDS	MEA1
chr6	10798	11095	-	ONT6.2049.17986	UTR	NA
chr6	8496	9888	-	ONT6.2049.17990	UTR	NA
chr6	9889	10037	-	ONT6.2049.17990	CDS	MEA1
chr6	10037	10342	-	ONT6.2049.17990	intron	MEA1
chr6	10342	10444	-	ONT6.2049.17990	CDS	MEA1
chr6	10444	10531	-	ONT6.2049.17990	intron	MEA1
chr6	10531	10797	-	ONT6.2049.17990	CDS	MEA1
chr6	10798	11038	-	ONT6.2049.17990	UTR	NA
chr6	9221	9888	-	ONT6.2049.18002	UTR	NA
chr6	9889	10037	-	ONT6.2049.18002	CDS	MEA1
chr6	10037	10342	-	ONT6.2049.18002	intron	MEA1
chr6	10342	10444	-	ONT6.2049.18002	CDS	MEA1
chr6	10444	10531	-	ONT6.2049.18002	intron	MEA1
chr6	10531	10797	-	ONT6.2049.18002	CDS	MEA1
chr6	10798	10813	-	ONT6.2049.18002	UTR	NA
chr6	9510	9888	-	ONT6.2049.18006	UTR	NA
chr6	9889	10037	-	ONT6.2049.18006	CDS	MEA1
chr6	10037	10342	-	ONT6.2049.18006	intron	MEA1
chr6	10342	10444	-	ONT6.2049.18006	CDS	MEA1
chr6	10444	10531	-	ONT6.2049.18006	intron	MEA1
chr6	10531	10805	-	ONT6.2049.18006	CDS	MEA1
chr6	10805	11202	-	ONT6.2049.18006	intron	MEA1
chr6	11202	11232	-	ONT6.2049.18006	CDS	MEA1
chr6	11233	11304	-	ONT6.2049.18006	UTR	NA
chr6	9510	9888	-	ONT6.2049.18007	UTR	NA
chr6	9889	10037	-	ONT6.2049.18007	CDS	MEA1
chr6	10037	10342	-	ONT6.2049.18007	intron	MEA1
chr6	10342	10444	-	ONT6.2049.18007	CDS	MEA1
chr6	10444	10531	-	ONT6.2049.18007	intron	MEA1
chr6	10531	10797	-	ONT6.2049.18007	CDS	MEA1
chr6	10798	10805	-	ONT6.2049.18007	UTR	NA
chr6	10805	11314	-	ONT6.2049.18007	intron	NA
chr6	11314	11364	-	ONT6.2049.18007	UTR	NA
chr6	9498	9888	-	ONT6.2049.18008	UTR	NA
chr6	9889	10037	-	ONT6.2049.18008	CDS	MEA1
chr6	10037	10342	-	ONT6.2049.18008	intron	MEA1
chr6	10342	10444	-	ONT6.2049.18008	CDS	MEA1
chr6	10444	10531	-	ONT6.2049.18008	intron	MEA1
chr6	10531	10797	-	ONT6.2049.18008	CDS	MEA1
chr6	10798	10806	-	ONT6.2049.18008	UTR	NA
chr6	9499	9888	-	ONT6.2049.18010	UTR	NA
chr6	9889	10037	-	ONT6.2049.18010	CDS	MEA1
chr6	10037	10342	-	ONT6.2049.18010	intron	MEA1
chr6	10342	10444	-	ONT6.2049.18010	CDS	MEA1
chr6	10444	10531	-	ONT6.2049.18010	intron	MEA1
chr6	10531	10797	-	ONT6.2049.18010	CDS	MEA1
chr6	10798	11126	-	ONT6.2049.18010	UTR	NA
chr6	9498	9888	-	ONT6.2049.18019	UTR	NA
chr6	9889	10028	-	ONT6.2049.18019	CDS	MEA1
chr6	10028	10342	-	ONT6.2049.18019	intron	MEA1
chr6	10342	10444	-	ONT6.2049.18019	CDS	MEA1
chr6	10444	10531	-	ONT6.2049.18019	intron	MEA1
chr6	10531	10797	-	ONT6.2049.18019	CDS	MEA1
chr6	10798	10805	-	ONT6.2049.18019	UTR	NA
chr6	10805	11314	-	ONT6.2049.18019	intron	NA
chr6	11314	11335	-	ONT6.2049.18019	UTR	NA
chr6	9510	9888	-	ONT6.2049.18020	UTR	NA
chr6	9889	10028	-	ONT6.2049.18020	CDS	MEA1
chr6	10028	10342	-	ONT6.2049.18020	intron	MEA1
chr6	10342	10444	-	ONT6.2049.18020	CDS	MEA1
chr6	10444	10531	-	ONT6.2049.18020	intron	MEA1
chr6	10531	10797	-	ONT6.2049.18020	CDS	MEA1
chr6	10798	10806	-	ONT6.2049.18020	UTR	NA
chr6	9498	10186	-	ONT6.2049.18021	UTR	NA
chr6	10187	10444	-	ONT6.2049.18021	CDS	MEA1
chr6	10444	10531	-	ONT6.2049.18021	intron	MEA1
chr6	10531	10797	-	ONT6.2049.18021	CDS	MEA1
chr6	10798	10805	-	ONT6.2049.18021	UTR	NA
chr6	10805	11314	-	ONT6.2049.18021	intron	NA
chr6	11314	11337	-	ONT6.2049.18021	UTR	NA
chr6	9498	9888	-	ONT6.2049.18022	UTR	NA
chr6	9889	10037	-	ONT6.2049.18022	CDS	MEA1
chr6	10037	10342	-	ONT6.2049.18022	intron	MEA1
chr6	10342	10444	-	ONT6.2049.18022	CDS	MEA1
chr6	10444	10531	-	ONT6.2049.18022	intron	MEA1
chr6	10531	10797	-	ONT6.2049.18022	CDS	MEA1
chr6	10798	10840	-	ONT6.2049.18022	UTR	NA
chr6	10840	11314	-	ONT6.2049.18022	intron	NA
chr6	11314	11362	-	ONT6.2049.18022	UTR	NA
chr6	9650	9888	-	ONT6.2049.18059	UTR	NA
chr6	9889	10037	-	ONT6.2049.18059	CDS	MEA1
chr6	10037	10342	-	ONT6.2049.18059	intron	MEA1
chr6	10342	10444	-	ONT6.2049.18059	CDS	MEA1
chr6	10444	10531	-	ONT6.2049.18059	intron	MEA1
chr6	10531	10797	-	ONT6.2049.18059	CDS	MEA1
chr6	10798	10805	-	ONT6.2049.18059	UTR	NA
chr6	10805	11314	-	ONT6.2049.18059	intron	NA
