seqnames	start	end	strand	transcript_id	type	gene_id
chr7	2	285	+	ENST00000297494.8	UTR	NA
chr7	285	386	+	ENST00000297494.8	intron	NA
chr7	386	436	+	ENST00000297494.8	UTR	NA
chr7	437	594	+	ENST00000297494.8	CDS	ENSG00000164867.11
chr7	594	699	+	ENST00000297494.8	intron	ENSG00000164867.11
chr7	699	810	+	ENST00000297494.8	CDS	ENSG00000164867.11
chr7	810	911	+	ENST00000297494.8	intron	ENSG00000164867.11
chr7	911	1059	+	ENST00000297494.8	CDS	ENSG00000164867.11
chr7	1059	1160	+	ENST00000297494.8	intron	ENSG00000164867.11
chr7	1160	1322	+	ENST00000297494.8	CDS	ENSG00000164867.11
chr7	1322	2189	+	ENST00000297494.8	intron	ENSG00000164867.11
chr7	2189	2280	+	ENST00000297494.8	CDS	ENSG00000164867.11
chr7	2280	2371	+	ENST00000297494.8	intron	ENSG00000164867.11
chr7	2371	2512	+	ENST00000297494.8	CDS	ENSG00000164867.11
chr7	2512	2613	+	ENST00000297494.8	intron	ENSG00000164867.11
chr7	2613	2752	+	ENST00000297494.8	CDS	ENSG00000164867.11
chr7	2752	2853	+	ENST00000297494.8	intron	ENSG00000164867.11
chr7	2853	3027	+	ENST00000297494.8	CDS	ENSG00000164867.11
chr7	3027	3128	+	ENST00000297494.8	intron	ENSG00000164867.11
chr7	3128	3229	+	ENST00000297494.8	CDS	ENSG00000164867.11
chr7	3229	3330	+	ENST00000297494.8	intron	ENSG00000164867.11
chr7	3330	3524	+	ENST00000297494.8	CDS	ENSG00000164867.11
chr7	3524	3625	+	ENST00000297494.8	intron	ENSG00000164867.11
chr7	3625	3698	+	ENST00000297494.8	CDS	ENSG00000164867.11
chr7	3698	3799	+	ENST00000297494.8	intron	ENSG00000164867.11
chr7	3799	3943	+	ENST00000297494.8	CDS	ENSG00000164867.11
chr7	3943	4044	+	ENST00000297494.8	intron	ENSG00000164867.11
chr7	4044	4148	+	ENST00000297494.8	CDS	ENSG00000164867.11
chr7	4148	4249	+	ENST00000297494.8	intron	ENSG00000164867.11
chr7	4249	4316	+	ENST00000297494.8	CDS	ENSG00000164867.11
