seqnames	start	end	strand	transcript_id	type	gene_id
chr5	24	38	+	ENST00000261308.10	UTR	NA
chr5	39	234	+	ENST00000261308.10	CDS	ENSG00000113593.12
chr5	234	2869	+	ENST00000261308.10	intron	ENSG00000113593.12
chr5	2869	2971	+	ENST00000261308.10	CDS	ENSG00000113593.12
chr5	2971	4988	+	ENST00000261308.10	intron	ENSG00000113593.12
chr5	4988	5088	+	ENST00000261308.10	CDS	ENSG00000113593.12
chr5	5088	5217	+	ENST00000261308.10	intron	ENSG00000113593.12
chr5	5217	5337	+	ENST00000261308.10	CDS	ENSG00000113593.12
chr5	5337	5438	+	ENST00000261308.10	intron	ENSG00000113593.12
chr5	5438	5885	+	ENST00000261308.10	CDS	ENSG00000113593.12
chr5	5885	8064	+	ENST00000261308.10	intron	ENSG00000113593.12
chr5	8064	8254	+	ENST00000261308.10	CDS	ENSG00000113593.12
chr5	8254	10609	+	ENST00000261308.10	intron	ENSG00000113593.12
chr5	10609	10798	+	ENST00000261308.10	CDS	ENSG00000113593.12
chr5	10798	14223	+	ENST00000261308.10	intron	ENSG00000113593.12
chr5	14223	14404	+	ENST00000261308.10	CDS	ENSG00000113593.12
chr5	14404	14509	+	ENST00000261308.10	intron	ENSG00000113593.12
chr5	14509	14590	+	ENST00000261308.10	CDS	ENSG00000113593.12
chr5	14590	15494	+	ENST00000261308.10	intron	ENSG00000113593.12
chr5	15494	15676	+	ENST00000261308.10	CDS	ENSG00000113593.12
chr5	15676	15786	+	ENST00000261308.10	intron	ENSG00000113593.12
chr5	15786	15932	+	ENST00000261308.10	CDS	ENSG00000113593.12
chr5	15933	16082	+	ENST00000261308.10	UTR	NA
chr5	10	38	+	ONT5.4979.1604	UTR	NA
chr5	39	234	+	ONT5.4979.1604	CDS	PPWD1
chr5	234	2869	+	ONT5.4979.1604	intron	PPWD1
chr5	2869	2975	+	ONT5.4979.1604	CDS	PPWD1
chr5	2976	5088	+	ONT5.4979.1604	UTR	NA
