seqnames	start	end	strand	transcript_id	type	gene_id
chr2	100	194	+	ENST00000374700.7	UTR	NA
chr2	195	239	+	ENST00000374700.7	CDS	ENSG00000138356.14
chr2	239	340	+	ENST00000374700.7	intron	ENSG00000138356.14
chr2	340	397	+	ENST00000374700.7	CDS	ENSG00000138356.14
chr2	397	498	+	ENST00000374700.7	intron	ENSG00000138356.14
chr2	498	594	+	ENST00000374700.7	CDS	ENSG00000138356.14
chr2	594	695	+	ENST00000374700.7	intron	ENSG00000138356.14
chr2	695	803	+	ENST00000374700.7	CDS	ENSG00000138356.14
chr2	803	904	+	ENST00000374700.7	intron	ENSG00000138356.14
chr2	904	1030	+	ENST00000374700.7	CDS	ENSG00000138356.14
chr2	1030	1131	+	ENST00000374700.7	intron	ENSG00000138356.14
chr2	1131	1192	+	ENST00000374700.7	CDS	ENSG00000138356.14
chr2	1192	1293	+	ENST00000374700.7	intron	ENSG00000138356.14
chr2	1293	1382	+	ENST00000374700.7	CDS	ENSG00000138356.14
chr2	1382	1483	+	ENST00000374700.7	intron	ENSG00000138356.14
chr2	1483	1563	+	ENST00000374700.7	CDS	ENSG00000138356.14
chr2	1563	1664	+	ENST00000374700.7	intron	ENSG00000138356.14
chr2	1664	1808	+	ENST00000374700.7	CDS	ENSG00000138356.14
chr2	1808	1909	+	ENST00000374700.7	intron	ENSG00000138356.14
chr2	1909	2001	+	ENST00000374700.7	CDS	ENSG00000138356.14
chr2	2001	2102	+	ENST00000374700.7	intron	ENSG00000138356.14
chr2	2102	2253	+	ENST00000374700.7	CDS	ENSG00000138356.14
chr2	2253	2354	+	ENST00000374700.7	intron	ENSG00000138356.14
chr2	2354	2447	+	ENST00000374700.7	CDS	ENSG00000138356.14
chr2	2447	2548	+	ENST00000374700.7	intron	ENSG00000138356.14
chr2	2548	2657	+	ENST00000374700.7	CDS	ENSG00000138356.14
chr2	2657	2758	+	ENST00000374700.7	intron	ENSG00000138356.14
chr2	2758	2942	+	ENST00000374700.7	CDS	ENSG00000138356.14
chr2	2942	3043	+	ENST00000374700.7	intron	ENSG00000138356.14
chr2	3043	3205	+	ENST00000374700.7	CDS	ENSG00000138356.14
chr2	3205	3306	+	ENST00000374700.7	intron	ENSG00000138356.14
