seqnames	start	end	strand	transcript_id	type	gene_id
chr19	1207	1748	-	ENST00000318083.11	UTR	NA
chr19	1749	2032	-	ENST00000318083.11	CDS	ENSG00000176909.12
chr19	2032	2133	-	ENST00000318083.11	intron	ENSG00000176909.12
chr19	2133	2187	-	ENST00000318083.11	CDS	ENSG00000176909.12
chr19	2187	2277	-	ENST00000318083.11	intron	ENSG00000176909.12
chr19	2277	2462	-	ENST00000318083.11	CDS	ENSG00000176909.12
chr19	2462	2628	-	ENST00000318083.11	intron	ENSG00000176909.12
chr19	2628	2822	-	ENST00000318083.11	CDS	ENSG00000176909.12
chr19	2822	2923	-	ENST00000318083.11	intron	ENSG00000176909.12
chr19	2923	3025	-	ENST00000318083.11	CDS	ENSG00000176909.12
chr19	3025	3128	-	ENST00000318083.11	intron	ENSG00000176909.12
chr19	3128	3312	-	ENST00000318083.11	CDS	ENSG00000176909.12
chr19	3312	3413	-	ENST00000318083.11	intron	ENSG00000176909.12
chr19	3413	3555	-	ENST00000318083.11	CDS	ENSG00000176909.12
chr19	3555	4493	-	ENST00000318083.11	intron	ENSG00000176909.12
chr19	4493	4531	-	ENST00000318083.11	CDS	ENSG00000176909.12
chr19	4531	4922	-	ENST00000318083.11	intron	ENSG00000176909.12
chr19	4922	4982	-	ENST00000318083.11	CDS	ENSG00000176909.12
chr19	4983	5000	-	ENST00000318083.11	UTR	NA
chr19	5000	5101	-	ENST00000318083.11	intron	NA
chr19	5101	5147	-	ENST00000318083.11	UTR	NA
chr19	2	116	-	ONT19.575.75796	UTR	NA
chr19	117	454	-	ONT19.575.75796	CDS	MAMSTR
chr19	454	567	-	ONT19.575.75796	intron	MAMSTR
chr19	567	688	-	ONT19.575.75796	CDS	MAMSTR
chr19	688	789	-	ONT19.575.75796	intron	MAMSTR
chr19	789	883	-	ONT19.575.75796	CDS	MAMSTR
chr19	883	984	-	ONT19.575.75796	intron	NA
chr19	984	1104	-	ONT19.575.75796	UTR	NA
chr19	1104	2277	-	ONT19.575.75796	intron	NA
chr19	2277	2527	-	ONT19.575.75796	UTR	NA
chr19	82	116	-	ONT19.575.75798	UTR	NA
chr19	117	454	-	ONT19.575.75798	CDS	MAMSTR
chr19	454	567	-	ONT19.575.75798	intron	MAMSTR
chr19	567	688	-	ONT19.575.75798	CDS	MAMSTR
chr19	688	789	-	ONT19.575.75798	intron	MAMSTR
chr19	789	882	-	ONT19.575.75798	CDS	MAMSTR
chr19	882	984	-	ONT19.575.75798	intron	MAMSTR
chr19	984	1104	-	ONT19.575.75798	CDS	MAMSTR
chr19	1104	2133	-	ONT19.575.75798	intron	MAMSTR
chr19	2133	2168	-	ONT19.575.75798	CDS	MAMSTR
chr19	2169	2187	-	ONT19.575.75798	UTR	NA
chr19	2187	2277	-	ONT19.575.75798	intron	NA
chr19	2277	2517	-	ONT19.575.75798	UTR	NA
chr19	90	116	-	ONT19.575.75800	UTR	NA
chr19	117	454	-	ONT19.575.75800	CDS	MAMSTR
chr19	454	567	-	ONT19.575.75800	intron	MAMSTR
chr19	567	688	-	ONT19.575.75800	CDS	MAMSTR
chr19	688	789	-	ONT19.575.75800	intron	MAMSTR
chr19	789	882	-	ONT19.575.75800	CDS	MAMSTR
chr19	882	984	-	ONT19.575.75800	intron	MAMSTR
chr19	984	1104	-	ONT19.575.75800	CDS	MAMSTR
chr19	1104	2133	-	ONT19.575.75800	intron	MAMSTR
chr19	2133	2168	-	ONT19.575.75800	CDS	MAMSTR
chr19	2169	2187	-	ONT19.575.75800	UTR	NA
chr19	2187	2277	-	ONT19.575.75800	intron	NA
chr19	2277	2464	-	ONT19.575.75800	UTR	NA
chr19	97	116	-	ONT19.575.75803	UTR	NA
chr19	117	454	-	ONT19.575.75803	CDS	MAMSTR
chr19	454	555	-	ONT19.575.75803	intron	MAMSTR
chr19	555	688	-	ONT19.575.75803	CDS	MAMSTR
chr19	688	789	-	ONT19.575.75803	intron	MAMSTR
chr19	789	883	-	ONT19.575.75803	CDS	MAMSTR
chr19	883	984	-	ONT19.575.75803	intron	NA
chr19	984	1104	-	ONT19.575.75803	UTR	NA
chr19	1104	2277	-	ONT19.575.75803	intron	NA
chr19	2277	2513	-	ONT19.575.75803	UTR	NA
chr19	1205	1751	-	ONT19.575.76679	UTR	NA
chr19	1752	2032	-	ONT19.575.76679	CDS	MAMSTR
chr19	2032	2133	-	ONT19.575.76679	intron	MAMSTR
chr19	2133	2187	-	ONT19.575.76679	CDS	MAMSTR
chr19	2187	2277	-	ONT19.575.76679	intron	MAMSTR
chr19	2277	2462	-	ONT19.575.76679	CDS	MAMSTR
chr19	2462	2923	-	ONT19.575.76679	intron	MAMSTR
chr19	2923	3025	-	ONT19.575.76679	CDS	MAMSTR
chr19	3025	3128	-	ONT19.575.76679	intron	MAMSTR
chr19	3128	3246	-	ONT19.575.76679	CDS	MAMSTR
chr19	3247	3312	-	ONT19.575.76679	UTR	NA
chr19	3312	3413	-	ONT19.575.76679	intron	NA
chr19	3413	3555	-	ONT19.575.76679	UTR	NA
chr19	3555	4493	-	ONT19.575.76679	intron	NA
chr19	4493	4745	-	ONT19.575.76679	UTR	NA
chr19	1211	1751	-	ONT19.575.76680	UTR	NA
chr19	1752	2032	-	ONT19.575.76680	CDS	MAMSTR
chr19	2032	2133	-	ONT19.575.76680	intron	MAMSTR
chr19	2133	2187	-	ONT19.575.76680	CDS	MAMSTR
