seqnames	start	end	strand	transcript_id	type	gene_id
chr9	2498	2629	-	ENST00000372938.10	UTR	NA
chr9	2630	2839	-	ENST00000372938.10	CDS	ENSG00000148337.22
chr9	2839	2943	-	ENST00000372938.10	intron	ENSG00000148337.22
chr9	2943	3064	-	ENST00000372938.10	CDS	ENSG00000148337.22
chr9	3064	3279	-	ENST00000372938.10	intron	ENSG00000148337.22
chr9	3279	3348	-	ENST00000372938.10	CDS	ENSG00000148337.22
chr9	3348	5236	-	ENST00000372938.10	intron	ENSG00000148337.22
chr9	5236	5385	-	ENST00000372938.10	CDS	ENSG00000148337.22
chr9	5385	5488	-	ENST00000372938.10	intron	ENSG00000148337.22
chr9	5488	5601	-	ENST00000372938.10	CDS	ENSG00000148337.22
chr9	5601	6102	-	ENST00000372938.10	intron	ENSG00000148337.22
chr9	6102	6189	-	ENST00000372938.10	CDS	ENSG00000148337.22
chr9	6189	6429	-	ENST00000372938.10	intron	ENSG00000148337.22
chr9	6429	6553	-	ENST00000372938.10	CDS	ENSG00000148337.22
chr9	6553	6658	-	ENST00000372938.10	intron	ENSG00000148337.22
chr9	6658	6855	-	ENST00000372938.10	CDS	ENSG00000148337.22
chr9	6855	7461	-	ENST00000372938.10	intron	ENSG00000148337.22
chr9	7461	7582	-	ENST00000372938.10	CDS	ENSG00000148337.22
chr9	7582	7801	-	ENST00000372938.10	intron	ENSG00000148337.22
chr9	7801	8507	-	ENST00000372938.10	CDS	ENSG00000148337.22
chr9	8507	8610	-	ENST00000372938.10	intron	ENSG00000148337.22
chr9	8610	8718	-	ENST00000372938.10	CDS	ENSG00000148337.22
chr9	8718	8916	-	ENST00000372938.10	intron	ENSG00000148337.22
chr9	8916	9009	-	ENST00000372938.10	CDS	ENSG00000148337.22
chr9	9009	9114	-	ENST00000372938.10	intron	ENSG00000148337.22
chr9	9114	9343	-	ENST00000372938.10	CDS	ENSG00000148337.22
chr9	9343	9444	-	ENST00000372938.10	intron	ENSG00000148337.22
chr9	9444	9515	-	ENST00000372938.10	CDS	ENSG00000148337.22
chr9	9515	9617	-	ENST00000372938.10	intron	ENSG00000148337.22
chr9	9617	9732	-	ENST00000372938.10	CDS	ENSG00000148337.22
chr9	9732	9976	-	ENST00000372938.10	intron	ENSG00000148337.22
chr9	9976	10148	-	ENST00000372938.10	CDS	ENSG00000148337.22
chr9	10149	10150	-	ENST00000372938.10	UTR	NA
chr9	10150	10720	-	ENST00000372938.10	intron	NA
chr9	10720	10860	-	ENST00000372938.10	UTR	NA
chr9	2	21	-	ONT9.4941.15462	UTR	NA
chr9	21	2503	-	ONT9.4941.15462	intron	NA
chr9	2503	2632	-	ONT9.4941.15462	UTR	NA
chr9	2633	2839	-	ONT9.4941.15462	CDS	CIZ1
chr9	2839	2943	-	ONT9.4941.15462	intron	CIZ1
chr9	2943	3064	-	ONT9.4941.15462	CDS	CIZ1
chr9	3064	3279	-	ONT9.4941.15462	intron	CIZ1
chr9	3279	3348	-	ONT9.4941.15462	CDS	CIZ1
chr9	3348	5236	-	ONT9.4941.15462	intron	CIZ1
chr9	5236	5385	-	ONT9.4941.15462	CDS	CIZ1
