seqnames	start	end	strand	transcript_id	type	gene_id
chr14	4530	5582	-	ENST00000298352.5	UTR	NA
chr14	5583	5717	-	ENST00000298352.5	CDS	ENSG00000165553.5
chr14	5717	7513	-	ENST00000298352.5	intron	ENSG00000165553.5
chr14	7513	7632	-	ENST00000298352.5	CDS	ENSG00000165553.5
chr14	7632	7733	-	ENST00000298352.5	intron	ENSG00000165553.5
chr14	7733	7844	-	ENST00000298352.5	CDS	ENSG00000165553.5
chr14	7844	8517	-	ENST00000298352.5	intron	ENSG00000165553.5
chr14	8517	8608	-	ENST00000298352.5	CDS	ENSG00000165553.5
chr14	8609	8874	-	ENST00000298352.5	UTR	NA
chr14	2	1371	-	ONT14.2066.6302	UTR	NA
chr14	1372	1402	-	ONT14.2066.6302	CDS	NGB
chr14	1402	4268	-	ONT14.2066.6302	intron	NGB
chr14	4268	4429	-	ONT14.2066.6302	CDS	NGB
chr14	4429	8517	-	ONT14.2066.6302	intron	NGB
chr14	8517	8608	-	ONT14.2066.6302	CDS	NGB
chr14	8609	8738	-	ONT14.2066.6302	UTR	NA
chr14	1503	3035	-	ONT14.2066.6344	UTR	NA
chr14	3036	3170	-	ONT14.2066.6344	CDS	NGB
chr14	3170	7513	-	ONT14.2066.6344	intron	NGB
chr14	7513	7632	-	ONT14.2066.6344	CDS	NGB
chr14	7632	7733	-	ONT14.2066.6344	intron	NGB
chr14	7733	7844	-	ONT14.2066.6344	CDS	NGB
chr14	7844	8517	-	ONT14.2066.6344	intron	NGB
chr14	8517	8608	-	ONT14.2066.6344	CDS	NGB
chr14	8609	8669	-	ONT14.2066.6344	UTR	NA
chr14	3271	4130	-	ONT14.2066.6352	UTR	NA
chr14	4131	4167	-	ONT14.2066.6352	CDS	NGB
chr14	4167	4268	-	ONT14.2066.6352	intron	NGB
chr14	4268	4429	-	ONT14.2066.6352	CDS	NGB
chr14	4429	8517	-	ONT14.2066.6352	intron	NGB
chr14	8517	8608	-	ONT14.2066.6352	CDS	NGB
chr14	8609	8678	-	ONT14.2066.6352	UTR	NA
chr14	4531	5585	-	ONT14.2066.6385	UTR	NA
chr14	5586	5717	-	ONT14.2066.6385	CDS	NGB
chr14	5717	7513	-	ONT14.2066.6385	intron	NGB
chr14	7513	7632	-	ONT14.2066.6385	CDS	NGB
chr14	7632	7733	-	ONT14.2066.6385	intron	NGB
chr14	7733	7844	-	ONT14.2066.6385	CDS	NGB
chr14	7844	8517	-	ONT14.2066.6385	intron	NGB
chr14	8517	8608	-	ONT14.2066.6385	CDS	NGB
chr14	8609	8872	-	ONT14.2066.6385	UTR	NA
chr14	4530	5585	-	ONT14.2066.6386	UTR	NA
chr14	5586	5717	-	ONT14.2066.6386	CDS	NGB
chr14	5717	7513	-	ONT14.2066.6386	intron	NGB
chr14	7513	7632	-	ONT14.2066.6386	CDS	NGB
chr14	7632	7733	-	ONT14.2066.6386	intron	NGB
chr14	7733	7844	-	ONT14.2066.6386	CDS	NGB
chr14	7844	8517	-	ONT14.2066.6386	intron	NGB
chr14	8517	8608	-	ONT14.2066.6386	CDS	NGB
chr14	8609	8669	-	ONT14.2066.6386	UTR	NA
chr14	4548	5717	-	ONT14.2066.6389	UTR	NA
chr14	5717	7513	-	ONT14.2066.6389	intron	NA
chr14	7513	7631	-	ONT14.2066.6389	UTR	NA
chr14	7632	7632	-	ONT14.2066.6389	CDS	NGB
chr14	7632	8517	-	ONT14.2066.6389	intron	NGB
chr14	8517	8608	-	ONT14.2066.6389	CDS	NGB
chr14	8609	8721	-	ONT14.2066.6389	UTR	NA
chr14	4530	5585	-	ONT14.2066.6393	UTR	NA
chr14	5586	5717	-	ONT14.2066.6393	CDS	NGB
chr14	5717	7513	-	ONT14.2066.6393	intron	NGB
chr14	7513	7632	-	ONT14.2066.6393	CDS	NGB
chr14	7632	7733	-	ONT14.2066.6393	intron	NA
chr14	7733	7844	-	ONT14.2066.6393	UTR	NA
chr14	7844	8089	-	ONT14.2066.6393	intron	NA
chr14	8089	8416	-	ONT14.2066.6393	UTR	NA
chr14	4530	5585	-	ONT14.2066.6394	UTR	NA
chr14	5586	5717	-	ONT14.2066.6394	CDS	NGB
chr14	5717	7513	-	ONT14.2066.6394	intron	NGB
chr14	7513	7632	-	ONT14.2066.6394	CDS	NGB
chr14	7632	7733	-	ONT14.2066.6394	intron	NA
chr14	7733	7845	-	ONT14.2066.6394	UTR	NA
chr14	4537	7404	-	ONT14.2066.6396	UTR	NA
chr14	7405	7632	-	ONT14.2066.6396	CDS	NGB
chr14	7632	7733	-	ONT14.2066.6396	intron	NGB
chr14	7733	7844	-	ONT14.2066.6396	CDS	NGB
chr14	7844	8517	-	ONT14.2066.6396	intron	NGB
chr14	8517	8608	-	ONT14.2066.6396	CDS	NGB
chr14	8609	8779	-	ONT14.2066.6396	UTR	NA
chr14	4530	5717	-	ONT14.2066.6400	UTR	NA
chr14	5717	7513	-	ONT14.2066.6400	intron	NA
chr14	7513	7631	-	ONT14.2066.6400	UTR	NA
chr14	7632	7632	-	ONT14.2066.6400	CDS	NGB
chr14	7632	8517	-	ONT14.2066.6400	intron	NGB
chr14	8517	8608	-	ONT14.2066.6400	CDS	NGB
chr14	8609	8887	-	ONT14.2066.6400	UTR	NA
chr14	4530	5585	-	ONT14.2066.6412	UTR	NA
chr14	5586	5717	-	ONT14.2066.6412	CDS	NGB
chr14	5717	7513	-	ONT14.2066.6412	intron	NGB
chr14	7513	7632	-	ONT14.2066.6412	CDS	NGB
chr14	7632	7733	-	ONT14.2066.6412	intron	NGB
chr14	7733	7844	-	ONT14.2066.6412	CDS	NGB
chr14	7844	8517	-	ONT14.2066.6412	intron	NGB
chr14	8517	8608	-	ONT14.2066.6412	CDS	NGB
chr14	8609	8758	-	ONT14.2066.6412	UTR	NA
chr14	8758	9058	-	ONT14.2066.6412	intron	NA
chr14	9058	9114	-	ONT14.2066.6412	UTR	NA
chr14	4530	5717	-	ONT14.2066.6414	UTR	NA
chr14	5717	7513	-	ONT14.2066.6414	intron	NA
chr14	7513	7632	-	ONT14.2066.6414	UTR	NA
chr14	7632	7733	-	ONT14.2066.6414	intron	NA
chr14	7733	7844	-	ONT14.2066.6414	UTR	NA
chr14	7844	7946	-	ONT14.2066.6414	intron	NA
chr14	7946	7954	-	ONT14.2066.6414	UTR	NA
chr14	7955	7988	-	ONT14.2066.6414	CDS	NGB
