seqnames	start	end	strand	transcript_id	type	gene_id
chr20	2	37	+	ENST00000217386.2	UTR	NA
chr20	38	157	+	ENST00000217386.2	CDS	ENSG00000101405.3
chr20	157	258	+	ENST00000217386.2	intron	ENSG00000101405.3
chr20	258	459	+	ENST00000217386.2	CDS	ENSG00000101405.3
chr20	459	544	+	ENST00000217386.2	intron	ENSG00000101405.3
chr20	544	602	+	ENST00000217386.2	CDS	ENSG00000101405.3
chr20	603	698	+	ENST00000217386.2	UTR	NA
chr20	5	37	+	ONT20.131.11580	UTR	NA
chr20	38	157	+	ONT20.131.11580	CDS	OXT
chr20	157	258	+	ONT20.131.11580	intron	OXT
chr20	258	459	+	ONT20.131.11580	CDS	OXT
chr20	459	544	+	ONT20.131.11580	intron	OXT
chr20	544	599	+	ONT20.131.11580	CDS	OXT
chr20	600	695	+	ONT20.131.11580	UTR	NA
chr20	2	157	+	ENST00000217386.2	exon	ENSG00000101405.3
chr20	157	412	+	ENST00000217386.2	intron	ENSG00000101405.3
chr20	412	613	+	ENST00000217386.2	exon	ENSG00000101405.3
chr20	613	698	+	ENST00000217386.2	intron	ENSG00000101405.3
chr20	698	852	+	ENST00000217386.2	exon	ENSG00000101405.3
chr20	5	157	+	ONT20.131.11580	exon	OXT
chr20	157	412	+	ONT20.131.11580	intron	OXT
chr20	412	613	+	ONT20.131.11580	exon	OXT
chr20	613	698	+	ONT20.131.11580	intron	OXT
chr20	698	849	+	ONT20.131.11580	exon	OXT
chr20	258	613	+	ONT20.131.11584	exon	OXT
chr20	614	766	+	ONT20.131.11584	exon	OXT
chr20	398	613	+	ONT20.131.11585	exon	OXT
chr20	614	764	+	ONT20.131.11585	exon	OXT
