seqnames	start	end	strand	transcript_id	type	gene_id
chr6	1138	1300	-	ENST00000367411.7	UTR	NA
chr6	1301	1499	-	ENST00000367411.7	CDS	ENSG00000186625.14
chr6	1499	1647	-	ENST00000367411.7	intron	ENSG00000186625.14
chr6	1647	1773	-	ENST00000367411.7	CDS	ENSG00000186625.14
chr6	1773	1874	-	ENST00000367411.7	intron	ENSG00000186625.14
chr6	1874	2008	-	ENST00000367411.7	CDS	ENSG00000186625.14
chr6	2008	2591	-	ENST00000367411.7	intron	ENSG00000186625.14
chr6	2591	2717	-	ENST00000367411.7	CDS	ENSG00000186625.14
chr6	2717	4170	-	ENST00000367411.7	intron	ENSG00000186625.14
chr6	4170	4328	-	ENST00000367411.7	CDS	ENSG00000186625.14
chr6	4328	5822	-	ENST00000367411.7	intron	ENSG00000186625.14
chr6	5822	5927	-	ENST00000367411.7	CDS	ENSG00000186625.14
chr6	5927	7215	-	ENST00000367411.7	intron	ENSG00000186625.14
chr6	7215	7336	-	ENST00000367411.7	CDS	ENSG00000186625.14
chr6	7336	8042	-	ENST00000367411.7	intron	ENSG00000186625.14
chr6	8042	8222	-	ENST00000367411.7	CDS	ENSG00000186625.14
chr6	8222	8747	-	ENST00000367411.7	intron	ENSG00000186625.14
chr6	8747	8904	-	ENST00000367411.7	CDS	ENSG00000186625.14
chr6	8904	9014	-	ENST00000367411.7	intron	ENSG00000186625.14
chr6	9014	9178	-	ENST00000367411.7	CDS	ENSG00000186625.14
chr6	9179	9188	-	ENST00000367411.7	UTR	NA
chr6	9188	9862	-	ENST00000367411.7	intron	NA
chr6	9862	10107	-	ENST00000367411.7	UTR	NA
chr6	2	1303	-	ONT6.8380.4642	UTR	NA
chr6	1304	1499	-	ONT6.8380.4642	CDS	KATNA1
chr6	1499	1647	-	ONT6.8380.4642	intron	KATNA1
chr6	1647	1773	-	ONT6.8380.4642	CDS	KATNA1
chr6	1773	1874	-	ONT6.8380.4642	intron	KATNA1
chr6	1874	2008	-	ONT6.8380.4642	CDS	KATNA1
chr6	2008	2591	-	ONT6.8380.4642	intron	KATNA1
chr6	2591	2717	-	ONT6.8380.4642	CDS	KATNA1
chr6	2717	4170	-	ONT6.8380.4642	intron	KATNA1
chr6	4170	4328	-	ONT6.8380.4642	CDS	KATNA1
chr6	4328	5822	-	ONT6.8380.4642	intron	KATNA1
chr6	5822	5927	-	ONT6.8380.4642	CDS	KATNA1
chr6	5927	7215	-	ONT6.8380.4642	intron	KATNA1
chr6	7215	7336	-	ONT6.8380.4642	CDS	KATNA1
chr6	7336	8042	-	ONT6.8380.4642	intron	KATNA1
chr6	8042	8222	-	ONT6.8380.4642	CDS	KATNA1
chr6	8222	8747	-	ONT6.8380.4642	intron	KATNA1
chr6	8747	8904	-	ONT6.8380.4642	CDS	KATNA1
chr6	8904	9014	-	ONT6.8380.4642	intron	KATNA1
chr6	9014	9178	-	ONT6.8380.4642	CDS	KATNA1
chr6	9179	9188	-	ONT6.8380.4642	UTR	NA
chr6	9188	9862	-	ONT6.8380.4642	intron	NA
chr6	9862	10170	-	ONT6.8380.4642	UTR	NA
chr6	1143	1303	-	ONT6.8380.4654	UTR	NA
chr6	1304	1499	-	ONT6.8380.4654	CDS	KATNA1
chr6	1499	1647	-	ONT6.8380.4654	intron	KATNA1
chr6	1647	1773	-	ONT6.8380.4654	CDS	KATNA1
chr6	1773	1874	-	ONT6.8380.4654	intron	KATNA1
chr6	1874	2008	-	ONT6.8380.4654	CDS	KATNA1
chr6	2008	2591	-	ONT6.8380.4654	intron	KATNA1
chr6	2591	2717	-	ONT6.8380.4654	CDS	KATNA1
chr6	2717	4170	-	ONT6.8380.4654	intron	KATNA1
chr6	4170	4328	-	ONT6.8380.4654	CDS	KATNA1
chr6	4328	5822	-	ONT6.8380.4654	intron	KATNA1
chr6	5822	5927	-	ONT6.8380.4654	CDS	KATNA1
chr6	5927	7215	-	ONT6.8380.4654	intron	KATNA1
chr6	7215	7336	-	ONT6.8380.4654	CDS	KATNA1
chr6	7336	8042	-	ONT6.8380.4654	intron	KATNA1
chr6	8042	8222	-	ONT6.8380.4654	CDS	KATNA1
chr6	8222	8747	-	ONT6.8380.4654	intron	KATNA1
chr6	8747	8904	-	ONT6.8380.4654	CDS	KATNA1
chr6	8904	9014	-	ONT6.8380.4654	intron	KATNA1
chr6	9014	9178	-	ONT6.8380.4654	CDS	KATNA1
chr6	9179	9181	-	ONT6.8380.4654	UTR	NA
chr6	9181	9862	-	ONT6.8380.4654	intron	NA
chr6	9862	10174	-	ONT6.8380.4654	UTR	NA
chr6	1142	1303	-	ONT6.8380.4655	UTR	NA
chr6	1304	1499	-	ONT6.8380.4655	CDS	KATNA1
chr6	1499	1647	-	ONT6.8380.4655	intron	KATNA1
chr6	1647	1773	-	ONT6.8380.4655	CDS	KATNA1
chr6	1773	1874	-	ONT6.8380.4655	intron	KATNA1
chr6	1874	2008	-	ONT6.8380.4655	CDS	KATNA1
chr6	2008	2591	-	ONT6.8380.4655	intron	KATNA1
chr6	2591	2717	-	ONT6.8380.4655	CDS	KATNA1
chr6	2717	4170	-	ONT6.8380.4655	intron	KATNA1
chr6	4170	4328	-	ONT6.8380.4655	CDS	KATNA1
chr6	4328	5822	-	ONT6.8380.4655	intron	KATNA1
chr6	5822	5869	-	ONT6.8380.4655	CDS	KATNA1
chr6	5870	5912	-	ONT6.8380.4655	UTR	NA
chr6	1138	1303	-	ONT6.8380.4656	UTR	NA
chr6	1304	1499	-	ONT6.8380.4656	CDS	KATNA1
chr6	1499	1653	-	ONT6.8380.4656	intron	KATNA1
chr6	1653	1773	-	ONT6.8380.4656	CDS	KATNA1
chr6	1773	1874	-	ONT6.8380.4656	intron	KATNA1
chr6	1874	2008	-	ONT6.8380.4656	CDS	KATNA1
chr6	2008	2591	-	ONT6.8380.4656	intron	KATNA1
chr6	2591	2717	-	ONT6.8380.4656	CDS	KATNA1
chr6	2717	4170	-	ONT6.8380.4656	intron	KATNA1
chr6	4170	4328	-	ONT6.8380.4656	CDS	KATNA1
chr6	4328	5822	-	ONT6.8380.4656	intron	KATNA1
chr6	5822	5927	-	ONT6.8380.4656	CDS	KATNA1
chr6	5927	7215	-	ONT6.8380.4656	intron	KATNA1
chr6	7215	7336	-	ONT6.8380.4656	CDS	KATNA1
chr6	7336	8042	-	ONT6.8380.4656	intron	KATNA1
chr6	8042	8222	-	ONT6.8380.4656	CDS	KATNA1
chr6	8222	8747	-	ONT6.8380.4656	intron	KATNA1
chr6	8747	8904	-	ONT6.8380.4656	CDS	KATNA1
chr6	8904	9014	-	ONT6.8380.4656	intron	KATNA1
chr6	9014	9178	-	ONT6.8380.4656	CDS	KATNA1
chr6	9179	9188	-	ONT6.8380.4656	UTR	NA
chr6	9188	9862	-	ONT6.8380.4656	intron	NA
chr6	9862	10148	-	ONT6.8380.4656	UTR	NA
chr6	1138	1499	-	ONT6.8380.4657	UTR	NA
chr6	1499	1647	-	ONT6.8380.4657	intron	NA
chr6	1647	1773	-	ONT6.8380.4657	UTR	NA
chr6	1773	1874	-	ONT6.8380.4657	intron	NA
