seqnames	start	end	strand	transcript_id	type	gene_id
chr1	139	955	+	ENST00000378191.5	UTR	NA
chr1	956	984	+	ENST00000378191.5	CDS	ENSG00000196581.11
chr1	984	1085	+	ENST00000378191.5	intron	ENSG00000196581.11
chr1	1085	1884	+	ENST00000378191.5	CDS	ENSG00000196581.11
chr1	1884	1986	+	ENST00000378191.5	intron	ENSG00000196581.11
chr1	1986	2073	+	ENST00000378191.5	CDS	ENSG00000196581.11
chr1	2073	2174	+	ENST00000378191.5	intron	ENSG00000196581.11
chr1	2174	2419	+	ENST00000378191.5	CDS	ENSG00000196581.11
chr1	2419	2520	+	ENST00000378191.5	intron	ENSG00000196581.11
chr1	2520	2595	+	ENST00000378191.5	CDS	ENSG00000196581.11
chr1	2596	2651	+	ENST00000378191.5	UTR	NA
chr1	2651	3248	+	ENST00000378191.5	intron	NA
chr1	3248	13237	+	ENST00000378191.5	UTR	NA
chr1	896	955	+	ONT1.260.12	UTR	NA
chr1	956	984	+	ONT1.260.12	CDS	AJAP1
chr1	984	1085	+	ONT1.260.12	intron	AJAP1
chr1	1085	1884	+	ONT1.260.12	CDS	AJAP1
chr1	1884	1986	+	ONT1.260.12	intron	AJAP1
chr1	1986	2073	+	ONT1.260.12	CDS	AJAP1
chr1	2073	2174	+	ONT1.260.12	intron	AJAP1
chr1	2174	2419	+	ONT1.260.12	CDS	AJAP1
chr1	2419	2520	+	ONT1.260.12	intron	AJAP1
chr1	2520	2592	+	ONT1.260.12	CDS	AJAP1
chr1	2593	2651	+	ONT1.260.12	UTR	NA
chr1	2651	3248	+	ONT1.260.12	intron	NA
chr1	3248	4494	+	ONT1.260.12	UTR	NA
chr1	910	955	+	ONT1.260.16	UTR	NA
chr1	956	984	+	ONT1.260.16	CDS	AJAP1
chr1	984	1085	+	ONT1.260.16	intron	AJAP1
chr1	1085	1884	+	ONT1.260.16	CDS	AJAP1
chr1	1884	1986	+	ONT1.260.16	intron	AJAP1
chr1	1986	2073	+	ONT1.260.16	CDS	AJAP1
chr1	2073	2174	+	ONT1.260.16	intron	AJAP1
chr1	2174	2419	+	ONT1.260.16	CDS	AJAP1
chr1	2419	2520	+	ONT1.260.16	intron	AJAP1
chr1	2520	2592	+	ONT1.260.16	CDS	AJAP1
chr1	2593	2651	+	ONT1.260.16	UTR	NA
chr1	2651	3248	+	ONT1.260.16	intron	NA
chr1	3248	3883	+	ONT1.260.16	UTR	NA
chr1	1193	1331	+	ONT1.260.190	UTR	NA
chr1	1332	1884	+	ONT1.260.190	CDS	AJAP1
chr1	1884	1986	+	ONT1.260.190	intron	AJAP1
chr1	1986	2073	+	ONT1.260.190	CDS	AJAP1
chr1	2073	2174	+	ONT1.260.190	intron	AJAP1
chr1	2174	2419	+	ONT1.260.190	CDS	AJAP1
chr1	2419	2520	+	ONT1.260.190	intron	AJAP1
chr1	2520	2592	+	ONT1.260.190	CDS	AJAP1
chr1	2593	2651	+	ONT1.260.190	UTR	NA
chr1	2651	3248	+	ONT1.260.190	intron	NA
chr1	3248	3753	+	ONT1.260.190	UTR	NA
chr1	1248	1331	+	ONT1.260.193	UTR	NA
chr1	1332	1884	+	ONT1.260.193	CDS	AJAP1
chr1	1884	1986	+	ONT1.260.193	intron	AJAP1
chr1	1986	2073	+	ONT1.260.193	CDS	AJAP1
chr1	2073	2174	+	ONT1.260.193	intron	AJAP1
chr1	2174	2419	+	ONT1.260.193	CDS	AJAP1
chr1	2419	2520	+	ONT1.260.193	intron	AJAP1
chr1	2520	2592	+	ONT1.260.193	CDS	AJAP1
chr1	2593	2651	+	ONT1.260.193	UTR	NA
chr1	2651	3248	+	ONT1.260.193	intron	NA
chr1	3248	4494	+	ONT1.260.193	UTR	NA
chr1	1311	1331	+	ONT1.260.198	UTR	NA
chr1	1332	1884	+	ONT1.260.198	CDS	AJAP1
chr1	1884	1986	+	ONT1.260.198	intron	AJAP1
chr1	1986	2073	+	ONT1.260.198	CDS	AJAP1
chr1	2073	2174	+	ONT1.260.198	intron	AJAP1
chr1	2174	2419	+	ONT1.260.198	CDS	AJAP1
chr1	2419	2520	+	ONT1.260.198	intron	AJAP1
chr1	2520	2592	+	ONT1.260.198	CDS	AJAP1
chr1	2593	2651	+	ONT1.260.198	UTR	NA
chr1	2651	3248	+	ONT1.260.198	intron	NA
chr1	3248	3753	+	ONT1.260.198	UTR	NA
chr1	1400	1739	+	ONT1.260.206	UTR	NA
chr1	1740	1884	+	ONT1.260.206	CDS	AJAP1
chr1	1884	1986	+	ONT1.260.206	intron	AJAP1
chr1	1986	2073	+	ONT1.260.206	CDS	AJAP1
chr1	2073	2174	+	ONT1.260.206	intron	AJAP1
chr1	2174	2419	+	ONT1.260.206	CDS	AJAP1
chr1	2419	2520	+	ONT1.260.206	intron	AJAP1
chr1	2520	2592	+	ONT1.260.206	CDS	AJAP1
chr1	2593	2651	+	ONT1.260.206	UTR	NA
