seqnames	start	end	strand	transcript_id	type	gene_id
chr17	2	166	-	ENST00000374741.4	UTR	NA
chr17	167	550	-	ENST00000374741.4	CDS	ENSG00000204237.5
chr17	550	1171	-	ENST00000374741.4	intron	ENSG00000204237.5
chr17	1171	1233	-	ENST00000374741.4	CDS	ENSG00000204237.5
chr17	1234	1258	-	ENST00000374741.4	UTR	NA
chr17	2	169	-	ONT17.2107.9646	UTR	NA
chr17	170	340	-	ONT17.2107.9646	CDS	OXLD1
chr17	341	550	-	ONT17.2107.9646	UTR	NA
chr17	550	799	-	ONT17.2107.9646	intron	NA
chr17	799	947	-	ONT17.2107.9646	UTR	NA
chr17	9	169	-	ONT17.2107.9647	UTR	NA
chr17	170	550	-	ONT17.2107.9647	CDS	OXLD1
chr17	550	817	-	ONT17.2107.9647	intron	OXLD1
chr17	817	849	-	ONT17.2107.9647	CDS	OXLD1
chr17	850	1228	-	ONT17.2107.9647	UTR	NA
chr17	2	169	-	ONT17.2107.9648	UTR	NA
chr17	170	340	-	ONT17.2107.9648	CDS	OXLD1
chr17	341	550	-	ONT17.2107.9648	UTR	NA
chr17	550	651	-	ONT17.2107.9648	intron	NA
chr17	651	849	-	ONT17.2107.9648	UTR	NA
chr17	2	426	-	ONT17.2107.9650	UTR	NA
chr17	427	550	-	ONT17.2107.9650	CDS	OXLD1
chr17	550	1175	-	ONT17.2107.9650	intron	OXLD1
chr17	1175	1233	-	ONT17.2107.9650	CDS	OXLD1
chr17	1234	1323	-	ONT17.2107.9650	UTR	NA
chr17	10	169	-	ONT17.2107.9688	UTR	NA
chr17	170	550	-	ONT17.2107.9688	CDS	OXLD1
chr17	550	817	-	ONT17.2107.9688	intron	OXLD1
chr17	817	849	-	ONT17.2107.9688	CDS	OXLD1
chr17	850	1102	-	ONT17.2107.9688	UTR	NA
chr17	9	169	-	ONT17.2107.9695	UTR	NA
chr17	170	340	-	ONT17.2107.9695	CDS	OXLD1
chr17	341	550	-	ONT17.2107.9695	UTR	NA
chr17	550	1262	-	ONT17.2107.9695	intron	NA
chr17	1262	1345	-	ONT17.2107.9695	UTR	NA
chr17	7	169	-	ONT17.2107.9701	UTR	NA
chr17	170	550	-	ONT17.2107.9701	CDS	OXLD1
chr17	550	817	-	ONT17.2107.9701	intron	OXLD1
chr17	817	849	-	ONT17.2107.9701	CDS	OXLD1
chr17	850	962	-	ONT17.2107.9701	UTR	NA
chr17	10	169	-	ONT17.2107.9724	UTR	NA
chr17	170	340	-	ONT17.2107.9724	CDS	OXLD1
chr17	341	550	-	ONT17.2107.9724	UTR	NA
chr17	550	1295	-	ONT17.2107.9724	intron	NA
chr17	1295	1319	-	ONT17.2107.9724	UTR	NA
chr17	132	680	-	ENST00000374741.4	exon	ENSG00000204237.5
chr17	680	1301	-	ENST00000374741.4	intron	ENSG00000204237.5
chr17	1301	1388	-	ENST00000374741.4	exon	ENSG00000204237.5
chr17	2	30	-	ONT17.2107.9584	exon	OXLD1
chr17	31	580	-	ONT17.2107.9584	exon	OXLD1
chr17	581	655	-	ONT17.2107.9584	exon	OXLD1
chr17	132	680	-	ONT17.2107.9641	exon	OXLD1
chr17	681	855	-	ONT17.2107.9641	exon	OXLD1
chr17	140	680	-	ONT17.2107.9644	exon	OXLD1
chr17	681	1219	-	ONT17.2107.9644	exon	OXLD1
chr17	132	680	-	ONT17.2107.9645	exon	OXLD1
chr17	681	1284	-	ONT17.2107.9645	exon	OXLD1
chr17	132	680	-	ONT17.2107.9646	exon	OXLD1
chr17	680	929	-	ONT17.2107.9646	intron	NA
chr17	929	1077	-	ONT17.2107.9646	exon	OXLD1
chr17	139	680	-	ONT17.2107.9647	exon	OXLD1
chr17	680	947	-	ONT17.2107.9647	intron	OXLD1
chr17	947	1358	-	ONT17.2107.9647	exon	OXLD1
chr17	132	680	-	ONT17.2107.9648	exon	OXLD1
chr17	680	781	-	ONT17.2107.9648	intron	NA
chr17	781	979	-	ONT17.2107.9648	exon	OXLD1
chr17	132	680	-	ONT17.2107.9650	exon	OXLD1
chr17	680	1305	-	ONT17.2107.9650	intron	OXLD1
chr17	1305	1453	-	ONT17.2107.9650	exon	OXLD1
chr17	139	680	-	ONT17.2107.9652	exon	OXLD1
chr17	681	1018	-	ONT17.2107.9652	exon	OXLD1
chr17	132	680	-	ONT17.2107.9665	exon	OXLD1
chr17	681	815	-	ONT17.2107.9665	exon	OXLD1
chr17	140	680	-	ONT17.2107.9688	exon	OXLD1
chr17	680	947	-	ONT17.2107.9688	intron	OXLD1
chr17	947	1232	-	ONT17.2107.9688	exon	OXLD1
chr17	139	680	-	ONT17.2107.9695	exon	OXLD1
chr17	680	1392	-	ONT17.2107.9695	intron	NA
chr17	1392	1475	-	ONT17.2107.9695	exon	OXLD1
chr17	137	680	-	ONT17.2107.9701	exon	OXLD1
chr17	680	947	-	ONT17.2107.9701	intron	OXLD1
chr17	947	1092	-	ONT17.2107.9701	exon	OXLD1
chr17	139	680	-	ONT17.2107.9702	exon	OXLD1
chr17	681	1336	-	ONT17.2107.9702	exon	OXLD1
chr17	140	660	-	ONT17.2107.9723	exon	OXLD1
chr17	661	1136	-	ONT17.2107.9723	exon	OXLD1
chr17	140	680	-	ONT17.2107.9724	exon	OXLD1
chr17	680	1425	-	ONT17.2107.9724	intron	NA
chr17	1425	1449	-	ONT17.2107.9724	exon	OXLD1
