seqnames	start	end	strand	transcript_id	type	gene_id
chr2	67	265	+	ENST00000194530.8	UTR	NA
chr2	265	367	+	ENST00000194530.8	intron	NA
chr2	367	461	+	ENST00000194530.8	UTR	NA
chr2	462	473	+	ENST00000194530.8	CDS	ENSG00000082146.13
chr2	473	574	+	ENST00000194530.8	intron	ENSG00000082146.13
chr2	574	654	+	ENST00000194530.8	CDS	ENSG00000082146.13
chr2	654	756	+	ENST00000194530.8	intron	ENSG00000082146.13
chr2	756	855	+	ENST00000194530.8	CDS	ENSG00000082146.13
chr2	855	1088	+	ENST00000194530.8	intron	ENSG00000082146.13
chr2	1088	1209	+	ENST00000194530.8	CDS	ENSG00000082146.13
chr2	1209	1312	+	ENST00000194530.8	intron	ENSG00000082146.13
chr2	1312	1420	+	ENST00000194530.8	CDS	ENSG00000082146.13
chr2	1420	1522	+	ENST00000194530.8	intron	ENSG00000082146.13
chr2	1522	1645	+	ENST00000194530.8	CDS	ENSG00000082146.13
chr2	1645	1768	+	ENST00000194530.8	intron	ENSG00000082146.13
chr2	1768	1939	+	ENST00000194530.8	CDS	ENSG00000082146.13
chr2	1939	2236	+	ENST00000194530.8	intron	ENSG00000082146.13
chr2	2236	2340	+	ENST00000194530.8	CDS	ENSG00000082146.13
chr2	2340	2506	+	ENST00000194530.8	intron	ENSG00000082146.13
chr2	2506	2750	+	ENST00000194530.8	CDS	ENSG00000082146.13
chr2	2750	3638	+	ENST00000194530.8	intron	ENSG00000082146.13
chr2	3638	3680	+	ENST00000194530.8	CDS	ENSG00000082146.13
chr2	3680	4181	+	ENST00000194530.8	intron	ENSG00000082146.13
chr2	4181	4327	+	ENST00000194530.8	CDS	ENSG00000082146.13
chr2	4328	4995	+	ENST00000194530.8	UTR	NA
chr2	54	265	+	ONT2.11501.24762	UTR	NA
chr2	265	367	+	ONT2.11501.24762	intron	NA
chr2	367	461	+	ONT2.11501.24762	UTR	NA
chr2	462	473	+	ONT2.11501.24762	CDS	STRADB
chr2	473	574	+	ONT2.11501.24762	intron	STRADB
chr2	574	654	+	ONT2.11501.24762	CDS	STRADB
chr2	654	756	+	ONT2.11501.24762	intron	STRADB
chr2	756	855	+	ONT2.11501.24762	CDS	STRADB
chr2	855	1088	+	ONT2.11501.24762	intron	STRADB
chr2	1088	1209	+	ONT2.11501.24762	CDS	STRADB
chr2	1209	1312	+	ONT2.11501.24762	intron	STRADB
chr2	1312	1420	+	ONT2.11501.24762	CDS	STRADB
chr2	1420	1522	+	ONT2.11501.24762	intron	STRADB
chr2	1522	1645	+	ONT2.11501.24762	CDS	STRADB
chr2	1645	1768	+	ONT2.11501.24762	intron	STRADB
chr2	1768	1944	+	ONT2.11501.24762	CDS	STRADB
chr2	1944	2236	+	ONT2.11501.24762	intron	STRADB
chr2	2236	2257	+	ONT2.11501.24762	CDS	STRADB
chr2	2258	2340	+	ONT2.11501.24762	UTR	NA
chr2	2340	2506	+	ONT2.11501.24762	intron	NA
chr2	2506	2750	+	ONT2.11501.24762	UTR	NA
chr2	2750	3638	+	ONT2.11501.24762	intron	NA
chr2	3638	3680	+	ONT2.11501.24762	UTR	NA
chr2	3680	4181	+	ONT2.11501.24762	intron	NA
chr2	4181	4999	+	ONT2.11501.24762	UTR	NA
chr2	51	265	+	ONT2.11501.24763	UTR	NA
chr2	265	367	+	ONT2.11501.24763	intron	NA
chr2	367	461	+	ONT2.11501.24763	UTR	NA
chr2	462	473	+	ONT2.11501.24763	CDS	STRADB
chr2	473	574	+	ONT2.11501.24763	intron	STRADB
