seqnames	start	end	strand	transcript_id	type	gene_id
chr6	3	131	-	ENST00000358807.8	UTR	NA
chr6	132	280	-	ENST00000358807.8	CDS	ENSG00000135596.18
chr6	280	385	-	ENST00000358807.8	intron	ENSG00000135596.18
chr6	385	458	-	ENST00000358807.8	CDS	ENSG00000135596.18
chr6	458	556	-	ENST00000358807.8	intron	ENSG00000135596.18
chr6	556	655	-	ENST00000358807.8	CDS	ENSG00000135596.18
chr6	655	857	-	ENST00000358807.8	intron	ENSG00000135596.18
chr6	857	950	-	ENST00000358807.8	CDS	ENSG00000135596.18
chr6	950	1076	-	ENST00000358807.8	intron	ENSG00000135596.18
chr6	1076	1189	-	ENST00000358807.8	CDS	ENSG00000135596.18
chr6	1189	1431	-	ENST00000358807.8	intron	ENSG00000135596.18
chr6	1431	1522	-	ENST00000358807.8	CDS	ENSG00000135596.18
chr6	1522	1796	-	ENST00000358807.8	intron	ENSG00000135596.18
chr6	1796	2072	-	ENST00000358807.8	CDS	ENSG00000135596.18
chr6	2072	2356	-	ENST00000358807.8	intron	ENSG00000135596.18
chr6	2356	2432	-	ENST00000358807.8	CDS	ENSG00000135596.18
chr6	2432	2733	-	ENST00000358807.8	intron	ENSG00000135596.18
chr6	2733	2889	-	ENST00000358807.8	CDS	ENSG00000135596.18
chr6	2889	3017	-	ENST00000358807.8	intron	ENSG00000135596.18
chr6	3017	3100	-	ENST00000358807.8	CDS	ENSG00000135596.18
chr6	3100	3341	-	ENST00000358807.8	intron	ENSG00000135596.18
chr6	3341	3382	-	ENST00000358807.8	CDS	ENSG00000135596.18
chr6	3382	3535	-	ENST00000358807.8	intron	ENSG00000135596.18
chr6	3535	3623	-	ENST00000358807.8	CDS	ENSG00000135596.18
chr6	3623	3863	-	ENST00000358807.8	intron	ENSG00000135596.18
chr6	3863	4053	-	ENST00000358807.8	CDS	ENSG00000135596.18
chr6	4053	4392	-	ENST00000358807.8	intron	ENSG00000135596.18
chr6	4392	4539	-	ENST00000358807.8	CDS	ENSG00000135596.18
chr6	4539	5060	-	ENST00000358807.8	intron	ENSG00000135596.18
chr6	5060	5141	-	ENST00000358807.8	CDS	ENSG00000135596.18
chr6	5141	5317	-	ENST00000358807.8	intron	ENSG00000135596.18
chr6	5317	5443	-	ENST00000358807.8	CDS	ENSG00000135596.18
chr6	5443	5545	-	ENST00000358807.8	intron	ENSG00000135596.18
chr6	5545	5660	-	ENST00000358807.8	CDS	ENSG00000135596.18
chr6	5660	5764	-	ENST00000358807.8	intron	ENSG00000135596.18
chr6	5764	6021	-	ENST00000358807.8	CDS	ENSG00000135596.18
chr6	6021	7064	-	ENST00000358807.8	intron	ENSG00000135596.18
chr6	7064	7164	-	ENST00000358807.8	CDS	ENSG00000135596.18
chr6	7164	7710	-	ENST00000358807.8	intron	ENSG00000135596.18
chr6	7710	7865	-	ENST00000358807.8	CDS	ENSG00000135596.18
chr6	7865	7972	-	ENST00000358807.8	intron	ENSG00000135596.18
chr6	7972	8076	-	ENST00000358807.8	CDS	ENSG00000135596.18
chr6	8076	8322	-	ENST00000358807.8	intron	ENSG00000135596.18
chr6	8322	8426	-	ENST00000358807.8	CDS	ENSG00000135596.18
chr6	8426	8697	-	ENST00000358807.8	intron	ENSG00000135596.18
chr6	8697	8904	-	ENST00000358807.8	CDS	ENSG00000135596.18
chr6	8904	8998	-	ENST00000358807.8	intron	ENSG00000135596.18
chr6	8998	9258	-	ENST00000358807.8	CDS	ENSG00000135596.18
chr6	9259	9298	-	ENST00000358807.8	UTR	NA
chr6	9298	10370	-	ENST00000358807.8	intron	NA
chr6	10370	10423	-	ENST00000358807.8	UTR	NA
chr6	3	134	-	ONT6.6141.6037	UTR	NA
chr6	135	280	-	ONT6.6141.6037	CDS	MICAL1
chr6	280	385	-	ONT6.6141.6037	intron	MICAL1
chr6	385	458	-	ONT6.6141.6037	CDS	MICAL1
chr6	458	556	-	ONT6.6141.6037	intron	MICAL1
chr6	556	655	-	ONT6.6141.6037	CDS	MICAL1
chr6	655	857	-	ONT6.6141.6037	intron	MICAL1
chr6	857	950	-	ONT6.6141.6037	CDS	MICAL1
chr6	950	1076	-	ONT6.6141.6037	intron	MICAL1
chr6	1076	1189	-	ONT6.6141.6037	CDS	MICAL1
chr6	1189	1431	-	ONT6.6141.6037	intron	MICAL1
chr6	1431	1612	-	ONT6.6141.6037	CDS	MICAL1
chr6	1612	1796	-	ONT6.6141.6037	intron	MICAL1
chr6	1796	2072	-	ONT6.6141.6037	CDS	MICAL1
chr6	2072	2356	-	ONT6.6141.6037	intron	MICAL1
chr6	2356	2432	-	ONT6.6141.6037	CDS	MICAL1
chr6	2432	2733	-	ONT6.6141.6037	intron	MICAL1
chr6	2733	2889	-	ONT6.6141.6037	CDS	MICAL1
chr6	2889	3017	-	ONT6.6141.6037	intron	MICAL1
chr6	3017	3100	-	ONT6.6141.6037	CDS	MICAL1
chr6	3100	3341	-	ONT6.6141.6037	intron	MICAL1
chr6	3341	3382	-	ONT6.6141.6037	CDS	MICAL1
chr6	3382	3535	-	ONT6.6141.6037	intron	MICAL1
chr6	3535	3623	-	ONT6.6141.6037	CDS	MICAL1
chr6	3623	3863	-	ONT6.6141.6037	intron	MICAL1
chr6	3863	3881	-	ONT6.6141.6037	CDS	MICAL1
chr6	3882	4028	-	ONT6.6141.6037	UTR	NA
chr6	3	134	-	ONT6.6141.6038	UTR	NA
chr6	135	280	-	ONT6.6141.6038	CDS	MICAL1
chr6	280	385	-	ONT6.6141.6038	intron	MICAL1
chr6	385	458	-	ONT6.6141.6038	CDS	MICAL1
chr6	458	556	-	ONT6.6141.6038	intron	MICAL1
chr6	556	655	-	ONT6.6141.6038	CDS	MICAL1
chr6	655	857	-	ONT6.6141.6038	intron	MICAL1
chr6	857	950	-	ONT6.6141.6038	CDS	MICAL1
chr6	950	1076	-	ONT6.6141.6038	intron	MICAL1
chr6	1076	1189	-	ONT6.6141.6038	CDS	MICAL1
chr6	1189	1431	-	ONT6.6141.6038	intron	MICAL1
chr6	1431	1522	-	ONT6.6141.6038	CDS	MICAL1
chr6	1522	1796	-	ONT6.6141.6038	intron	MICAL1
chr6	1796	2048	-	ONT6.6141.6038	CDS	MICAL1
chr6	2049	2072	-	ONT6.6141.6038	UTR	NA
chr6	2072	2339	-	ONT6.6141.6038	intron	NA
chr6	2339	2432	-	ONT6.6141.6038	UTR	NA
chr6	2432	2733	-	ONT6.6141.6038	intron	NA
chr6	2733	2876	-	ONT6.6141.6038	UTR	NA
chr6	3	134	-	ONT6.6141.6039	UTR	NA
chr6	135	280	-	ONT6.6141.6039	CDS	MICAL1
chr6	280	385	-	ONT6.6141.6039	intron	MICAL1
chr6	385	458	-	ONT6.6141.6039	CDS	MICAL1
chr6	458	556	-	ONT6.6141.6039	intron	MICAL1
chr6	556	655	-	ONT6.6141.6039	CDS	MICAL1
chr6	655	857	-	ONT6.6141.6039	intron	MICAL1
chr6	857	950	-	ONT6.6141.6039	CDS	MICAL1
chr6	950	1076	-	ONT6.6141.6039	intron	MICAL1
chr6	1076	1189	-	ONT6.6141.6039	CDS	MICAL1
chr6	1189	1431	-	ONT6.6141.6039	intron	MICAL1
chr6	1431	1514	-	ONT6.6141.6039	CDS	MICAL1
chr6	1515	1826	-	ONT6.6141.6039	UTR	NA
chr6	3	134	-	ONT6.6141.6040	UTR	NA
chr6	135	280	-	ONT6.6141.6040	CDS	MICAL1
chr6	280	385	-	ONT6.6141.6040	intron	MICAL1
chr6	385	458	-	ONT6.6141.6040	CDS	MICAL1
chr6	458	556	-	ONT6.6141.6040	intron	MICAL1
chr6	556	655	-	ONT6.6141.6040	CDS	MICAL1
chr6	655	857	-	ONT6.6141.6040	intron	MICAL1
chr6	857	950	-	ONT6.6141.6040	CDS	MICAL1
chr6	950	1076	-	ONT6.6141.6040	intron	MICAL1
chr6	1076	1189	-	ONT6.6141.6040	CDS	MICAL1
chr6	1189	1431	-	ONT6.6141.6040	intron	MICAL1
chr6	1431	1522	-	ONT6.6141.6040	CDS	MICAL1
chr6	1522	1796	-	ONT6.6141.6040	intron	MICAL1
chr6	1796	2048	-	ONT6.6141.6040	CDS	MICAL1
chr6	2049	2305	-	ONT6.6141.6040	UTR	NA
chr6	3	280	-	ONT6.6141.6043	UTR	NA
chr6	280	385	-	ONT6.6141.6043	intron	NA
chr6	385	458	-	ONT6.6141.6043	UTR	NA
chr6	458	556	-	ONT6.6141.6043	intron	NA
chr6	556	655	-	ONT6.6141.6043	UTR	NA
chr6	655	857	-	ONT6.6141.6043	intron	NA
chr6	857	950	-	ONT6.6141.6043	UTR	NA
chr6	950	1076	-	ONT6.6141.6043	intron	NA
chr6	1076	1189	-	ONT6.6141.6043	UTR	NA
chr6	1189	1431	-	ONT6.6141.6043	intron	NA
chr6	1431	1522	-	ONT6.6141.6043	UTR	NA
chr6	1522	1796	-	ONT6.6141.6043	intron	NA
chr6	1796	2354	-	ONT6.6141.6043	UTR	NA
chr6	2355	2432	-	ONT6.6141.6043	CDS	MICAL1
chr6	2432	7064	-	ONT6.6141.6043	intron	MICAL1
chr6	7064	7164	-	ONT6.6141.6043	CDS	MICAL1
chr6	7164	7710	-	ONT6.6141.6043	intron	MICAL1
chr6	7710	7865	-	ONT6.6141.6043	CDS	MICAL1
chr6	7865	7972	-	ONT6.6141.6043	intron	MICAL1
chr6	7972	8076	-	ONT6.6141.6043	CDS	MICAL1
chr6	8076	8322	-	ONT6.6141.6043	intron	MICAL1
chr6	8322	8426	-	ONT6.6141.6043	CDS	MICAL1
chr6	8426	8697	-	ONT6.6141.6043	intron	MICAL1
chr6	8697	8904	-	ONT6.6141.6043	CDS	MICAL1
chr6	8904	8998	-	ONT6.6141.6043	intron	MICAL1
chr6	8998	9258	-	ONT6.6141.6043	CDS	MICAL1
chr6	9259	9299	-	ONT6.6141.6043	UTR	NA
chr6	3	280	-	ONT6.6141.6045	UTR	NA
chr6	280	385	-	ONT6.6141.6045	intron	NA
chr6	385	458	-	ONT6.6141.6045	UTR	NA
chr6	458	556	-	ONT6.6141.6045	intron	NA
chr6	556	655	-	ONT6.6141.6045	UTR	NA
chr6	655	857	-	ONT6.6141.6045	intron	NA
chr6	857	950	-	ONT6.6141.6045	UTR	NA
