seqnames	start	end	strand	transcript_id	type	gene_id
chr2	2004	2103	+	ENST00000272928.4	UTR	NA
chr2	2103	2366	+	ENST00000272928.4	intron	NA
chr2	2366	2391	+	ENST00000272928.4	UTR	NA
chr2	2392	3483	+	ENST00000272928.4	CDS	ENSG00000144476.6
chr2	3484	4280	+	ENST00000272928.4	UTR	NA
chr2	81	184	+	ONT2.13020.12	UTR	NA
chr2	184	285	+	ONT2.13020.12	intron	NA
chr2	285	780	+	ONT2.13020.12	UTR	NA
chr2	780	2366	+	ONT2.13020.12	intron	NA
chr2	2366	2391	+	ONT2.13020.12	UTR	NA
chr2	2392	3480	+	ONT2.13020.12	CDS	ACKR3
chr2	3481	4277	+	ONT2.13020.12	UTR	NA
chr2	131	184	+	ONT2.13020.16	UTR	NA
chr2	184	2366	+	ONT2.13020.16	intron	NA
chr2	2366	2391	+	ONT2.13020.16	UTR	NA
chr2	2392	3480	+	ONT2.13020.16	CDS	ACKR3
chr2	3481	4280	+	ONT2.13020.16	UTR	NA
chr2	821	2103	+	ONT2.13020.30	UTR	NA
chr2	2103	2366	+	ONT2.13020.30	intron	NA
chr2	2366	2391	+	ONT2.13020.30	UTR	NA
chr2	2392	3480	+	ONT2.13020.30	CDS	ACKR3
chr2	3481	4284	+	ONT2.13020.30	UTR	NA
chr2	2	184	+	ONT2.13020.4	UTR	NA
chr2	184	2366	+	ONT2.13020.4	intron	NA
chr2	2366	2391	+	ONT2.13020.4	UTR	NA
chr2	2392	3480	+	ONT2.13020.4	CDS	ACKR3
chr2	3481	4278	+	ONT2.13020.4	UTR	NA
chr2	1808	2103	+	ONT2.13020.42	UTR	NA
chr2	2103	2366	+	ONT2.13020.42	intron	NA
chr2	2366	2391	+	ONT2.13020.42	UTR	NA
chr2	2392	3480	+	ONT2.13020.42	CDS	ACKR3
chr2	3481	4280	+	ONT2.13020.42	UTR	NA
chr2	1914	2103	+	ONT2.13020.43	UTR	NA
chr2	2103	2366	+	ONT2.13020.43	intron	NA
chr2	2366	2391	+	ONT2.13020.43	UTR	NA
chr2	2392	3480	+	ONT2.13020.43	CDS	ACKR3
chr2	3481	4284	+	ONT2.13020.43	UTR	NA
chr2	2012	2103	+	ONT2.13020.45	UTR	NA
chr2	2103	2366	+	ONT2.13020.45	intron	NA
chr2	2366	2391	+	ONT2.13020.45	UTR	NA
chr2	2392	3480	+	ONT2.13020.45	CDS	ACKR3
chr2	3481	4284	+	ONT2.13020.45	UTR	NA
chr2	2004	2103	+	ONT2.13020.48	UTR	NA
chr2	2103	2366	+	ONT2.13020.48	intron	NA
chr2	2366	2391	+	ONT2.13020.48	UTR	NA
chr2	2392	3480	+	ONT2.13020.48	CDS	ACKR3
chr2	3481	4021	+	ONT2.13020.48	UTR	NA
chr2	2004	2103	+	ONT2.13020.62	UTR	NA
chr2	2103	2366	+	ONT2.13020.62	intron	NA
chr2	2366	2391	+	ONT2.13020.62	UTR	NA
chr2	2392	3480	+	ONT2.13020.62	CDS	ACKR3
chr2	3481	3920	+	ONT2.13020.62	UTR	NA
chr2	3920	4060	+	ONT2.13020.62	intron	NA
chr2	4060	4265	+	ONT2.13020.62	UTR	NA
chr2	2004	2103	+	ONT2.13020.67	UTR	NA
chr2	2103	2204	+	ONT2.13020.67	intron	NA
chr2	2204	2265	+	ONT2.13020.67	UTR	NA
chr2	2265	2366	+	ONT2.13020.67	intron	NA
chr2	2366	2391	+	ONT2.13020.67	UTR	NA
chr2	2392	3480	+	ONT2.13020.67	CDS	ACKR3
chr2	3481	4279	+	ONT2.13020.67	UTR	NA
chr2	96	184	+	ONT2.13020.8	UTR	NA
chr2	184	2366	+	ONT2.13020.8	intron	NA
chr2	2366	2391	+	ONT2.13020.8	UTR	NA
chr2	2392	3480	+	ONT2.13020.8	CDS	ACKR3
chr2	3481	4280	+	ONT2.13020.8	UTR	NA
chr2	2081	2103	+	ONT2.13020.83	UTR	NA
chr2	2103	2366	+	ONT2.13020.83	intron	NA
chr2	2366	2391	+	ONT2.13020.83	UTR	NA
chr2	2392	3480	+	ONT2.13020.83	CDS	ACKR3
chr2	3481	4282	+	ONT2.13020.83	UTR	NA
chr2	2004	2103	+	ENST00000272928.4	exon	ENSG00000144476.6
chr2	2103	2366	+	ENST00000272928.4	intron	NA
chr2	2366	4280	+	ENST00000272928.4	exon	ENSG00000144476.6
chr2	81	184	+	ONT2.13020.12	exon	ACKR3
chr2	184	285	+	ONT2.13020.12	intron	NA
chr2	285	780	+	ONT2.13020.12	exon	ACKR3
chr2	780	2366	+	ONT2.13020.12	intron	NA
chr2	2366	4277	+	ONT2.13020.12	exon	ACKR3
chr2	98	184	+	ONT2.13020.13	exon	ACKR3
chr2	185	1336	+	ONT2.13020.13	exon	ACKR3
chr2	103	184	+	ONT2.13020.14	exon	ACKR3
chr2	185	680	+	ONT2.13020.14	exon	ACKR3
chr2	681	1256	+	ONT2.13020.14	exon	ACKR3
chr2	131	184	+	ONT2.13020.16	exon	ACKR3
chr2	184	2366	+	ONT2.13020.16	intron	NA
chr2	2366	4280	+	ONT2.13020.16	exon	ACKR3
chr2	140	184	+	ONT2.13020.17	exon	ACKR3
chr2	185	1332	+	ONT2.13020.17	exon	ACKR3
chr2	821	2103	+	ONT2.13020.30	exon	ACKR3
chr2	2103	2366	+	ONT2.13020.30	intron	NA
chr2	2366	4284	+	ONT2.13020.30	exon	ACKR3
chr2	2	184	+	ONT2.13020.4	exon	ACKR3
chr2	184	2366	+	ONT2.13020.4	intron	NA
chr2	2366	4278	+	ONT2.13020.4	exon	ACKR3
chr2	1808	2103	+	ONT2.13020.42	exon	ACKR3
chr2	2103	2366	+	ONT2.13020.42	intron	NA
chr2	2366	4280	+	ONT2.13020.42	exon	ACKR3
chr2	1914	2103	+	ONT2.13020.43	exon	ACKR3
chr2	2103	2366	+	ONT2.13020.43	intron	NA
chr2	2366	4284	+	ONT2.13020.43	exon	ACKR3
chr2	2012	2103	+	ONT2.13020.45	exon	ACKR3
chr2	2103	2366	+	ONT2.13020.45	intron	NA
chr2	2366	4284	+	ONT2.13020.45	exon	ACKR3
chr2	2004	2103	+	ONT2.13020.48	exon	ACKR3
chr2	2103	2366	+	ONT2.13020.48	intron	NA
chr2	2366	4021	+	ONT2.13020.48	exon	ACKR3
chr2	35	184	+	ONT2.13020.6	exon	ACKR3
chr2	185	1339	+	ONT2.13020.6	exon	ACKR3
chr2	2004	2103	+	ONT2.13020.62	exon	ACKR3
chr2	2103	2366	+	ONT2.13020.62	intron	NA
chr2	2366	3920	+	ONT2.13020.62	exon	ACKR3
chr2	3920	4060	+	ONT2.13020.62	intron	NA
chr2	4060	4265	+	ONT2.13020.62	exon	ACKR3
chr2	2004	2103	+	ONT2.13020.67	exon	ACKR3
chr2	2103	2204	+	ONT2.13020.67	intron	NA
chr2	2204	2265	+	ONT2.13020.67	exon	ACKR3
chr2	2265	2366	+	ONT2.13020.67	intron	NA
chr2	2366	4279	+	ONT2.13020.67	exon	ACKR3
chr2	80	184	+	ONT2.13020.7	exon	ACKR3
chr2	185	680	+	ONT2.13020.7	exon	ACKR3
chr2	681	1256	+	ONT2.13020.7	exon	ACKR3
chr2	96	184	+	ONT2.13020.8	exon	ACKR3
chr2	184	2366	+	ONT2.13020.8	intron	NA
chr2	2366	4280	+	ONT2.13020.8	exon	ACKR3
chr2	2081	2103	+	ONT2.13020.83	exon	ACKR3
chr2	2103	2366	+	ONT2.13020.83	intron	NA
chr2	2366	4282	+	ONT2.13020.83	exon	ACKR3
