seqnames	start	end	strand	transcript_id	type	gene_id
chr16	415	821	+	ENST00000355377.7	UTR	NA
chr16	822	836	+	ENST00000355377.7	CDS	ENSG00000103528.17
chr16	836	1608	+	ENST00000355377.7	intron	ENSG00000103528.17
chr16	1608	1625	+	ENST00000355377.7	CDS	ENSG00000103528.17
chr16	1625	1905	+	ENST00000355377.7	intron	ENSG00000103528.17
chr16	1905	2053	+	ENST00000355377.7	CDS	ENSG00000103528.17
chr16	2053	2543	+	ENST00000355377.7	intron	ENSG00000103528.17
chr16	2543	2691	+	ENST00000355377.7	CDS	ENSG00000103528.17
chr16	2691	2792	+	ENST00000355377.7	intron	ENSG00000103528.17
chr16	2792	3411	+	ENST00000355377.7	CDS	ENSG00000103528.17
chr16	3411	4415	+	ENST00000355377.7	intron	ENSG00000103528.17
chr16	4415	4535	+	ENST00000355377.7	CDS	ENSG00000103528.17
chr16	4535	4646	+	ENST00000355377.7	intron	ENSG00000103528.17
chr16	4646	4801	+	ENST00000355377.7	CDS	ENSG00000103528.17
chr16	4801	5751	+	ENST00000355377.7	intron	ENSG00000103528.17
chr16	5751	5950	+	ENST00000355377.7	CDS	ENSG00000103528.17
chr16	5951	7203	+	ENST00000355377.7	UTR	NA
chr16	2	323	+	ONT16.303.7260	UTR	NA
chr16	323	1905	+	ONT16.303.7260	intron	NA
chr16	1905	2053	+	ONT16.303.7260	UTR	NA
chr16	2053	2543	+	ONT16.303.7260	intron	NA
chr16	2543	2543	+	ONT16.303.7260	UTR	NA
chr16	2544	2691	+	ONT16.303.7260	CDS	SYT17
chr16	2691	2792	+	ONT16.303.7260	intron	SYT17
chr16	2792	3411	+	ONT16.303.7260	CDS	SYT17
chr16	3411	4415	+	ONT16.303.7260	intron	SYT17
chr16	4415	4535	+	ONT16.303.7260	CDS	SYT17
chr16	4535	4646	+	ONT16.303.7260	intron	SYT17
chr16	4646	4801	+	ONT16.303.7260	CDS	SYT17
chr16	4801	5751	+	ONT16.303.7260	intron	SYT17
chr16	5751	5947	+	ONT16.303.7260	CDS	SYT17
chr16	5948	7203	+	ONT16.303.7260	UTR	NA
chr16	4	335	+	ONT16.303.7261	UTR	NA
chr16	335	1905	+	ONT16.303.7261	intron	NA
chr16	1905	2053	+	ONT16.303.7261	UTR	NA
chr16	2053	2543	+	ONT16.303.7261	intron	NA
chr16	2543	2543	+	ONT16.303.7261	UTR	NA
chr16	2544	2691	+	ONT16.303.7261	CDS	SYT17
chr16	2691	2792	+	ONT16.303.7261	intron	SYT17
chr16	2792	3411	+	ONT16.303.7261	CDS	SYT17
chr16	3411	4415	+	ONT16.303.7261	intron	SYT17
chr16	4415	4535	+	ONT16.303.7261	CDS	SYT17
chr16	4535	4646	+	ONT16.303.7261	intron	SYT17
chr16	4646	4801	+	ONT16.303.7261	CDS	SYT17
chr16	4801	5751	+	ONT16.303.7261	intron	SYT17
chr16	5751	5947	+	ONT16.303.7261	CDS	SYT17
chr16	5948	7203	+	ONT16.303.7261	UTR	NA
chr16	7	319	+	ONT16.303.7263	UTR	NA
chr16	319	1895	+	ONT16.303.7263	intron	NA
chr16	1895	2053	+	ONT16.303.7263	UTR	NA
chr16	2053	2543	+	ONT16.303.7263	intron	NA
chr16	2543	2543	+	ONT16.303.7263	UTR	NA
chr16	2544	2691	+	ONT16.303.7263	CDS	SYT17
chr16	2691	2792	+	ONT16.303.7263	intron	SYT17
chr16	2792	3411	+	ONT16.303.7263	CDS	SYT17
chr16	3411	4415	+	ONT16.303.7263	intron	SYT17
chr16	4415	4535	+	ONT16.303.7263	CDS	SYT17
chr16	4535	4646	+	ONT16.303.7263	intron	SYT17
chr16	4646	4801	+	ONT16.303.7263	CDS	SYT17
chr16	4801	5751	+	ONT16.303.7263	intron	SYT17
chr16	5751	5947	+	ONT16.303.7263	CDS	SYT17
chr16	5948	7205	+	ONT16.303.7263	UTR	NA
chr16	75	323	+	ONT16.303.7275	UTR	NA
chr16	323	1905	+	ONT16.303.7275	intron	NA
chr16	1905	2053	+	ONT16.303.7275	UTR	NA
chr16	2053	2543	+	ONT16.303.7275	intron	NA
chr16	2543	2543	+	ONT16.303.7275	UTR	NA
chr16	2544	2691	+	ONT16.303.7275	CDS	SYT17
chr16	2691	2792	+	ONT16.303.7275	intron	SYT17
chr16	2792	3411	+	ONT16.303.7275	CDS	SYT17
chr16	3411	4415	+	ONT16.303.7275	intron	SYT17
chr16	4415	4535	+	ONT16.303.7275	CDS	SYT17
chr16	4535	4646	+	ONT16.303.7275	intron	SYT17
chr16	4646	4801	+	ONT16.303.7275	CDS	SYT17
chr16	4801	5500	+	ONT16.303.7275	intron	SYT17
chr16	5500	5633	+	ONT16.303.7275	CDS	SYT17
