seqnames	start	end	strand	transcript_id	type	gene_id
chr14	85	125	+	ENST00000216294.5	UTR	NA
chr14	126	253	+	ENST00000216294.5	CDS	ENSG00000023608.5
chr14	253	359	+	ENST00000216294.5	intron	ENSG00000023608.5
chr14	359	518	+	ENST00000216294.5	CDS	ENSG00000023608.5
chr14	518	621	+	ENST00000216294.5	intron	ENSG00000023608.5
chr14	621	761	+	ENST00000216294.5	CDS	ENSG00000023608.5
chr14	761	866	+	ENST00000216294.5	intron	ENSG00000023608.5
chr14	866	970	+	ENST00000216294.5	CDS	ENSG00000023608.5
chr14	970	2088	+	ENST00000216294.5	intron	ENSG00000023608.5
chr14	2088	2246	+	ENST00000216294.5	CDS	ENSG00000023608.5
chr14	2246	2347	+	ENST00000216294.5	intron	ENSG00000023608.5
chr14	2347	2415	+	ENST00000216294.5	CDS	ENSG00000023608.5
chr14	2415	3123	+	ENST00000216294.5	intron	ENSG00000023608.5
chr14	3123	3185	+	ENST00000216294.5	CDS	ENSG00000023608.5
chr14	3185	3286	+	ENST00000216294.5	intron	ENSG00000023608.5
chr14	3286	3436	+	ENST00000216294.5	CDS	ENSG00000023608.5
chr14	3436	3976	+	ENST00000216294.5	intron	ENSG00000023608.5
chr14	3976	4071	+	ENST00000216294.5	CDS	ENSG00000023608.5
chr14	4071	4172	+	ENST00000216294.5	intron	ENSG00000023608.5
chr14	4172	4209	+	ENST00000216294.5	CDS	ENSG00000023608.5
chr14	4210	5651	+	ENST00000216294.5	UTR	NA
chr14	20	125	+	ONT14.1923.3517	UTR	NA
chr14	126	253	+	ONT14.1923.3517	CDS	SNAPC1
chr14	253	359	+	ONT14.1923.3517	intron	SNAPC1
chr14	359	518	+	ONT14.1923.3517	CDS	SNAPC1
chr14	518	621	+	ONT14.1923.3517	intron	SNAPC1
chr14	621	761	+	ONT14.1923.3517	CDS	SNAPC1
chr14	761	866	+	ONT14.1923.3517	intron	SNAPC1
chr14	866	970	+	ONT14.1923.3517	CDS	SNAPC1
chr14	970	2088	+	ONT14.1923.3517	intron	SNAPC1
chr14	2088	2246	+	ONT14.1923.3517	CDS	SNAPC1
chr14	2246	2347	+	ONT14.1923.3517	intron	SNAPC1
chr14	2347	2415	+	ONT14.1923.3517	CDS	SNAPC1
chr14	2415	3123	+	ONT14.1923.3517	intron	SNAPC1
chr14	3123	3185	+	ONT14.1923.3517	CDS	SNAPC1
chr14	3185	3286	+	ONT14.1923.3517	intron	SNAPC1
chr14	3286	3436	+	ONT14.1923.3517	CDS	SNAPC1
chr14	3436	3976	+	ONT14.1923.3517	intron	SNAPC1
chr14	3976	4071	+	ONT14.1923.3517	CDS	SNAPC1
chr14	4071	4172	+	ONT14.1923.3517	intron	SNAPC1
chr14	4172	4206	+	ONT14.1923.3517	CDS	SNAPC1
chr14	4207	4887	+	ONT14.1923.3517	UTR	NA
chr14	7	125	+	ONT14.1923.3519	UTR	NA
chr14	126	253	+	ONT14.1923.3519	CDS	SNAPC1
chr14	253	359	+	ONT14.1923.3519	intron	SNAPC1
chr14	359	518	+	ONT14.1923.3519	CDS	SNAPC1
chr14	518	621	+	ONT14.1923.3519	intron	SNAPC1
chr14	621	761	+	ONT14.1923.3519	CDS	SNAPC1
chr14	761	866	+	ONT14.1923.3519	intron	SNAPC1
chr14	866	970	+	ONT14.1923.3519	CDS	SNAPC1
chr14	970	2088	+	ONT14.1923.3519	intron	SNAPC1
chr14	2088	2246	+	ONT14.1923.3519	CDS	SNAPC1
chr14	2246	2347	+	ONT14.1923.3519	intron	SNAPC1
chr14	2347	2415	+	ONT14.1923.3519	CDS	SNAPC1
chr14	2415	3123	+	ONT14.1923.3519	intron	SNAPC1
chr14	3123	3185	+	ONT14.1923.3519	CDS	SNAPC1
chr14	3185	3286	+	ONT14.1923.3519	intron	SNAPC1
chr14	3286	3436	+	ONT14.1923.3519	CDS	SNAPC1
chr14	3436	3976	+	ONT14.1923.3519	intron	SNAPC1
chr14	3976	4071	+	ONT14.1923.3519	CDS	SNAPC1
chr14	4071	4172	+	ONT14.1923.3519	intron	SNAPC1
chr14	4172	4206	+	ONT14.1923.3519	CDS	SNAPC1
chr14	4207	5655	+	ONT14.1923.3519	UTR	NA
chr14	20	125	+	ONT14.1923.3529	UTR	NA
chr14	126	253	+	ONT14.1923.3529	CDS	SNAPC1
chr14	253	359	+	ONT14.1923.3529	intron	SNAPC1
chr14	359	518	+	ONT14.1923.3529	CDS	SNAPC1
chr14	518	621	+	ONT14.1923.3529	intron	SNAPC1
chr14	621	761	+	ONT14.1923.3529	CDS	SNAPC1
chr14	761	866	+	ONT14.1923.3529	intron	SNAPC1
chr14	866	970	+	ONT14.1923.3529	CDS	SNAPC1
chr14	970	2088	+	ONT14.1923.3529	intron	SNAPC1
chr14	2088	2246	+	ONT14.1923.3529	CDS	SNAPC1
chr14	2246	2347	+	ONT14.1923.3529	intron	SNAPC1
chr14	2347	2415	+	ONT14.1923.3529	CDS	SNAPC1
chr14	2415	3123	+	ONT14.1923.3529	intron	SNAPC1
chr14	3123	3185	+	ONT14.1923.3529	CDS	SNAPC1
chr14	3185	3286	+	ONT14.1923.3529	intron	SNAPC1
chr14	3286	3436	+	ONT14.1923.3529	CDS	SNAPC1
chr14	3436	3976	+	ONT14.1923.3529	intron	SNAPC1
chr14	3976	4071	+	ONT14.1923.3529	CDS	SNAPC1
chr14	4071	4172	+	ONT14.1923.3529	intron	SNAPC1
chr14	4172	4206	+	ONT14.1923.3529	CDS	SNAPC1
chr14	4207	4370	+	ONT14.1923.3529	UTR	NA
chr14	2	125	+	ONT14.1923.3531	UTR	NA
chr14	126	253	+	ONT14.1923.3531	CDS	SNAPC1
chr14	253	359	+	ONT14.1923.3531	intron	SNAPC1
chr14	359	518	+	ONT14.1923.3531	CDS	SNAPC1
chr14	518	621	+	ONT14.1923.3531	intron	SNAPC1
chr14	621	761	+	ONT14.1923.3531	CDS	SNAPC1
chr14	761	877	+	ONT14.1923.3531	intron	SNAPC1
chr14	877	903	+	ONT14.1923.3531	CDS	SNAPC1
chr14	904	970	+	ONT14.1923.3531	UTR	NA
chr14	970	2088	+	ONT14.1923.3531	intron	NA
chr14	2088	2246	+	ONT14.1923.3531	UTR	NA
chr14	2246	2347	+	ONT14.1923.3531	intron	NA
chr14	2347	2415	+	ONT14.1923.3531	UTR	NA
chr14	2415	3123	+	ONT14.1923.3531	intron	NA
chr14	3123	3185	+	ONT14.1923.3531	UTR	NA
chr14	3185	3286	+	ONT14.1923.3531	intron	NA
chr14	3286	3436	+	ONT14.1923.3531	UTR	NA
chr14	3436	3976	+	ONT14.1923.3531	intron	NA
chr14	3976	4071	+	ONT14.1923.3531	UTR	NA
chr14	4071	4172	+	ONT14.1923.3531	intron	NA
chr14	4172	4708	+	ONT14.1923.3531	UTR	NA
chr14	51	125	+	ONT14.1923.3532	UTR	NA
