seqnames	start	end	strand	transcript_id	type	gene_id
chr19	19	231	-	ENST00000222145.9	UTR	NA
chr19	232	431	-	ENST00000222145.9	CDS	ENSG00000105538.10
chr19	431	794	-	ENST00000222145.9	intron	ENSG00000105538.10
chr19	794	941	-	ENST00000222145.9	CDS	ENSG00000105538.10
chr19	941	1766	-	ENST00000222145.9	intron	ENSG00000105538.10
chr19	1766	1938	-	ENST00000222145.9	CDS	ENSG00000105538.10
chr19	1938	2146	-	ENST00000222145.9	intron	ENSG00000105538.10
chr19	2146	2389	-	ENST00000222145.9	CDS	ENSG00000105538.10
chr19	2389	2663	-	ENST00000222145.9	intron	ENSG00000105538.10
chr19	2663	2766	-	ENST00000222145.9	CDS	ENSG00000105538.10
chr19	2766	2885	-	ENST00000222145.9	intron	ENSG00000105538.10
chr19	2885	3036	-	ENST00000222145.9	CDS	ENSG00000105538.10
chr19	3036	3137	-	ENST00000222145.9	intron	ENSG00000105538.10
chr19	3137	3174	-	ENST00000222145.9	CDS	ENSG00000105538.10
chr19	3174	3275	-	ENST00000222145.9	intron	ENSG00000105538.10
chr19	3275	3928	-	ENST00000222145.9	CDS	ENSG00000105538.10
chr19	3928	4029	-	ENST00000222145.9	intron	ENSG00000105538.10
chr19	4029	4384	-	ENST00000222145.9	CDS	ENSG00000105538.10
chr19	4384	4486	-	ENST00000222145.9	intron	ENSG00000105538.10
chr19	4486	5171	-	ENST00000222145.9	CDS	ENSG00000105538.10
chr19	5171	5272	-	ENST00000222145.9	intron	ENSG00000105538.10
chr19	5272	5411	-	ENST00000222145.9	CDS	ENSG00000105538.10
chr19	5412	5412	-	ENST00000222145.9	UTR	NA
chr19	5412	5513	-	ENST00000222145.9	intron	NA
chr19	5513	5602	-	ENST00000222145.9	UTR	NA
chr19	19	234	-	ONT19.575.76846	UTR	NA
chr19	235	431	-	ONT19.575.76846	CDS	RASIP1
chr19	431	794	-	ONT19.575.76846	intron	RASIP1
chr19	794	941	-	ONT19.575.76846	CDS	RASIP1
chr19	941	1766	-	ONT19.575.76846	intron	RASIP1
chr19	1766	1938	-	ONT19.575.76846	CDS	RASIP1
chr19	1938	2146	-	ONT19.575.76846	intron	RASIP1
chr19	2146	2302	-	ONT19.575.76846	CDS	RASIP1
chr19	2303	2389	-	ONT19.575.76846	UTR	NA
chr19	2389	3275	-	ONT19.575.76846	intron	NA
chr19	3275	3407	-	ONT19.575.76846	UTR	NA
chr19	22	234	-	ONT19.575.76847	UTR	NA
chr19	235	431	-	ONT19.575.76847	CDS	RASIP1
chr19	431	794	-	ONT19.575.76847	intron	RASIP1
chr19	794	941	-	ONT19.575.76847	CDS	RASIP1
chr19	941	1766	-	ONT19.575.76847	intron	RASIP1
chr19	1766	1938	-	ONT19.575.76847	CDS	RASIP1
chr19	1938	2146	-	ONT19.575.76847	intron	RASIP1
chr19	2146	2389	-	ONT19.575.76847	CDS	RASIP1
chr19	2389	2663	-	ONT19.575.76847	intron	RASIP1
chr19	2663	2766	-	ONT19.575.76847	CDS	RASIP1
chr19	2766	2885	-	ONT19.575.76847	intron	RASIP1
chr19	2885	2972	-	ONT19.575.76847	CDS	RASIP1
chr19	2973	3036	-	ONT19.575.76847	UTR	NA
chr19	3036	3137	-	ONT19.575.76847	intron	NA
chr19	3137	3174	-	ONT19.575.76847	UTR	NA
chr19	3174	3275	-	ONT19.575.76847	intron	NA
chr19	3275	3405	-	ONT19.575.76847	UTR	NA
chr19	2	234	-	ONT19.575.76851	UTR	NA
chr19	235	461	-	ONT19.575.76851	CDS	RASIP1
chr19	461	794	-	ONT19.575.76851	intron	RASIP1
chr19	794	941	-	ONT19.575.76851	CDS	RASIP1
chr19	941	1766	-	ONT19.575.76851	intron	RASIP1
chr19	1766	1938	-	ONT19.575.76851	CDS	RASIP1
chr19	1938	2146	-	ONT19.575.76851	intron	RASIP1
chr19	2146	2302	-	ONT19.575.76851	CDS	RASIP1
chr19	2303	2314	-	ONT19.575.76851	UTR	NA
chr19	19	234	-	ONT19.575.76852	UTR	NA
chr19	235	431	-	ONT19.575.76852	CDS	RASIP1
chr19	431	794	-	ONT19.575.76852	intron	RASIP1
chr19	794	941	-	ONT19.575.76852	CDS	RASIP1
chr19	941	1766	-	ONT19.575.76852	intron	RASIP1
chr19	1766	1938	-	ONT19.575.76852	CDS	RASIP1
chr19	1938	2146	-	ONT19.575.76852	intron	RASIP1
chr19	2146	2302	-	ONT19.575.76852	CDS	RASIP1
chr19	2303	2389	-	ONT19.575.76852	UTR	NA
chr19	2389	3275	-	ONT19.575.76852	intron	NA
chr19	3275	3561	-	ONT19.575.76852	UTR	NA
chr19	21	234	-	ONT19.575.76853	UTR	NA
chr19	235	431	-	ONT19.575.76853	CDS	RASIP1
chr19	431	794	-	ONT19.575.76853	intron	RASIP1
chr19	794	941	-	ONT19.575.76853	CDS	RASIP1
chr19	941	1766	-	ONT19.575.76853	intron	RASIP1
chr19	1766	1938	-	ONT19.575.76853	CDS	RASIP1
chr19	1938	2146	-	ONT19.575.76853	intron	RASIP1
chr19	2146	2389	-	ONT19.575.76853	CDS	RASIP1
chr19	2389	2663	-	ONT19.575.76853	intron	RASIP1
chr19	2663	2728	-	ONT19.575.76853	CDS	RASIP1
chr19	2729	2767	-	ONT19.575.76853	UTR	NA
chr19	19	234	-	ONT19.575.76854	UTR	NA
chr19	235	431	-	ONT19.575.76854	CDS	RASIP1
chr19	431	794	-	ONT19.575.76854	intron	RASIP1
chr19	794	941	-	ONT19.575.76854	CDS	RASIP1
chr19	941	1766	-	ONT19.575.76854	intron	RASIP1
chr19	1766	1938	-	ONT19.575.76854	CDS	RASIP1
chr19	1938	2146	-	ONT19.575.76854	intron	RASIP1
chr19	2146	2389	-	ONT19.575.76854	CDS	RASIP1
chr19	2389	3275	-	ONT19.575.76854	intron	RASIP1
chr19	3275	3766	-	ONT19.575.76854	CDS	RASIP1
chr19	3767	3783	-	ONT19.575.76854	UTR	NA
chr19	25	234	-	ONT19.575.76856	UTR	NA
chr19	235	431	-	ONT19.575.76856	CDS	RASIP1
chr19	431	794	-	ONT19.575.76856	intron	RASIP1
chr19	794	941	-	ONT19.575.76856	CDS	RASIP1
chr19	941	1766	-	ONT19.575.76856	intron	RASIP1
chr19	1766	1938	-	ONT19.575.76856	CDS	RASIP1
chr19	1938	2146	-	ONT19.575.76856	intron	RASIP1
chr19	2146	2389	-	ONT19.575.76856	CDS	RASIP1
chr19	2389	2663	-	ONT19.575.76856	intron	RASIP1
chr19	2663	2766	-	ONT19.575.76856	CDS	RASIP1
chr19	2766	2885	-	ONT19.575.76856	intron	RASIP1
chr19	2885	3036	-	ONT19.575.76856	CDS	RASIP1
chr19	3036	3137	-	ONT19.575.76856	intron	RASIP1
chr19	3137	3174	-	ONT19.575.76856	CDS	RASIP1
chr19	3174	3275	-	ONT19.575.76856	intron	RASIP1
chr19	3275	3766	-	ONT19.575.76856	CDS	RASIP1
chr19	3767	3842	-	ONT19.575.76856	UTR	NA
chr19	25	234	-	ONT19.575.76857	UTR	NA
chr19	235	431	-	ONT19.575.76857	CDS	RASIP1
chr19	431	794	-	ONT19.575.76857	intron	RASIP1
chr19	794	941	-	ONT19.575.76857	CDS	RASIP1
chr19	941	1766	-	ONT19.575.76857	intron	RASIP1
chr19	1766	1813	-	ONT19.575.76857	CDS	RASIP1
chr19	1814	1927	-	ONT19.575.76857	UTR	NA
chr19	25	234	-	ONT19.575.76858	UTR	NA
chr19	235	431	-	ONT19.575.76858	CDS	RASIP1
chr19	431	794	-	ONT19.575.76858	intron	RASIP1
chr19	794	941	-	ONT19.575.76858	CDS	RASIP1
chr19	941	1766	-	ONT19.575.76858	intron	RASIP1
chr19	1766	1938	-	ONT19.575.76858	CDS	RASIP1
chr19	1938	2146	-	ONT19.575.76858	intron	RASIP1
chr19	2146	2302	-	ONT19.575.76858	CDS	RASIP1
chr19	2303	2381	-	ONT19.575.76858	UTR	NA
chr19	19	234	-	ONT19.575.76859	UTR	NA
chr19	235	431	-	ONT19.575.76859	CDS	RASIP1
chr19	431	794	-	ONT19.575.76859	intron	RASIP1
chr19	794	941	-	ONT19.575.76859	CDS	RASIP1
chr19	941	1766	-	ONT19.575.76859	intron	RASIP1
chr19	1766	1938	-	ONT19.575.76859	CDS	RASIP1
chr19	1938	2146	-	ONT19.575.76859	intron	RASIP1
chr19	2146	2302	-	ONT19.575.76859	CDS	RASIP1
chr19	2303	2389	-	ONT19.575.76859	UTR	NA
chr19	2389	2490	-	ONT19.575.76859	intron	NA
chr19	2490	2562	-	ONT19.575.76859	UTR	NA
chr19	19	234	-	ONT19.575.76861	UTR	NA
chr19	235	431	-	ONT19.575.76861	CDS	RASIP1
chr19	431	794	-	ONT19.575.76861	intron	RASIP1
chr19	794	941	-	ONT19.575.76861	CDS	RASIP1
chr19	941	1766	-	ONT19.575.76861	intron	RASIP1
chr19	1766	1938	-	ONT19.575.76861	CDS	RASIP1
chr19	1938	2146	-	ONT19.575.76861	intron	RASIP1
chr19	2146	2302	-	ONT19.575.76861	CDS	RASIP1
chr19	2303	2389	-	ONT19.575.76861	UTR	NA
chr19	2389	2885	-	ONT19.575.76861	intron	NA
chr19	2885	3036	-	ONT19.575.76861	UTR	NA
chr19	3036	3137	-	ONT19.575.76861	intron	NA
chr19	3137	3174	-	ONT19.575.76861	UTR	NA
chr19	3174	3275	-	ONT19.575.76861	intron	NA
chr19	3275	3450	-	ONT19.575.76861	UTR	NA
chr19	19	234	-	ONT19.575.76862	UTR	NA
chr19	235	431	-	ONT19.575.76862	CDS	RASIP1
chr19	431	794	-	ONT19.575.76862	intron	RASIP1
chr19	794	941	-	ONT19.575.76862	CDS	RASIP1
chr19	941	1766	-	ONT19.575.76862	intron	RASIP1
chr19	1766	1938	-	ONT19.575.76862	CDS	RASIP1
chr19	1938	2146	-	ONT19.575.76862	intron	RASIP1
chr19	2146	2302	-	ONT19.575.76862	CDS	RASIP1
chr19	2303	2389	-	ONT19.575.76862	UTR	NA
chr19	2389	3275	-	ONT19.575.76862	intron	NA
chr19	3275	3443	-	ONT19.575.76862	UTR	NA
chr19	19	234	-	ONT19.575.76863	UTR	NA
chr19	235	431	-	ONT19.575.76863	CDS	RASIP1
chr19	431	794	-	ONT19.575.76863	intron	RASIP1
chr19	794	941	-	ONT19.575.76863	CDS	RASIP1
chr19	941	1766	-	ONT19.575.76863	intron	RASIP1
chr19	1766	1938	-	ONT19.575.76863	CDS	RASIP1
chr19	1938	2146	-	ONT19.575.76863	intron	RASIP1
chr19	2146	2389	-	ONT19.575.76863	CDS	RASIP1
chr19	2389	2663	-	ONT19.575.76863	intron	RASIP1
chr19	2663	2766	-	ONT19.575.76863	CDS	RASIP1
chr19	2766	2885	-	ONT19.575.76863	intron	RASIP1
chr19	2885	3036	-	ONT19.575.76863	CDS	RASIP1
chr19	3036	3137	-	ONT19.575.76863	intron	RASIP1
chr19	3137	3174	-	ONT19.575.76863	CDS	RASIP1
chr19	3174	3275	-	ONT19.575.76863	intron	RASIP1
chr19	3275	3655	-	ONT19.575.76863	CDS	RASIP1
chr19	3656	3667	-	ONT19.575.76863	UTR	NA
chr19	19	234	-	ONT19.575.76864	UTR	NA
chr19	235	431	-	ONT19.575.76864	CDS	RASIP1
chr19	431	794	-	ONT19.575.76864	intron	RASIP1
chr19	794	941	-	ONT19.575.76864	CDS	RASIP1
chr19	941	1766	-	ONT19.575.76864	intron	RASIP1
chr19	1766	1938	-	ONT19.575.76864	CDS	RASIP1
chr19	1938	2146	-	ONT19.575.76864	intron	RASIP1
chr19	2146	2389	-	ONT19.575.76864	CDS	RASIP1
chr19	2389	2663	-	ONT19.575.76864	intron	RASIP1
chr19	2663	2845	-	ONT19.575.76864	CDS	RASIP1
chr19	2846	3036	-	ONT19.575.76864	UTR	NA
chr19	3036	3137	-	ONT19.575.76864	intron	NA
chr19	3137	3174	-	ONT19.575.76864	UTR	NA
chr19	3174	3275	-	ONT19.575.76864	intron	NA
chr19	3275	3407	-	ONT19.575.76864	UTR	NA
chr19	25	234	-	ONT19.575.76865	UTR	NA
chr19	235	431	-	ONT19.575.76865	CDS	RASIP1
chr19	431	794	-	ONT19.575.76865	intron	RASIP1
chr19	794	941	-	ONT19.575.76865	CDS	RASIP1
chr19	941	1766	-	ONT19.575.76865	intron	RASIP1
chr19	1766	1938	-	ONT19.575.76865	CDS	RASIP1
chr19	1938	2146	-	ONT19.575.76865	intron	RASIP1
chr19	2146	2158	-	ONT19.575.76865	CDS	RASIP1
chr19	2159	2273	-	ONT19.575.76865	UTR	NA
chr19	19	234	-	ONT19.575.76868	UTR	NA
chr19	235	431	-	ONT19.575.76868	CDS	RASIP1
chr19	431	794	-	ONT19.575.76868	intron	RASIP1
chr19	794	941	-	ONT19.575.76868	CDS	RASIP1
chr19	941	1766	-	ONT19.575.76868	intron	RASIP1
chr19	1766	1938	-	ONT19.575.76868	CDS	RASIP1
chr19	1938	2140	-	ONT19.575.76868	intron	RASIP1
chr19	2140	2302	-	ONT19.575.76868	CDS	RASIP1
chr19	2303	2323	-	ONT19.575.76868	UTR	NA
chr19	25	328	-	ONT19.575.76870	UTR	NA
chr19	329	431	-	ONT19.575.76870	CDS	RASIP1
chr19	431	540	-	ONT19.575.76870	intron	RASIP1
chr19	540	693	-	ONT19.575.76870	CDS	RASIP1
chr19	693	794	-	ONT19.575.76870	intron	RASIP1
chr19	794	941	-	ONT19.575.76870	CDS	RASIP1
chr19	941	1766	-	ONT19.575.76870	intron	RASIP1
chr19	1766	1938	-	ONT19.575.76870	CDS	RASIP1
chr19	1938	2146	-	ONT19.575.76870	intron	RASIP1
chr19	2146	2389	-	ONT19.575.76870	CDS	RASIP1
chr19	2389	2663	-	ONT19.575.76870	intron	RASIP1
chr19	2663	2766	-	ONT19.575.76870	CDS	RASIP1
chr19	2766	2885	-	ONT19.575.76870	intron	RASIP1
chr19	2885	2972	-	ONT19.575.76870	CDS	RASIP1
chr19	2973	3036	-	ONT19.575.76870	UTR	NA
chr19	3036	3137	-	ONT19.575.76870	intron	NA
chr19	3137	3174	-	ONT19.575.76870	UTR	NA
chr19	3174	3275	-	ONT19.575.76870	intron	NA
chr19	3275	3452	-	ONT19.575.76870	UTR	NA
chr19	22	234	-	ONT19.575.76871	UTR	NA
chr19	235	461	-	ONT19.575.76871	CDS	RASIP1
chr19	461	794	-	ONT19.575.76871	intron	RASIP1
chr19	794	941	-	ONT19.575.76871	CDS	RASIP1
chr19	941	1766	-	ONT19.575.76871	intron	RASIP1
chr19	1766	1938	-	ONT19.575.76871	CDS	RASIP1
chr19	1938	2146	-	ONT19.575.76871	intron	RASIP1
chr19	2146	2302	-	ONT19.575.76871	CDS	RASIP1
chr19	2303	2389	-	ONT19.575.76871	UTR	NA
chr19	2389	2885	-	ONT19.575.76871	intron	NA
chr19	2885	3036	-	ONT19.575.76871	UTR	NA
chr19	3036	3137	-	ONT19.575.76871	intron	NA
chr19	3137	3174	-	ONT19.575.76871	UTR	NA
chr19	3174	3275	-	ONT19.575.76871	intron	NA
