seqnames	start	end	strand	transcript_id	type	gene_id
chr16	20	79	+	ENST00000359154.7	UTR	NA
chr16	79	908	+	ENST00000359154.7	intron	NA
chr16	908	922	+	ENST00000359154.7	UTR	NA
chr16	923	992	+	ENST00000359154.7	CDS	ENSG00000198373.13
chr16	992	1140	+	ENST00000359154.7	intron	ENSG00000198373.13
chr16	1140	1287	+	ENST00000359154.7	CDS	ENSG00000198373.13
chr16	1287	1513	+	ENST00000359154.7	intron	ENSG00000198373.13
chr16	1513	1634	+	ENST00000359154.7	CDS	ENSG00000198373.13
chr16	1634	1979	+	ENST00000359154.7	intron	ENSG00000198373.13
chr16	1979	2116	+	ENST00000359154.7	CDS	ENSG00000198373.13
chr16	2116	2503	+	ENST00000359154.7	intron	ENSG00000198373.13
chr16	2503	2599	+	ENST00000359154.7	CDS	ENSG00000198373.13
chr16	2599	2701	+	ENST00000359154.7	intron	ENSG00000198373.13
chr16	2701	2828	+	ENST00000359154.7	CDS	ENSG00000198373.13
chr16	2828	3216	+	ENST00000359154.7	intron	ENSG00000198373.13
chr16	3216	3426	+	ENST00000359154.7	CDS	ENSG00000198373.13
chr16	3426	3749	+	ENST00000359154.7	intron	ENSG00000198373.13
chr16	3749	3838	+	ENST00000359154.7	CDS	ENSG00000198373.13
chr16	3838	5437	+	ENST00000359154.7	intron	ENSG00000198373.13
chr16	5437	5611	+	ENST00000359154.7	CDS	ENSG00000198373.13
chr16	5611	6170	+	ENST00000359154.7	intron	ENSG00000198373.13
chr16	6170	6224	+	ENST00000359154.7	CDS	ENSG00000198373.13
chr16	6224	6553	+	ENST00000359154.7	intron	ENSG00000198373.13
chr16	6553	6634	+	ENST00000359154.7	CDS	ENSG00000198373.13
chr16	6634	6740	+	ENST00000359154.7	intron	ENSG00000198373.13
chr16	6740	6868	+	ENST00000359154.7	CDS	ENSG00000198373.13
chr16	6868	6969	+	ENST00000359154.7	intron	ENSG00000198373.13
chr16	6969	7044	+	ENST00000359154.7	CDS	ENSG00000198373.13
chr16	7044	7145	+	ENST00000359154.7	intron	ENSG00000198373.13
chr16	7145	7216	+	ENST00000359154.7	CDS	ENSG00000198373.13
chr16	7216	7438	+	ENST00000359154.7	intron	ENSG00000198373.13
chr16	7438	7526	+	ENST00000359154.7	CDS	ENSG00000198373.13
chr16	7526	7630	+	ENST00000359154.7	intron	ENSG00000198373.13
chr16	7630	7789	+	ENST00000359154.7	CDS	ENSG00000198373.13
chr16	7789	8604	+	ENST00000359154.7	intron	ENSG00000198373.13
chr16	8604	8737	+	ENST00000359154.7	CDS	ENSG00000198373.13
chr16	8737	8838	+	ENST00000359154.7	intron	ENSG00000198373.13
chr16	8838	8978	+	ENST00000359154.7	CDS	ENSG00000198373.13
chr16	8978	9644	+	ENST00000359154.7	intron	ENSG00000198373.13
chr16	9644	9764	+	ENST00000359154.7	CDS	ENSG00000198373.13
chr16	9764	9865	+	ENST00000359154.7	intron	ENSG00000198373.13
chr16	9865	9969	+	ENST00000359154.7	CDS	ENSG00000198373.13
chr16	9969	10074	+	ENST00000359154.7	intron	ENSG00000198373.13
chr16	10074	10170	+	ENST00000359154.7	CDS	ENSG00000198373.13
chr16	10170	10271	+	ENST00000359154.7	intron	ENSG00000198373.13
chr16	10271	10343	+	ENST00000359154.7	CDS	ENSG00000198373.13
chr16	10343	10444	+	ENST00000359154.7	intron	ENSG00000198373.13
chr16	10444	10546	+	ENST00000359154.7	CDS	ENSG00000198373.13
chr16	10547	12342	+	ENST00000359154.7	UTR	NA
chr16	16	79	+	ONT16.2622.56400	UTR	NA
chr16	79	908	+	ONT16.2622.56400	intron	NA
chr16	908	922	+	ONT16.2622.56400	UTR	NA
chr16	923	992	+	ONT16.2622.56400	CDS	WWP2
chr16	992	1140	+	ONT16.2622.56400	intron	WWP2
chr16	1140	1287	+	ONT16.2622.56400	CDS	WWP2
chr16	1287	1513	+	ONT16.2622.56400	intron	WWP2
chr16	1513	1634	+	ONT16.2622.56400	CDS	WWP2
chr16	1634	1979	+	ONT16.2622.56400	intron	WWP2
chr16	1979	2116	+	ONT16.2622.56400	CDS	WWP2
chr16	2116	2503	+	ONT16.2622.56400	intron	WWP2
chr16	2503	2599	+	ONT16.2622.56400	CDS	WWP2
chr16	2599	2701	+	ONT16.2622.56400	intron	WWP2
chr16	2701	2828	+	ONT16.2622.56400	CDS	WWP2
chr16	2828	3216	+	ONT16.2622.56400	intron	WWP2
chr16	3216	3426	+	ONT16.2622.56400	CDS	WWP2
chr16	3426	3749	+	ONT16.2622.56400	intron	WWP2
chr16	3749	3842	+	ONT16.2622.56400	CDS	WWP2
chr16	3843	5244	+	ONT16.2622.56400	UTR	NA
chr16	30	79	+	ONT16.2622.56401	UTR	NA
chr16	79	908	+	ONT16.2622.56401	intron	NA
chr16	908	922	+	ONT16.2622.56401	UTR	NA
chr16	923	992	+	ONT16.2622.56401	CDS	WWP2
chr16	992	1140	+	ONT16.2622.56401	intron	WWP2
chr16	1140	1287	+	ONT16.2622.56401	CDS	WWP2
chr16	1287	1513	+	ONT16.2622.56401	intron	WWP2
chr16	1513	1634	+	ONT16.2622.56401	CDS	WWP2
chr16	1634	1979	+	ONT16.2622.56401	intron	WWP2
chr16	1979	2116	+	ONT16.2622.56401	CDS	WWP2
chr16	2116	2503	+	ONT16.2622.56401	intron	WWP2
chr16	2503	2599	+	ONT16.2622.56401	CDS	WWP2
chr16	2599	2701	+	ONT16.2622.56401	intron	WWP2
chr16	2701	2828	+	ONT16.2622.56401	CDS	WWP2
chr16	2828	3216	+	ONT16.2622.56401	intron	WWP2
chr16	3216	3426	+	ONT16.2622.56401	CDS	WWP2
chr16	3426	3749	+	ONT16.2622.56401	intron	WWP2
chr16	3749	3838	+	ONT16.2622.56401	CDS	WWP2
chr16	3838	5437	+	ONT16.2622.56401	intron	WWP2
chr16	5437	5611	+	ONT16.2622.56401	CDS	WWP2
chr16	5611	6170	+	ONT16.2622.56401	intron	WWP2
chr16	6170	6224	+	ONT16.2622.56401	CDS	WWP2
chr16	6224	6553	+	ONT16.2622.56401	intron	WWP2
chr16	6553	6634	+	ONT16.2622.56401	CDS	WWP2
chr16	6634	6740	+	ONT16.2622.56401	intron	WWP2
chr16	6740	6868	+	ONT16.2622.56401	CDS	WWP2
chr16	6868	6969	+	ONT16.2622.56401	intron	WWP2
chr16	6969	7044	+	ONT16.2622.56401	CDS	WWP2
chr16	7044	7145	+	ONT16.2622.56401	intron	WWP2
chr16	7145	7216	+	ONT16.2622.56401	CDS	WWP2
chr16	7216	7438	+	ONT16.2622.56401	intron	WWP2
chr16	7438	7526	+	ONT16.2622.56401	CDS	WWP2
chr16	7526	7630	+	ONT16.2622.56401	intron	WWP2
chr16	7630	7789	+	ONT16.2622.56401	CDS	WWP2
chr16	7789	8604	+	ONT16.2622.56401	intron	WWP2
chr16	8604	8737	+	ONT16.2622.56401	CDS	WWP2
chr16	8737	8838	+	ONT16.2622.56401	intron	WWP2
chr16	8838	8978	+	ONT16.2622.56401	CDS	WWP2
chr16	8978	9644	+	ONT16.2622.56401	intron	WWP2
chr16	9644	9764	+	ONT16.2622.56401	CDS	WWP2
chr16	9764	9865	+	ONT16.2622.56401	intron	WWP2
chr16	9865	9969	+	ONT16.2622.56401	CDS	WWP2
chr16	9969	10074	+	ONT16.2622.56401	intron	WWP2
chr16	10074	10170	+	ONT16.2622.56401	CDS	WWP2
chr16	10170	10271	+	ONT16.2622.56401	intron	WWP2
chr16	10271	10343	+	ONT16.2622.56401	CDS	WWP2
chr16	10343	10444	+	ONT16.2622.56401	intron	WWP2
chr16	10444	10543	+	ONT16.2622.56401	CDS	WWP2
chr16	10544	12335	+	ONT16.2622.56401	UTR	NA
chr16	2	79	+	ONT16.2622.56403	UTR	NA
chr16	79	529	+	ONT16.2622.56403	intron	NA
chr16	529	581	+	ONT16.2622.56403	UTR	NA
chr16	581	908	+	ONT16.2622.56403	intron	NA
chr16	908	922	+	ONT16.2622.56403	UTR	NA
chr16	923	992	+	ONT16.2622.56403	CDS	WWP2
chr16	992	1140	+	ONT16.2622.56403	intron	WWP2
chr16	1140	1287	+	ONT16.2622.56403	CDS	WWP2
chr16	1287	1513	+	ONT16.2622.56403	intron	WWP2
chr16	1513	1634	+	ONT16.2622.56403	CDS	WWP2
chr16	1634	1979	+	ONT16.2622.56403	intron	WWP2
chr16	1979	2116	+	ONT16.2622.56403	CDS	WWP2
chr16	2116	2503	+	ONT16.2622.56403	intron	WWP2
chr16	2503	2599	+	ONT16.2622.56403	CDS	WWP2
chr16	2599	2701	+	ONT16.2622.56403	intron	WWP2
chr16	2701	2828	+	ONT16.2622.56403	CDS	WWP2
chr16	2828	3216	+	ONT16.2622.56403	intron	WWP2
chr16	3216	3426	+	ONT16.2622.56403	CDS	WWP2
chr16	3426	3749	+	ONT16.2622.56403	intron	WWP2
chr16	3749	3842	+	ONT16.2622.56403	CDS	WWP2
chr16	3843	5328	+	ONT16.2622.56403	UTR	NA
chr16	14	79	+	ONT16.2622.56404	UTR	NA
chr16	79	529	+	ONT16.2622.56404	intron	NA
chr16	529	581	+	ONT16.2622.56404	UTR	NA
chr16	581	684	+	ONT16.2622.56404	intron	NA
chr16	684	804	+	ONT16.2622.56404	UTR	NA
chr16	804	908	+	ONT16.2622.56404	intron	NA
chr16	908	922	+	ONT16.2622.56404	UTR	NA
chr16	923	992	+	ONT16.2622.56404	CDS	WWP2
chr16	992	1140	+	ONT16.2622.56404	intron	WWP2
chr16	1140	1287	+	ONT16.2622.56404	CDS	WWP2
chr16	1287	1513	+	ONT16.2622.56404	intron	WWP2
chr16	1513	1634	+	ONT16.2622.56404	CDS	WWP2
chr16	1634	1979	+	ONT16.2622.56404	intron	WWP2
chr16	1979	2116	+	ONT16.2622.56404	CDS	WWP2
chr16	2116	2503	+	ONT16.2622.56404	intron	WWP2
chr16	2503	2599	+	ONT16.2622.56404	CDS	WWP2
chr16	2599	2701	+	ONT16.2622.56404	intron	WWP2
chr16	2701	2828	+	ONT16.2622.56404	CDS	WWP2
chr16	2828	3216	+	ONT16.2622.56404	intron	WWP2
chr16	3216	3426	+	ONT16.2622.56404	CDS	WWP2
chr16	3426	3749	+	ONT16.2622.56404	intron	WWP2
chr16	3749	3842	+	ONT16.2622.56404	CDS	WWP2
chr16	3843	5328	+	ONT16.2622.56404	UTR	NA
chr16	6	79	+	ONT16.2622.56405	UTR	NA
chr16	79	529	+	ONT16.2622.56405	intron	NA
chr16	529	581	+	ONT16.2622.56405	UTR	NA
chr16	581	908	+	ONT16.2622.56405	intron	NA
chr16	908	922	+	ONT16.2622.56405	UTR	NA
chr16	923	992	+	ONT16.2622.56405	CDS	WWP2
chr16	992	1140	+	ONT16.2622.56405	intron	WWP2
chr16	1140	1287	+	ONT16.2622.56405	CDS	WWP2
chr16	1287	1513	+	ONT16.2622.56405	intron	WWP2
chr16	1513	1634	+	ONT16.2622.56405	CDS	WWP2
chr16	1634	1979	+	ONT16.2622.56405	intron	WWP2
chr16	1979	2116	+	ONT16.2622.56405	CDS	WWP2
chr16	2116	2503	+	ONT16.2622.56405	intron	WWP2
chr16	2503	2599	+	ONT16.2622.56405	CDS	WWP2
chr16	2599	2701	+	ONT16.2622.56405	intron	WWP2
chr16	2701	2828	+	ONT16.2622.56405	CDS	WWP2
chr16	2828	3216	+	ONT16.2622.56405	intron	WWP2
chr16	3216	3426	+	ONT16.2622.56405	CDS	WWP2
