seqnames	start	end	strand	transcript_id	type	gene_id
chr19	2	2062	-	ENST00000358789.8	UTR	NA
chr19	2063	2215	-	ENST00000358789.8	CDS	ENSG00000129451.12
chr19	2215	2316	-	ENST00000358789.8	intron	ENSG00000129451.12
chr19	2316	2449	-	ENST00000358789.8	CDS	ENSG00000129451.12
chr19	2449	2550	-	ENST00000358789.8	intron	ENSG00000129451.12
chr19	2550	2824	-	ENST00000358789.8	CDS	ENSG00000129451.12
chr19	2824	2925	-	ENST00000358789.8	intron	ENSG00000129451.12
chr19	2925	3105	-	ENST00000358789.8	CDS	ENSG00000129451.12
chr19	3105	3206	-	ENST00000358789.8	intron	ENSG00000129451.12
chr19	3206	3296	-	ENST00000358789.8	CDS	ENSG00000129451.12
chr19	3297	3302	-	ENST00000358789.8	UTR	NA
chr19	3302	3695	-	ENST00000358789.8	intron	NA
chr19	3695	3777	-	ENST00000358789.8	UTR	NA
chr19	1528	2065	-	ONT19.575.106297	UTR	NA
chr19	2066	2215	-	ONT19.575.106297	CDS	KLK10
chr19	2215	2316	-	ONT19.575.106297	intron	KLK10
chr19	2316	2449	-	ONT19.575.106297	CDS	KLK10
chr19	2449	2550	-	ONT19.575.106297	intron	KLK10
chr19	2550	2824	-	ONT19.575.106297	CDS	KLK10
chr19	2824	2925	-	ONT19.575.106297	intron	KLK10
chr19	2925	3105	-	ONT19.575.106297	CDS	KLK10
chr19	3105	3206	-	ONT19.575.106297	intron	KLK10
chr19	3206	3296	-	ONT19.575.106297	CDS	KLK10
chr19	3297	3370	-	ONT19.575.106297	UTR	NA
chr19	1531	2065	-	ONT19.575.106299	UTR	NA
chr19	2066	2215	-	ONT19.575.106299	CDS	KLK10
chr19	2215	2316	-	ONT19.575.106299	intron	KLK10
chr19	2316	2449	-	ONT19.575.106299	CDS	KLK10
chr19	2449	2553	-	ONT19.575.106299	intron	KLK10
chr19	2553	2824	-	ONT19.575.106299	CDS	KLK10
chr19	2824	2925	-	ONT19.575.106299	intron	KLK10
chr19	2925	3105	-	ONT19.575.106299	CDS	KLK10
chr19	3105	3206	-	ONT19.575.106299	intron	KLK10
chr19	3206	3296	-	ONT19.575.106299	CDS	KLK10
chr19	3297	3302	-	ONT19.575.106299	UTR	NA
chr19	3302	3888	-	ONT19.575.106299	intron	NA
chr19	3888	4117	-	ONT19.575.106299	UTR	NA
chr19	1551	2065	-	ONT19.575.106300	UTR	NA
chr19	2066	2215	-	ONT19.575.106300	CDS	KLK10
chr19	2215	2316	-	ONT19.575.106300	intron	KLK10
chr19	2316	2449	-	ONT19.575.106300	CDS	KLK10
chr19	2449	2550	-	ONT19.575.106300	intron	KLK10
chr19	2550	2824	-	ONT19.575.106300	CDS	KLK10
chr19	2824	2925	-	ONT19.575.106300	intron	KLK10
chr19	2925	3105	-	ONT19.575.106300	CDS	KLK10
chr19	3105	3206	-	ONT19.575.106300	intron	KLK10
chr19	3206	3296	-	ONT19.575.106300	CDS	KLK10
chr19	3297	3305	-	ONT19.575.106300	UTR	NA
chr19	3305	3487	-	ONT19.575.106300	intron	NA
chr19	3487	3562	-	ONT19.575.106300	UTR	NA
chr19	1529	2065	-	ONT19.575.106303	UTR	NA
chr19	2066	2215	-	ONT19.575.106303	CDS	KLK10
chr19	2215	2316	-	ONT19.575.106303	intron	KLK10
chr19	2316	2449	-	ONT19.575.106303	CDS	KLK10
chr19	2449	2925	-	ONT19.575.106303	intron	KLK10
chr19	2925	2928	-	ONT19.575.106303	CDS	KLK10
chr19	2929	3101	-	ONT19.575.106303	UTR	NA
chr19	1531	2065	-	ONT19.575.106304	UTR	NA
chr19	2066	2215	-	ONT19.575.106304	CDS	KLK10
chr19	2215	2316	-	ONT19.575.106304	intron	KLK10
chr19	2316	2449	-	ONT19.575.106304	CDS	KLK10
chr19	2449	2550	-	ONT19.575.106304	intron	KLK10
chr19	2550	2824	-	ONT19.575.106304	CDS	KLK10
chr19	2824	2925	-	ONT19.575.106304	intron	KLK10
chr19	2925	3105	-	ONT19.575.106304	CDS	KLK10
chr19	3105	3206	-	ONT19.575.106304	intron	KLK10
chr19	3206	3296	-	ONT19.575.106304	CDS	KLK10
chr19	3297	3302	-	ONT19.575.106304	UTR	NA
chr19	3302	3695	-	ONT19.575.106304	intron	NA
chr19	3695	3842	-	ONT19.575.106304	UTR	NA
chr19	1531	2065	-	ONT19.575.106307	UTR	NA
chr19	2066	2215	-	ONT19.575.106307	CDS	KLK10
chr19	2215	2316	-	ONT19.575.106307	intron	KLK10
chr19	2316	2449	-	ONT19.575.106307	CDS	KLK10
chr19	2449	2550	-	ONT19.575.106307	intron	KLK10
chr19	2550	2824	-	ONT19.575.106307	CDS	KLK10
chr19	2824	2925	-	ONT19.575.106307	intron	KLK10
chr19	2925	3105	-	ONT19.575.106307	CDS	KLK10
chr19	3105	3206	-	ONT19.575.106307	intron	KLK10
chr19	3206	3296	-	ONT19.575.106307	CDS	KLK10
chr19	3297	3302	-	ONT19.575.106307	UTR	NA
chr19	3302	4136	-	ONT19.575.106307	intron	NA
chr19	4136	4233	-	ONT19.575.106307	UTR	NA
chr19	1533	2065	-	ONT19.575.106310	UTR	NA
chr19	2066	2215	-	ONT19.575.106310	CDS	KLK10
chr19	2215	2316	-	ONT19.575.106310	intron	KLK10
chr19	2316	2449	-	ONT19.575.106310	CDS	KLK10
chr19	2449	2550	-	ONT19.575.106310	intron	KLK10
chr19	2550	2824	-	ONT19.575.106310	CDS	KLK10
chr19	2824	2925	-	ONT19.575.106310	intron	KLK10
chr19	2925	3105	-	ONT19.575.106310	CDS	KLK10
chr19	3105	3206	-	ONT19.575.106310	intron	KLK10
chr19	3206	3296	-	ONT19.575.106310	CDS	KLK10
chr19	3297	3305	-	ONT19.575.106310	UTR	NA
chr19	3305	3416	-	ONT19.575.106310	intron	NA
chr19	3416	3594	-	ONT19.575.106310	UTR	NA
chr19	1533	2065	-	ONT19.575.106311	UTR	NA
chr19	2066	2215	-	ONT19.575.106311	CDS	KLK10
