seqnames	start	end	strand	transcript_id	type	gene_id
chr19	7	292	-	ENST00000264824.5	UTR	NA
chr19	293	708	-	ENST00000264824.5	CDS	ENSG00000104903.5
chr19	708	809	-	ENST00000264824.5	intron	ENSG00000104903.5
chr19	809	900	-	ENST00000264824.5	CDS	ENSG00000104903.5
chr19	900	989	-	ENST00000264824.5	intron	ENSG00000104903.5
chr19	989	1326	-	ENST00000264824.5	CDS	ENSG00000104903.5
chr19	1327	1347	-	ENST00000264824.5	UTR	NA
chr19	1347	1448	-	ENST00000264824.5	intron	NA
chr19	1448	1775	-	ENST00000264824.5	UTR	NA
chr19	2	708	-	ONT19.45.79858	UTR	NA
chr19	708	809	-	ONT19.45.79858	intron	NA
chr19	809	873	-	ONT19.45.79858	UTR	NA
chr19	874	900	-	ONT19.45.79858	CDS	LYL1
chr19	900	985	-	ONT19.45.79858	intron	LYL1
chr19	985	1326	-	ONT19.45.79858	CDS	LYL1
chr19	1327	1347	-	ONT19.45.79858	UTR	NA
chr19	1347	1448	-	ONT19.45.79858	intron	NA
chr19	1448	1679	-	ONT19.45.79858	UTR	NA
chr19	7	295	-	ONT19.45.79859	UTR	NA
chr19	296	708	-	ONT19.45.79859	CDS	LYL1
chr19	708	809	-	ONT19.45.79859	intron	LYL1
chr19	809	900	-	ONT19.45.79859	CDS	LYL1
chr19	900	989	-	ONT19.45.79859	intron	LYL1
chr19	989	1326	-	ONT19.45.79859	CDS	LYL1
chr19	1327	1347	-	ONT19.45.79859	UTR	NA
chr19	1347	1448	-	ONT19.45.79859	intron	NA
chr19	1448	1771	-	ONT19.45.79859	UTR	NA
chr19	12	708	-	ONT19.45.79866	UTR	NA
chr19	708	809	-	ONT19.45.79866	intron	NA
chr19	809	873	-	ONT19.45.79866	UTR	NA
chr19	874	880	-	ONT19.45.79866	CDS	LYL1
chr19	880	989	-	ONT19.45.79866	intron	LYL1
chr19	989	1326	-	ONT19.45.79866	CDS	LYL1
chr19	1327	1347	-	ONT19.45.79866	UTR	NA
chr19	1347	1448	-	ONT19.45.79866	intron	NA
chr19	1448	1743	-	ONT19.45.79866	UTR	NA
chr19	7	708	-	ENST00000264824.5	exon	ENSG00000104903.5
chr19	708	809	-	ENST00000264824.5	intron	ENSG00000104903.5
chr19	809	900	-	ENST00000264824.5	exon	ENSG00000104903.5
chr19	900	989	-	ENST00000264824.5	intron	ENSG00000104903.5
chr19	989	1347	-	ENST00000264824.5	exon	ENSG00000104903.5
chr19	1347	1448	-	ENST00000264824.5	intron	NA
chr19	1448	1775	-	ENST00000264824.5	exon	ENSG00000104903.5
chr19	2	708	-	ONT19.45.79858	exon	LYL1
chr19	708	809	-	ONT19.45.79858	intron	NA
chr19	809	900	-	ONT19.45.79858	exon	LYL1
chr19	900	985	-	ONT19.45.79858	intron	LYL1
chr19	985	1347	-	ONT19.45.79858	exon	LYL1
chr19	1347	1448	-	ONT19.45.79858	intron	NA
chr19	1448	1679	-	ONT19.45.79858	exon	LYL1
chr19	7	708	-	ONT19.45.79859	exon	LYL1
chr19	708	809	-	ONT19.45.79859	intron	LYL1
chr19	809	900	-	ONT19.45.79859	exon	LYL1
chr19	900	989	-	ONT19.45.79859	intron	LYL1
chr19	989	1347	-	ONT19.45.79859	exon	LYL1
chr19	1347	1448	-	ONT19.45.79859	intron	NA
chr19	1448	1771	-	ONT19.45.79859	exon	LYL1
chr19	12	708	-	ONT19.45.79866	exon	LYL1
chr19	708	809	-	ONT19.45.79866	intron	NA
chr19	809	880	-	ONT19.45.79866	exon	LYL1
chr19	880	989	-	ONT19.45.79866	intron	LYL1
chr19	989	1347	-	ONT19.45.79866	exon	LYL1
chr19	1347	1448	-	ONT19.45.79866	intron	NA
chr19	1448	1743	-	ONT19.45.79866	exon	LYL1
