seqnames	start	end	strand	transcript_id	type	gene_id
chr2	2	136	+	ENST00000312358.12	UTR	NA
chr2	137	524	+	ENST00000312358.12	CDS	ENSG00000072195.15
chr2	524	1084	+	ENST00000312358.12	intron	ENSG00000072195.15
chr2	1084	1173	+	ENST00000312358.12	CDS	ENSG00000072195.15
chr2	1173	1256	+	ENST00000312358.12	intron	ENSG00000072195.15
chr2	1256	1592	+	ENST00000312358.12	CDS	ENSG00000072195.15
chr2	1592	1693	+	ENST00000312358.12	intron	ENSG00000072195.15
chr2	1693	2990	+	ENST00000312358.12	CDS	ENSG00000072195.15
chr2	2990	3185	+	ENST00000312358.12	intron	ENSG00000072195.15
chr2	3185	3328	+	ENST00000312358.12	CDS	ENSG00000072195.15
chr2	3328	3429	+	ENST00000312358.12	intron	ENSG00000072195.15
chr2	3429	3611	+	ENST00000312358.12	CDS	ENSG00000072195.15
chr2	3611	4104	+	ENST00000312358.12	intron	ENSG00000072195.15
chr2	4104	4279	+	ENST00000312358.12	CDS	ENSG00000072195.15
chr2	4279	4387	+	ENST00000312358.12	intron	ENSG00000072195.15
chr2	4387	4475	+	ENST00000312358.12	CDS	ENSG00000072195.15
chr2	4475	4576	+	ENST00000312358.12	intron	ENSG00000072195.15
chr2	4576	4751	+	ENST00000312358.12	CDS	ENSG00000072195.15
chr2	4751	5785	+	ENST00000312358.12	intron	ENSG00000072195.15
chr2	5785	6045	+	ENST00000312358.12	CDS	ENSG00000072195.15
chr2	6045	6146	+	ENST00000312358.12	intron	ENSG00000072195.15
chr2	6146	6304	+	ENST00000312358.12	CDS	ENSG00000072195.15
chr2	6304	6405	+	ENST00000312358.12	intron	ENSG00000072195.15
chr2	6405	6594	+	ENST00000312358.12	CDS	ENSG00000072195.15
chr2	6594	6695	+	ENST00000312358.12	intron	ENSG00000072195.15
chr2	6695	6918	+	ENST00000312358.12	CDS	ENSG00000072195.15
chr2	6918	7019	+	ENST00000312358.12	intron	ENSG00000072195.15
chr2	7019	7138	+	ENST00000312358.12	CDS	ENSG00000072195.15
chr2	7138	7239	+	ENST00000312358.12	intron	ENSG00000072195.15
chr2	7239	7343	+	ENST00000312358.12	CDS	ENSG00000072195.15
chr2	7343	7444	+	ENST00000312358.12	intron	ENSG00000072195.15
chr2	7444	7650	+	ENST00000312358.12	CDS	ENSG00000072195.15
chr2	7650	7751	+	ENST00000312358.12	intron	ENSG00000072195.15
chr2	7751	7874	+	ENST00000312358.12	CDS	ENSG00000072195.15
chr2	7874	7975	+	ENST00000312358.12	intron	ENSG00000072195.15
chr2	7975	8150	+	ENST00000312358.12	CDS	ENSG00000072195.15
chr2	8150	8251	+	ENST00000312358.12	intron	ENSG00000072195.15
chr2	8251	8363	+	ENST00000312358.12	CDS	ENSG00000072195.15
chr2	8363	8464	+	ENST00000312358.12	intron	ENSG00000072195.15
chr2	8464	8632	+	ENST00000312358.12	CDS	ENSG00000072195.15
chr2	8632	8733	+	ENST00000312358.12	intron	ENSG00000072195.15
chr2	8733	8829	+	ENST00000312358.12	CDS	ENSG00000072195.15
chr2	8829	8930	+	ENST00000312358.12	intron	ENSG00000072195.15
chr2	8930	9130	+	ENST00000312358.12	CDS	ENSG00000072195.15
chr2	9130	9231	+	ENST00000312358.12	intron	ENSG00000072195.15
chr2	9231	9288	+	ENST00000312358.12	CDS	ENSG00000072195.15
chr2	9288	9389	+	ENST00000312358.12	intron	ENSG00000072195.15
chr2	9389	9466	+	ENST00000312358.12	CDS	ENSG00000072195.15
chr2	9466	9567	+	ENST00000312358.12	intron	ENSG00000072195.15
