seqnames	start	end	strand	transcript_id	type	gene_id
chr1	41	69	+	ENST00000368235.8	UTR	NA
chr1	70	251	+	ENST00000368235.8	CDS	ENSG00000163382.13
chr1	251	366	+	ENST00000368235.8	intron	ENSG00000163382.13
chr1	366	474	+	ENST00000368235.8	CDS	ENSG00000163382.13
chr1	474	630	+	ENST00000368235.8	intron	ENSG00000163382.13
chr1	630	740	+	ENST00000368235.8	CDS	ENSG00000163382.13
chr1	740	822	+	ENST00000368235.8	intron	ENSG00000163382.13
chr1	822	935	+	ENST00000368235.8	CDS	ENSG00000163382.13
chr1	935	1673	+	ENST00000368235.8	intron	ENSG00000163382.13
chr1	1673	1820	+	ENST00000368235.8	CDS	ENSG00000163382.13
chr1	1820	2147	+	ENST00000368235.8	intron	ENSG00000163382.13
chr1	2147	2352	+	ENST00000368235.8	CDS	ENSG00000163382.13
chr1	2353	2564	+	ENST00000368235.8	UTR	NA
chr1	31	69	+	ONT1.5119.40088	UTR	NA
chr1	70	251	+	ONT1.5119.40088	CDS	NAXE
chr1	251	366	+	ONT1.5119.40088	intron	NAXE
chr1	366	474	+	ONT1.5119.40088	CDS	NAXE
chr1	474	630	+	ONT1.5119.40088	intron	NAXE
chr1	630	740	+	ONT1.5119.40088	CDS	NAXE
chr1	740	822	+	ONT1.5119.40088	intron	NAXE
chr1	822	935	+	ONT1.5119.40088	CDS	NAXE
chr1	935	1673	+	ONT1.5119.40088	intron	NAXE
chr1	1673	1820	+	ONT1.5119.40088	CDS	NAXE
chr1	1820	2147	+	ONT1.5119.40088	intron	NAXE
chr1	2147	2349	+	ONT1.5119.40088	CDS	NAXE
chr1	2350	2564	+	ONT1.5119.40088	UTR	NA
chr1	48	69	+	ONT1.5119.40089	UTR	NA
chr1	70	251	+	ONT1.5119.40089	CDS	NAXE
chr1	251	366	+	ONT1.5119.40089	intron	NAXE
chr1	366	543	+	ONT1.5119.40089	CDS	NAXE
chr1	544	740	+	ONT1.5119.40089	UTR	NA
chr1	740	822	+	ONT1.5119.40089	intron	NA
chr1	822	935	+	ONT1.5119.40089	UTR	NA
chr1	935	1673	+	ONT1.5119.40089	intron	NA
chr1	1673	1820	+	ONT1.5119.40089	UTR	NA
chr1	1820	2147	+	ONT1.5119.40089	intron	NA
chr1	2147	2564	+	ONT1.5119.40089	UTR	NA
chr1	56	69	+	ONT1.5119.40091	UTR	NA
chr1	70	251	+	ONT1.5119.40091	CDS	NAXE
chr1	251	366	+	ONT1.5119.40091	intron	NAXE
chr1	366	474	+	ONT1.5119.40091	CDS	NAXE
chr1	474	630	+	ONT1.5119.40091	intron	NAXE
chr1	630	740	+	ONT1.5119.40091	CDS	NAXE
chr1	740	822	+	ONT1.5119.40091	intron	NAXE
chr1	822	935	+	ONT1.5119.40091	CDS	NAXE
chr1	935	1673	+	ONT1.5119.40091	intron	NAXE
chr1	1673	1837	+	ONT1.5119.40091	CDS	NAXE
chr1	1837	2147	+	ONT1.5119.40091	intron	NAXE
chr1	2147	2302	+	ONT1.5119.40091	CDS	NAXE
chr1	2303	2564	+	ONT1.5119.40091	UTR	NA
chr1	41	69	+	ONT1.5119.40092	UTR	NA
chr1	70	251	+	ONT1.5119.40092	CDS	NAXE
chr1	251	366	+	ONT1.5119.40092	intron	NAXE
chr1	366	474	+	ONT1.5119.40092	CDS	NAXE
chr1	474	630	+	ONT1.5119.40092	intron	NAXE
chr1	630	740	+	ONT1.5119.40092	CDS	NAXE
chr1	740	822	+	ONT1.5119.40092	intron	NAXE
chr1	822	935	+	ONT1.5119.40092	CDS	NAXE
chr1	935	1673	+	ONT1.5119.40092	intron	NAXE
chr1	1673	1820	+	ONT1.5119.40092	CDS	NAXE
chr1	1820	2147	+	ONT1.5119.40092	intron	NAXE
chr1	2147	2349	+	ONT1.5119.40092	CDS	NAXE
chr1	2350	2355	+	ONT1.5119.40092	UTR	NA
chr1	2355	4972	+	ONT1.5119.40092	intron	NA
chr1	4972	5072	+	ONT1.5119.40092	UTR	NA
chr1	57	69	+	ONT1.5119.40093	UTR	NA
chr1	70	251	+	ONT1.5119.40093	CDS	NAXE
chr1	251	366	+	ONT1.5119.40093	intron	NAXE
chr1	366	474	+	ONT1.5119.40093	CDS	NAXE
chr1	474	630	+	ONT1.5119.40093	intron	NAXE
chr1	630	740	+	ONT1.5119.40093	CDS	NAXE
chr1	740	822	+	ONT1.5119.40093	intron	NAXE
chr1	822	935	+	ONT1.5119.40093	CDS	NAXE
chr1	935	1673	+	ONT1.5119.40093	intron	NAXE
chr1	1673	1894	+	ONT1.5119.40093	CDS	NAXE
chr1	1895	2564	+	ONT1.5119.40093	UTR	NA
chr1	2	69	+	ONT1.5119.40094	UTR	NA
chr1	70	251	+	ONT1.5119.40094	CDS	NAXE
chr1	251	366	+	ONT1.5119.40094	intron	NAXE
chr1	366	474	+	ONT1.5119.40094	CDS	NAXE
chr1	474	630	+	ONT1.5119.40094	intron	NAXE
chr1	630	740	+	ONT1.5119.40094	CDS	NAXE
chr1	740	822	+	ONT1.5119.40094	intron	NAXE
chr1	822	935	+	ONT1.5119.40094	CDS	NAXE
chr1	935	2147	+	ONT1.5119.40094	intron	NAXE
chr1	2147	2302	+	ONT1.5119.40094	CDS	NAXE
chr1	2303	2386	+	ONT1.5119.40094	UTR	NA
chr1	31	69	+	ONT1.5119.40095	UTR	NA
chr1	70	251	+	ONT1.5119.40095	CDS	NAXE
chr1	251	366	+	ONT1.5119.40095	intron	NAXE
chr1	366	474	+	ONT1.5119.40095	CDS	NAXE
chr1	474	630	+	ONT1.5119.40095	intron	NAXE
chr1	630	740	+	ONT1.5119.40095	CDS	NAXE
chr1	740	822	+	ONT1.5119.40095	intron	NAXE
chr1	822	935	+	ONT1.5119.40095	CDS	NAXE
chr1	935	1673	+	ONT1.5119.40095	intron	NAXE
chr1	1673	1820	+	ONT1.5119.40095	CDS	NAXE
chr1	1820	4972	+	ONT1.5119.40095	intron	NAXE
chr1	4972	4982	+	ONT1.5119.40095	CDS	NAXE
chr1	4983	5075	+	ONT1.5119.40095	UTR	NA
chr1	57	69	+	ONT1.5119.40097	UTR	NA
chr1	70	251	+	ONT1.5119.40097	CDS	NAXE
chr1	251	370	+	ONT1.5119.40097	intron	NAXE
chr1	370	451	+	ONT1.5119.40097	CDS	NAXE
chr1	452	474	+	ONT1.5119.40097	UTR	NA
chr1	474	630	+	ONT1.5119.40097	intron	NA
chr1	630	740	+	ONT1.5119.40097	UTR	NA
chr1	740	822	+	ONT1.5119.40097	intron	NA
chr1	822	935	+	ONT1.5119.40097	UTR	NA
chr1	935	1673	+	ONT1.5119.40097	intron	NA
chr1	1673	1820	+	ONT1.5119.40097	UTR	NA
