seqnames	start	end	strand	transcript_id	type	gene_id
chr9	12	1835	-	ENST00000371475.9	UTR	NA
chr9	1836	1933	-	ENST00000371475.9	CDS	ENSG00000165802.23
chr9	1933	2034	-	ENST00000371475.9	intron	ENSG00000165802.23
chr9	2034	2109	-	ENST00000371475.9	CDS	ENSG00000165802.23
chr9	2109	2217	-	ENST00000371475.9	intron	ENSG00000165802.23
chr9	2217	2319	-	ENST00000371475.9	CDS	ENSG00000165802.23
chr9	2319	2420	-	ENST00000371475.9	intron	ENSG00000165802.23
chr9	2420	2499	-	ENST00000371475.9	CDS	ENSG00000165802.23
chr9	2499	2602	-	ENST00000371475.9	intron	ENSG00000165802.23
chr9	2602	2672	-	ENST00000371475.9	CDS	ENSG00000165802.23
chr9	2672	2790	-	ENST00000371475.9	intron	ENSG00000165802.23
chr9	2790	2823	-	ENST00000371475.9	CDS	ENSG00000165802.23
chr9	2823	2973	-	ENST00000371475.9	intron	ENSG00000165802.23
chr9	2973	3056	-	ENST00000371475.9	CDS	ENSG00000165802.23
chr9	3056	3293	-	ENST00000371475.9	intron	ENSG00000165802.23
chr9	3293	3417	-	ENST00000371475.9	CDS	ENSG00000165802.23
chr9	3417	3580	-	ENST00000371475.9	intron	ENSG00000165802.23
chr9	3580	3669	-	ENST00000371475.9	CDS	ENSG00000165802.23
chr9	3669	3857	-	ENST00000371475.9	intron	ENSG00000165802.23
chr9	3857	3909	-	ENST00000371475.9	CDS	ENSG00000165802.23
chr9	3909	4705	-	ENST00000371475.9	intron	ENSG00000165802.23
chr9	4705	4773	-	ENST00000371475.9	CDS	ENSG00000165802.23
chr9	4773	5095	-	ENST00000371475.9	intron	ENSG00000165802.23
chr9	5095	5100	-	ENST00000371475.9	CDS	ENSG00000165802.23
chr9	5100	5638	-	ENST00000371475.9	intron	ENSG00000165802.23
chr9	5638	5713	-	ENST00000371475.9	CDS	ENSG00000165802.23
chr9	5713	5815	-	ENST00000371475.9	intron	ENSG00000165802.23
chr9	5815	6309	-	ENST00000371475.9	CDS	ENSG00000165802.23
chr9	6309	6569	-	ENST00000371475.9	intron	ENSG00000165802.23
chr9	6569	6630	-	ENST00000371475.9	CDS	ENSG00000165802.23
chr9	6630	6732	-	ENST00000371475.9	intron	ENSG00000165802.23
chr9	6732	6805	-	ENST00000371475.9	CDS	ENSG00000165802.23
chr9	6806	7034	-	ENST00000371475.9	UTR	NA
chr9	2	1838	-	ONT9.5285.12698	UTR	NA
chr9	1839	1933	-	ONT9.5285.12698	CDS	NSMF
chr9	1933	2034	-	ONT9.5285.12698	intron	NSMF
chr9	2034	2109	-	ONT9.5285.12698	CDS	NSMF
chr9	2109	2217	-	ONT9.5285.12698	intron	NSMF
chr9	2217	2319	-	ONT9.5285.12698	CDS	NSMF
chr9	2319	2420	-	ONT9.5285.12698	intron	NSMF
chr9	2420	2430	-	ONT9.5285.12698	CDS	NSMF
chr9	2431	2501	-	ONT9.5285.12698	UTR	NA
