seqnames	start	end	strand	transcript_id	type	gene_id
chr6	39	146	+	ENST00000338728.10	UTR	NA
chr6	147	258	+	ENST00000338728.10	CDS	ENSG00000164465.19
chr6	258	552	+	ENST00000338728.10	intron	ENSG00000164465.19
chr6	552	764	+	ENST00000338728.10	CDS	ENSG00000164465.19
chr6	764	865	+	ENST00000338728.10	intron	ENSG00000164465.19
chr6	865	999	+	ENST00000338728.10	CDS	ENSG00000164465.19
chr6	999	1103	+	ENST00000338728.10	intron	ENSG00000164465.19
chr6	1103	1154	+	ENST00000338728.10	CDS	ENSG00000164465.19
chr6	1154	1259	+	ENST00000338728.10	intron	ENSG00000164465.19
chr6	1259	1331	+	ENST00000338728.10	CDS	ENSG00000164465.19
chr6	1331	1432	+	ENST00000338728.10	intron	ENSG00000164465.19
chr6	1432	1565	+	ENST00000338728.10	CDS	ENSG00000164465.19
chr6	1565	1666	+	ENST00000338728.10	intron	ENSG00000164465.19
chr6	1666	1706	+	ENST00000338728.10	CDS	ENSG00000164465.19
chr6	1706	1807	+	ENST00000338728.10	intron	ENSG00000164465.19
chr6	1807	2022	+	ENST00000338728.10	CDS	ENSG00000164465.19
chr6	2022	2442	+	ENST00000338728.10	intron	ENSG00000164465.19
chr6	2442	2566	+	ENST00000338728.10	CDS	ENSG00000164465.19
chr6	2566	3449	+	ENST00000338728.10	intron	ENSG00000164465.19
chr6	3449	3596	+	ENST00000338728.10	CDS	ENSG00000164465.19
chr6	3596	3699	+	ENST00000338728.10	intron	ENSG00000164465.19
chr6	3699	3806	+	ENST00000338728.10	CDS	ENSG00000164465.19
chr6	3806	3907	+	ENST00000338728.10	intron	ENSG00000164465.19
chr6	3907	3994	+	ENST00000338728.10	CDS	ENSG00000164465.19
chr6	3994	4101	+	ENST00000338728.10	intron	ENSG00000164465.19
chr6	4101	4150	+	ENST00000338728.10	CDS	ENSG00000164465.19
chr6	4150	4251	+	ENST00000338728.10	intron	ENSG00000164465.19
chr6	4251	4370	+	ENST00000338728.10	CDS	ENSG00000164465.19
chr6	4370	4471	+	ENST00000338728.10	intron	ENSG00000164465.19
chr6	4471	5006	+	ENST00000338728.10	CDS	ENSG00000164465.19
chr6	5007	6361	+	ENST00000338728.10	UTR	NA
chr6	551	595	+	ONT6.6587.101	UTR	NA
chr6	596	764	+	ONT6.6587.101	CDS	DCBLD1
chr6	764	865	+	ONT6.6587.101	intron	DCBLD1
chr6	865	999	+	ONT6.6587.101	CDS	DCBLD1
chr6	999	1103	+	ONT6.6587.101	intron	DCBLD1
chr6	1103	1154	+	ONT6.6587.101	CDS	DCBLD1
chr6	1154	1259	+	ONT6.6587.101	intron	DCBLD1
chr6	1259	1331	+	ONT6.6587.101	CDS	DCBLD1
chr6	1331	1432	+	ONT6.6587.101	intron	DCBLD1
chr6	1432	1565	+	ONT6.6587.101	CDS	DCBLD1
chr6	1565	1666	+	ONT6.6587.101	intron	DCBLD1
chr6	1666	1706	+	ONT6.6587.101	CDS	DCBLD1
chr6	1706	1807	+	ONT6.6587.101	intron	DCBLD1
chr6	1807	2022	+	ONT6.6587.101	CDS	DCBLD1
