seqnames	start	end	strand	transcript_id	type	gene_id
chr10	6	825	-	ENST00000399262.7	UTR	NA
chr10	826	915	-	ENST00000399262.7	CDS	ENSG00000171988.20
chr10	915	1016	-	ENST00000399262.7	intron	ENSG00000171988.20
chr10	1016	1147	-	ENST00000399262.7	CDS	ENSG00000171988.20
chr10	1147	1248	-	ENST00000399262.7	intron	ENSG00000171988.20
chr10	1248	1424	-	ENST00000399262.7	CDS	ENSG00000171988.20
chr10	1424	2668	-	ENST00000399262.7	intron	ENSG00000171988.20
chr10	2668	2807	-	ENST00000399262.7	CDS	ENSG00000171988.20
chr10	2807	3028	-	ENST00000399262.7	intron	ENSG00000171988.20
chr10	3028	3150	-	ENST00000399262.7	CDS	ENSG00000171988.20
chr10	3150	3255	-	ENST00000399262.7	intron	ENSG00000171988.20
chr10	3255	3385	-	ENST00000399262.7	CDS	ENSG00000171988.20
chr10	3385	3486	-	ENST00000399262.7	intron	ENSG00000171988.20
chr10	3486	3576	-	ENST00000399262.7	CDS	ENSG00000171988.20
chr10	3576	3677	-	ENST00000399262.7	intron	ENSG00000171988.20
chr10	3677	3845	-	ENST00000399262.7	CDS	ENSG00000171988.20
chr10	3845	5211	-	ENST00000399262.7	intron	ENSG00000171988.20
chr10	5211	5489	-	ENST00000399262.7	CDS	ENSG00000171988.20
chr10	5489	5594	-	ENST00000399262.7	intron	ENSG00000171988.20
chr10	5594	5808	-	ENST00000399262.7	CDS	ENSG00000171988.20
chr10	5808	5909	-	ENST00000399262.7	intron	ENSG00000171988.20
chr10	5909	6122	-	ENST00000399262.7	CDS	ENSG00000171988.20
chr10	6122	6312	-	ENST00000399262.7	intron	ENSG00000171988.20
chr10	6312	6439	-	ENST00000399262.7	CDS	ENSG00000171988.20
chr10	6439	6545	-	ENST00000399262.7	intron	ENSG00000171988.20
chr10	6545	6634	-	ENST00000399262.7	CDS	ENSG00000171988.20
chr10	6634	6744	-	ENST00000399262.7	intron	ENSG00000171988.20
chr10	6744	6896	-	ENST00000399262.7	CDS	ENSG00000171988.20
chr10	6896	7279	-	ENST00000399262.7	intron	ENSG00000171988.20
chr10	7279	7493	-	ENST00000399262.7	CDS	ENSG00000171988.20
chr10	7493	8540	-	ENST00000399262.7	intron	ENSG00000171988.20
chr10	8540	8741	-	ENST00000399262.7	CDS	ENSG00000171988.20
chr10	8741	8842	-	ENST00000399262.7	intron	ENSG00000171988.20
chr10	8842	11048	-	ENST00000399262.7	CDS	ENSG00000171988.20
chr10	11048	11149	-	ENST00000399262.7	intron	ENSG00000171988.20
chr10	11149	11321	-	ENST00000399262.7	CDS	ENSG00000171988.20
chr10	11321	11422	-	ENST00000399262.7	intron	ENSG00000171988.20
chr10	11422	13100	-	ENST00000399262.7	CDS	ENSG00000171988.20
chr10	13100	13201	-	ENST00000399262.7	intron	ENSG00000171988.20
chr10	13201	13393	-	ENST00000399262.7	CDS	ENSG00000171988.20
chr10	13393	13491	-	ENST00000399262.7	intron	ENSG00000171988.20
chr10	13491	13634	-	ENST00000399262.7	CDS	ENSG00000171988.20
chr10	13634	14620	-	ENST00000399262.7	intron	ENSG00000171988.20
chr10	14620	14744	-	ENST00000399262.7	CDS	ENSG00000171988.20
chr10	14744	14845	-	ENST00000399262.7	intron	ENSG00000171988.20
chr10	14845	14950	-	ENST00000399262.7	CDS	ENSG00000171988.20
chr10	14950	15293	-	ENST00000399262.7	intron	ENSG00000171988.20
chr10	15293	15406	-	ENST00000399262.7	CDS	ENSG00000171988.20
chr10	15406	16424	-	ENST00000399262.7	intron	ENSG00000171988.20
chr10	16424	16588	-	ENST00000399262.7	CDS	ENSG00000171988.20
chr10	16588	16689	-	ENST00000399262.7	intron	ENSG00000171988.20
chr10	16689	16859	-	ENST00000399262.7	CDS	ENSG00000171988.20
chr10	16860	17171	-	ENST00000399262.7	UTR	NA
chr10	145	828	-	ONT10.3164.1012	UTR	NA
chr10	829	915	-	ONT10.3164.1012	CDS	JMJD1C
chr10	915	1016	-	ONT10.3164.1012	intron	JMJD1C
chr10	1016	1147	-	ONT10.3164.1012	CDS	JMJD1C
chr10	1147	1248	-	ONT10.3164.1012	intron	JMJD1C
chr10	1248	1424	-	ONT10.3164.1012	CDS	JMJD1C
chr10	1424	2668	-	ONT10.3164.1012	intron	JMJD1C
chr10	2668	2807	-	ONT10.3164.1012	CDS	JMJD1C
chr10	2807	3028	-	ONT10.3164.1012	intron	JMJD1C
chr10	3028	3150	-	ONT10.3164.1012	CDS	JMJD1C
chr10	3150	3255	-	ONT10.3164.1012	intron	JMJD1C
chr10	3255	3385	-	ONT10.3164.1012	CDS	JMJD1C
chr10	3385	3486	-	ONT10.3164.1012	intron	JMJD1C
chr10	3486	3576	-	ONT10.3164.1012	CDS	JMJD1C
chr10	3576	3677	-	ONT10.3164.1012	intron	JMJD1C
chr10	3677	3838	-	ONT10.3164.1012	CDS	JMJD1C
chr10	3838	5211	-	ONT10.3164.1012	intron	JMJD1C
chr10	5211	5232	-	ONT10.3164.1012	CDS	JMJD1C
chr10	5233	5489	-	ONT10.3164.1012	UTR	NA
chr10	5489	5594	-	ONT10.3164.1012	intron	NA
chr10	5594	5808	-	ONT10.3164.1012	UTR	NA
chr10	5808	5909	-	ONT10.3164.1012	intron	NA
chr10	5909	6011	-	ONT10.3164.1012	UTR	NA
chr10	141	828	-	ONT10.3164.1017	UTR	NA
chr10	829	915	-	ONT10.3164.1017	CDS	JMJD1C
chr10	915	1016	-	ONT10.3164.1017	intron	JMJD1C
chr10	1016	1147	-	ONT10.3164.1017	CDS	JMJD1C
chr10	1147	1248	-	ONT10.3164.1017	intron	JMJD1C
chr10	1248	1424	-	ONT10.3164.1017	CDS	JMJD1C
chr10	1424	2668	-	ONT10.3164.1017	intron	JMJD1C
chr10	2668	2807	-	ONT10.3164.1017	CDS	JMJD1C
chr10	2807	3028	-	ONT10.3164.1017	intron	JMJD1C
chr10	3028	3150	-	ONT10.3164.1017	CDS	JMJD1C
chr10	3150	3255	-	ONT10.3164.1017	intron	JMJD1C
chr10	3255	3385	-	ONT10.3164.1017	CDS	JMJD1C
chr10	3385	3486	-	ONT10.3164.1017	intron	JMJD1C
chr10	3486	3576	-	ONT10.3164.1017	CDS	JMJD1C
chr10	3576	3677	-	ONT10.3164.1017	intron	JMJD1C
chr10	3677	3845	-	ONT10.3164.1017	CDS	JMJD1C
chr10	3845	5211	-	ONT10.3164.1017	intron	JMJD1C
chr10	5211	5489	-	ONT10.3164.1017	CDS	JMJD1C
chr10	5489	5594	-	ONT10.3164.1017	intron	JMJD1C
chr10	5594	5608	-	ONT10.3164.1017	CDS	JMJD1C
chr10	5609	5609	-	ONT10.3164.1017	UTR	NA
