seqnames	start	end	strand	transcript_id	type	gene_id
chr22	460	607	+	ENST00000337539.12	UTR	NA
chr22	607	2031	+	ENST00000337539.12	intron	NA
chr22	2031	2304	+	ENST00000337539.12	UTR	NA
chr22	2305	2636	+	ENST00000337539.12	CDS	ENSG00000128271.22
chr22	2636	2737	+	ENST00000337539.12	intron	ENSG00000128271.22
chr22	2737	3646	+	ENST00000337539.12	CDS	ENSG00000128271.22
chr22	3647	4511	+	ENST00000337539.12	UTR	NA
chr22	2	20	+	ONT22.487.9054	UTR	NA
chr22	20	2031	+	ONT22.487.9054	intron	NA
chr22	2031	2304	+	ONT22.487.9054	UTR	NA
chr22	2305	2636	+	ONT22.487.9054	CDS	ADORA2A
chr22	2636	2737	+	ONT22.487.9054	intron	ADORA2A
chr22	2737	3643	+	ONT22.487.9054	CDS	ADORA2A
chr22	3644	4511	+	ONT22.487.9054	UTR	NA
chr22	23	349	+	ONT22.487.9058	UTR	NA
chr22	349	2031	+	ONT22.487.9058	intron	NA
chr22	2031	2304	+	ONT22.487.9058	UTR	NA
chr22	2305	2636	+	ONT22.487.9058	CDS	ADORA2A
chr22	2636	2737	+	ONT22.487.9058	intron	ADORA2A
chr22	2737	3643	+	ONT22.487.9058	CDS	ADORA2A
chr22	3644	4497	+	ONT22.487.9058	UTR	NA
chr22	23	95	+	ONT22.487.9059	UTR	NA
chr22	96	349	+	ONT22.487.9059	CDS	ADORA2A
chr22	349	2737	+	ONT22.487.9059	intron	ADORA2A
chr22	2737	3643	+	ONT22.487.9059	CDS	ADORA2A
chr22	3644	4502	+	ONT22.487.9059	UTR	NA
chr22	87	349	+	ONT22.487.9064	UTR	NA
chr22	349	2031	+	ONT22.487.9064	intron	NA
chr22	2031	2304	+	ONT22.487.9064	UTR	NA
chr22	2305	2636	+	ONT22.487.9064	CDS	ADORA2A
chr22	2636	2737	+	ONT22.487.9064	intron	ADORA2A
chr22	2737	3643	+	ONT22.487.9064	CDS	ADORA2A
chr22	3644	4497	+	ONT22.487.9064	UTR	NA
chr22	135	349	+	ONT22.487.9067	UTR	NA
chr22	349	2031	+	ONT22.487.9067	intron	NA
chr22	2031	2304	+	ONT22.487.9067	UTR	NA
chr22	2305	2636	+	ONT22.487.9067	CDS	ADORA2A
chr22	2636	2737	+	ONT22.487.9067	intron	ADORA2A
chr22	2737	3643	+	ONT22.487.9067	CDS	ADORA2A
chr22	3644	4514	+	ONT22.487.9067	UTR	NA
chr22	289	349	+	ONT22.487.9068	UTR	NA
chr22	349	2031	+	ONT22.487.9068	intron	NA
chr22	2031	2304	+	ONT22.487.9068	UTR	NA
chr22	2305	2636	+	ONT22.487.9068	CDS	ADORA2A
chr22	2636	2737	+	ONT22.487.9068	intron	ADORA2A
chr22	2737	3643	+	ONT22.487.9068	CDS	ADORA2A
chr22	3644	4508	+	ONT22.487.9068	UTR	NA
chr22	299	359	+	ONT22.487.9075	UTR	NA
chr22	359	2031	+	ONT22.487.9075	intron	NA
chr22	2031	2304	+	ONT22.487.9075	UTR	NA
chr22	2305	2636	+	ONT22.487.9075	CDS	ADORA2A
chr22	2636	2737	+	ONT22.487.9075	intron	ADORA2A
chr22	2737	3643	+	ONT22.487.9075	CDS	ADORA2A
chr22	3644	4511	+	ONT22.487.9075	UTR	NA
chr22	319	359	+	ONT22.487.9078	UTR	NA
chr22	359	2040	+	ONT22.487.9078	intron	NA
chr22	2040	2304	+	ONT22.487.9078	UTR	NA
chr22	2305	2636	+	ONT22.487.9078	CDS	ADORA2A
chr22	2636	2737	+	ONT22.487.9078	intron	ADORA2A
chr22	2737	3643	+	ONT22.487.9078	CDS	ADORA2A
chr22	3644	4508	+	ONT22.487.9078	UTR	NA
chr22	708	1626	+	ONT22.487.9098	UTR	NA
chr22	1626	2031	+	ONT22.487.9098	intron	NA
chr22	2031	2304	+	ONT22.487.9098	UTR	NA
