seqnames	start	end	strand	transcript_id	type	gene_id
chr15	2	1392	-	ENST00000684509.1	UTR	NA
chr15	1393	1503	-	ENST00000684509.1	CDS	ENSG00000214575.10
chr15	1503	1718	-	ENST00000684509.1	intron	ENSG00000214575.10
chr15	1718	1798	-	ENST00000684509.1	CDS	ENSG00000214575.10
chr15	1798	1901	-	ENST00000684509.1	intron	ENSG00000214575.10
chr15	1901	1995	-	ENST00000684509.1	CDS	ENSG00000214575.10
chr15	1995	2179	-	ENST00000684509.1	intron	ENSG00000214575.10
chr15	2179	2377	-	ENST00000684509.1	CDS	ENSG00000214575.10
chr15	2377	2488	-	ENST00000684509.1	intron	ENSG00000214575.10
chr15	2488	2624	-	ENST00000684509.1	CDS	ENSG00000214575.10
chr15	2624	3475	-	ENST00000684509.1	intron	ENSG00000214575.10
chr15	3475	3564	-	ENST00000684509.1	CDS	ENSG00000214575.10
chr15	3564	3665	-	ENST00000684509.1	intron	ENSG00000214575.10
chr15	3665	3778	-	ENST00000684509.1	CDS	ENSG00000214575.10
chr15	3778	3883	-	ENST00000684509.1	intron	ENSG00000214575.10
chr15	3883	4135	-	ENST00000684509.1	CDS	ENSG00000214575.10
chr15	4135	5773	-	ENST00000684509.1	intron	ENSG00000214575.10
chr15	5773	5999	-	ENST00000684509.1	CDS	ENSG00000214575.10
chr15	5999	6279	-	ENST00000684509.1	intron	ENSG00000214575.10
chr15	6279	6467	-	ENST00000684509.1	CDS	ENSG00000214575.10
chr15	6467	7441	-	ENST00000684509.1	intron	ENSG00000214575.10
chr15	7441	7615	-	ENST00000684509.1	CDS	ENSG00000214575.10
chr15	7615	7717	-	ENST00000684509.1	intron	ENSG00000214575.10
chr15	7717	7815	-	ENST00000684509.1	CDS	ENSG00000214575.10
chr15	7816	7909	-	ENST00000684509.1	UTR	NA
chr15	7909	8010	-	ENST00000684509.1	intron	NA
chr15	8010	8236	-	ENST00000684509.1	UTR	NA
chr15	2	1395	-	ONT15.1949.6875	UTR	NA
chr15	1396	1503	-	ONT15.1949.6875	CDS	CPEB1
chr15	1503	1718	-	ONT15.1949.6875	intron	CPEB1
chr15	1718	1798	-	ONT15.1949.6875	CDS	CPEB1
chr15	1798	1901	-	ONT15.1949.6875	intron	CPEB1
chr15	1901	1995	-	ONT15.1949.6875	CDS	CPEB1
chr15	1995	2179	-	ONT15.1949.6875	intron	CPEB1
chr15	2179	2278	-	ONT15.1949.6875	CDS	CPEB1
chr15	2279	2374	-	ONT15.1949.6875	UTR	NA
chr15	2	1395	-	ONT15.1949.6877	UTR	NA
chr15	1396	1503	-	ONT15.1949.6877	CDS	CPEB1
chr15	1503	1718	-	ONT15.1949.6877	intron	CPEB1
chr15	1718	1798	-	ONT15.1949.6877	CDS	CPEB1
chr15	1798	1901	-	ONT15.1949.6877	intron	CPEB1
chr15	1901	1995	-	ONT15.1949.6877	CDS	CPEB1
chr15	1995	2179	-	ONT15.1949.6877	intron	CPEB1
chr15	2179	2377	-	ONT15.1949.6877	CDS	CPEB1
chr15	2377	2488	-	ONT15.1949.6877	intron	CPEB1
chr15	2488	2624	-	ONT15.1949.6877	CDS	CPEB1
chr15	2624	3475	-	ONT15.1949.6877	intron	CPEB1
chr15	3475	3564	-	ONT15.1949.6877	CDS	CPEB1
