seqnames	start	end	strand	transcript_id	type	gene_id
chr12	21	65	+	ENST00000257963.9	UTR	NA
chr12	66	156	+	ENST00000257963.9	CDS	ENSG00000135503.13
chr12	156	258	+	ENST00000257963.9	intron	ENSG00000135503.13
chr12	258	497	+	ENST00000257963.9	CDS	ENSG00000135503.13
chr12	497	599	+	ENST00000257963.9	intron	ENSG00000135503.13
chr12	599	847	+	ENST00000257963.9	CDS	ENSG00000135503.13
chr12	847	2952	+	ENST00000257963.9	intron	ENSG00000135503.13
chr12	2952	3182	+	ENST00000257963.9	CDS	ENSG00000135503.13
chr12	3182	3956	+	ENST00000257963.9	intron	ENSG00000135503.13
chr12	3956	4123	+	ENST00000257963.9	CDS	ENSG00000135503.13
chr12	4123	4232	+	ENST00000257963.9	intron	ENSG00000135503.13
chr12	4232	4388	+	ENST00000257963.9	CDS	ENSG00000135503.13
chr12	4388	5441	+	ENST00000257963.9	intron	ENSG00000135503.13
chr12	5441	5565	+	ENST00000257963.9	CDS	ENSG00000135503.13
chr12	5565	5666	+	ENST00000257963.9	intron	ENSG00000135503.13
chr12	5666	5796	+	ENST00000257963.9	CDS	ENSG00000135503.13
chr12	5796	7704	+	ENST00000257963.9	intron	ENSG00000135503.13
chr12	7704	7832	+	ENST00000257963.9	CDS	ENSG00000135503.13
chr12	7833	10797	+	ENST00000257963.9	UTR	NA
chr12	2	65	+	ONT12.1707.63281	UTR	NA
chr12	66	156	+	ONT12.1707.63281	CDS	ACVR1B
chr12	156	258	+	ONT12.1707.63281	intron	ACVR1B
chr12	258	497	+	ONT12.1707.63281	CDS	ACVR1B
chr12	497	599	+	ONT12.1707.63281	intron	ACVR1B
chr12	599	847	+	ONT12.1707.63281	CDS	ACVR1B
chr12	847	2952	+	ONT12.1707.63281	intron	ACVR1B
chr12	2952	3241	+	ONT12.1707.63281	CDS	ACVR1B
chr12	3242	3855	+	ONT12.1707.63281	UTR	NA
chr12	31	65	+	ONT12.1707.63282	UTR	NA
chr12	66	156	+	ONT12.1707.63282	CDS	ACVR1B
chr12	156	258	+	ONT12.1707.63282	intron	ACVR1B
chr12	258	497	+	ONT12.1707.63282	CDS	ACVR1B
chr12	497	599	+	ONT12.1707.63282	intron	ACVR1B
chr12	599	847	+	ONT12.1707.63282	CDS	ACVR1B
chr12	847	2952	+	ONT12.1707.63282	intron	ACVR1B
chr12	2952	3182	+	ONT12.1707.63282	CDS	ACVR1B
chr12	3182	3956	+	ONT12.1707.63282	intron	ACVR1B
chr12	3956	4123	+	ONT12.1707.63282	CDS	ACVR1B
chr12	4123	4232	+	ONT12.1707.63282	intron	ACVR1B
chr12	4232	4388	+	ONT12.1707.63282	CDS	ACVR1B
chr12	4388	5441	+	ONT12.1707.63282	intron	ACVR1B
chr12	5441	5565	+	ONT12.1707.63282	CDS	ACVR1B
chr12	5565	5666	+	ONT12.1707.63282	intron	ACVR1B
chr12	5666	5796	+	ONT12.1707.63282	CDS	ACVR1B
chr12	5796	7704	+	ONT12.1707.63282	intron	ACVR1B
chr12	7704	7829	+	ONT12.1707.63282	CDS	ACVR1B
chr12	7830	10795	+	ONT12.1707.63282	UTR	NA
chr12	2	65	+	ONT12.1707.63291	UTR	NA
chr12	66	156	+	ONT12.1707.63291	CDS	ACVR1B
chr12	156	258	+	ONT12.1707.63291	intron	ACVR1B
chr12	258	497	+	ONT12.1707.63291	CDS	ACVR1B
chr12	497	599	+	ONT12.1707.63291	intron	ACVR1B
chr12	599	847	+	ONT12.1707.63291	CDS	ACVR1B
chr12	847	5666	+	ONT12.1707.63291	intron	ACVR1B
chr12	5666	5796	+	ONT12.1707.63291	CDS	ACVR1B
chr12	5796	7704	+	ONT12.1707.63291	intron	ACVR1B
chr12	7704	7829	+	ONT12.1707.63291	CDS	ACVR1B
chr12	7830	10793	+	ONT12.1707.63291	UTR	NA
chr12	42	65	+	ONT12.1707.63292	UTR	NA
chr12	66	156	+	ONT12.1707.63292	CDS	ACVR1B
chr12	156	258	+	ONT12.1707.63292	intron	ACVR1B
chr12	258	497	+	ONT12.1707.63292	CDS	ACVR1B
chr12	497	599	+	ONT12.1707.63292	intron	ACVR1B
chr12	599	847	+	ONT12.1707.63292	CDS	ACVR1B
chr12	847	2952	+	ONT12.1707.63292	intron	ACVR1B
chr12	2952	3182	+	ONT12.1707.63292	CDS	ACVR1B
chr12	3182	3956	+	ONT12.1707.63292	intron	ACVR1B
chr12	3956	4123	+	ONT12.1707.63292	CDS	ACVR1B
chr12	4123	4232	+	ONT12.1707.63292	intron	ACVR1B
