seqnames	start	end	strand	transcript_id	type	gene_id
chr5	164	711	-	ENST00000239440.9	UTR	NA
chr5	712	1197	-	ENST00000239440.9	CDS	ENSG00000120318.16
chr5	1197	1298	-	ENST00000239440.9	intron	ENSG00000120318.16
chr5	1298	1336	-	ENST00000239440.9	CDS	ENSG00000120318.16
chr5	1336	1477	-	ENST00000239440.9	intron	ENSG00000120318.16
chr5	1477	1614	-	ENST00000239440.9	CDS	ENSG00000120318.16
chr5	1614	1715	-	ENST00000239440.9	intron	ENSG00000120318.16
chr5	1715	1778	-	ENST00000239440.9	CDS	ENSG00000120318.16
chr5	1778	1879	-	ENST00000239440.9	intron	ENSG00000120318.16
chr5	1879	1914	-	ENST00000239440.9	CDS	ENSG00000120318.16
chr5	1914	2009	-	ENST00000239440.9	intron	ENSG00000120318.16
chr5	2009	2091	-	ENST00000239440.9	CDS	ENSG00000120318.16
chr5	2091	2192	-	ENST00000239440.9	intron	ENSG00000120318.16
chr5	2192	2325	-	ENST00000239440.9	CDS	ENSG00000120318.16
chr5	2325	2406	-	ENST00000239440.9	intron	ENSG00000120318.16
chr5	2406	2534	-	ENST00000239440.9	CDS	ENSG00000120318.16
chr5	2534	2636	-	ENST00000239440.9	intron	ENSG00000120318.16
chr5	2636	2750	-	ENST00000239440.9	CDS	ENSG00000120318.16
chr5	2750	2850	-	ENST00000239440.9	intron	ENSG00000120318.16
chr5	2850	2924	-	ENST00000239440.9	CDS	ENSG00000120318.16
chr5	2924	3027	-	ENST00000239440.9	intron	ENSG00000120318.16
chr5	3027	3095	-	ENST00000239440.9	CDS	ENSG00000120318.16
chr5	3095	3196	-	ENST00000239440.9	intron	ENSG00000120318.16
chr5	3196	3343	-	ENST00000239440.9	CDS	ENSG00000120318.16
chr5	3343	3448	-	ENST00000239440.9	intron	ENSG00000120318.16
chr5	3448	3553	-	ENST00000239440.9	CDS	ENSG00000120318.16
chr5	3553	3807	-	ENST00000239440.9	intron	ENSG00000120318.16
chr5	3807	4019	-	ENST00000239440.9	CDS	ENSG00000120318.16
chr5	4019	4120	-	ENST00000239440.9	intron	ENSG00000120318.16
chr5	4120	4283	-	ENST00000239440.9	CDS	ENSG00000120318.16
chr5	4283	4384	-	ENST00000239440.9	intron	ENSG00000120318.16
chr5	4384	4447	-	ENST00000239440.9	CDS	ENSG00000120318.16
chr5	4447	4548	-	ENST00000239440.9	intron	ENSG00000120318.16
chr5	4548	4767	-	ENST00000239440.9	CDS	ENSG00000120318.16
chr5	4767	4868	-	ENST00000239440.9	intron	ENSG00000120318.16
chr5	4868	4970	-	ENST00000239440.9	CDS	ENSG00000120318.16
chr5	4970	5074	-	ENST00000239440.9	intron	ENSG00000120318.16
chr5	5074	5215	-	ENST00000239440.9	CDS	ENSG00000120318.16
chr5	5215	5316	-	ENST00000239440.9	intron	ENSG00000120318.16
chr5	5316	5432	-	ENST00000239440.9	CDS	ENSG00000120318.16
chr5	5432	5533	-	ENST00000239440.9	intron	ENSG00000120318.16
chr5	5533	5668	-	ENST00000239440.9	CDS	ENSG00000120318.16
chr5	5668	5769	-	ENST00000239440.9	intron	ENSG00000120318.16
chr5	5769	5951	-	ENST00000239440.9	CDS	ENSG00000120318.16
chr5	5951	6052	-	ENST00000239440.9	intron	ENSG00000120318.16
chr5	6052	6137	-	ENST00000239440.9	CDS	ENSG00000120318.16
chr5	6137	6238	-	ENST00000239440.9	intron	ENSG00000120318.16
chr5	6238	6437	-	ENST00000239440.9	CDS	ENSG00000120318.16
chr5	6437	6538	-	ENST00000239440.9	intron	ENSG00000120318.16
chr5	6538	6644	-	ENST00000239440.9	CDS	ENSG00000120318.16
chr5	6644	6727	-	ENST00000239440.9	intron	ENSG00000120318.16
chr5	6727	6911	-	ENST00000239440.9	CDS	ENSG00000120318.16
chr5	6911	6999	-	ENST00000239440.9	intron	ENSG00000120318.16
chr5	6999	7119	-	ENST00000239440.9	CDS	ENSG00000120318.16
chr5	7119	7380	-	ENST00000239440.9	intron	ENSG00000120318.16
chr5	7380	7449	-	ENST00000239440.9	CDS	ENSG00000120318.16
chr5	7449	7551	-	ENST00000239440.9	intron	ENSG00000120318.16
chr5	7551	7754	-	ENST00000239440.9	CDS	ENSG00000120318.16
chr5	7754	8123	-	ENST00000239440.9	intron	ENSG00000120318.16
chr5	8123	8234	-	ENST00000239440.9	CDS	ENSG00000120318.16
chr5	8234	8339	-	ENST00000239440.9	intron	ENSG00000120318.16
chr5	8339	8400	-	ENST00000239440.9	CDS	ENSG00000120318.16
chr5	8400	8501	-	ENST00000239440.9	intron	ENSG00000120318.16
chr5	8501	9027	-	ENST00000239440.9	CDS	ENSG00000120318.16
