seqnames	start	end	strand	transcript_id	type	gene_id
chr9	39	157	+	ENST00000359428.10	UTR	NA
chr9	158	202	+	ENST00000359428.10	CDS	ENSG00000126883.19
chr9	202	311	+	ENST00000359428.10	intron	ENSG00000126883.19
chr9	311	506	+	ENST00000359428.10	CDS	ENSG00000126883.19
chr9	506	607	+	ENST00000359428.10	intron	ENSG00000126883.19
chr9	607	758	+	ENST00000359428.10	CDS	ENSG00000126883.19
chr9	758	859	+	ENST00000359428.10	intron	ENSG00000126883.19
chr9	859	1057	+	ENST00000359428.10	CDS	ENSG00000126883.19
chr9	1057	1401	+	ENST00000359428.10	intron	ENSG00000126883.19
chr9	1401	1471	+	ENST00000359428.10	CDS	ENSG00000126883.19
chr9	1471	1572	+	ENST00000359428.10	intron	ENSG00000126883.19
chr9	1572	1635	+	ENST00000359428.10	CDS	ENSG00000126883.19
chr9	1635	1757	+	ENST00000359428.10	intron	ENSG00000126883.19
chr9	1757	1860	+	ENST00000359428.10	CDS	ENSG00000126883.19
chr9	1860	2484	+	ENST00000359428.10	intron	ENSG00000126883.19
chr9	2484	2590	+	ENST00000359428.10	CDS	ENSG00000126883.19
chr9	2590	3485	+	ENST00000359428.10	intron	ENSG00000126883.19
chr9	3485	3551	+	ENST00000359428.10	CDS	ENSG00000126883.19
chr9	3551	3652	+	ENST00000359428.10	intron	ENSG00000126883.19
chr9	3652	3778	+	ENST00000359428.10	CDS	ENSG00000126883.19
chr9	3778	3879	+	ENST00000359428.10	intron	ENSG00000126883.19
chr9	3879	4040	+	ENST00000359428.10	CDS	ENSG00000126883.19
chr9	4040	4771	+	ENST00000359428.10	intron	ENSG00000126883.19
chr9	4771	5245	+	ENST00000359428.10	CDS	ENSG00000126883.19
chr9	5245	5346	+	ENST00000359428.10	intron	ENSG00000126883.19
chr9	5346	5521	+	ENST00000359428.10	CDS	ENSG00000126883.19
chr9	5521	5625	+	ENST00000359428.10	intron	ENSG00000126883.19
chr9	5625	5719	+	ENST00000359428.10	CDS	ENSG00000126883.19
chr9	5719	5823	+	ENST00000359428.10	intron	ENSG00000126883.19
chr9	5823	5909	+	ENST00000359428.10	CDS	ENSG00000126883.19
chr9	5909	6010	+	ENST00000359428.10	intron	ENSG00000126883.19
chr9	6010	6159	+	ENST00000359428.10	CDS	ENSG00000126883.19
chr9	6159	6260	+	ENST00000359428.10	intron	ENSG00000126883.19
chr9	6260	6418	+	ENST00000359428.10	CDS	ENSG00000126883.19
chr9	6418	6519	+	ENST00000359428.10	intron	ENSG00000126883.19
chr9	6519	6622	+	ENST00000359428.10	CDS	ENSG00000126883.19
chr9	6622	6723	+	ENST00000359428.10	intron	ENSG00000126883.19
chr9	6723	6905	+	ENST00000359428.10	CDS	ENSG00000126883.19
chr9	6905	7009	+	ENST00000359428.10	intron	ENSG00000126883.19
chr9	7009	7094	+	ENST00000359428.10	CDS	ENSG00000126883.19
chr9	7094	7195	+	ENST00000359428.10	intron	ENSG00000126883.19
chr9	7195	7278	+	ENST00000359428.10	CDS	ENSG00000126883.19
chr9	7278	7379	+	ENST00000359428.10	intron	ENSG00000126883.19
chr9	7379	7642	+	ENST00000359428.10	CDS	ENSG00000126883.19
chr9	7642	7749	+	ENST00000359428.10	intron	ENSG00000126883.19
chr9	7749	7910	+	ENST00000359428.10	CDS	ENSG00000126883.19
chr9	7910	8013	+	ENST00000359428.10	intron	ENSG00000126883.19
chr9	8013	8112	+	ENST00000359428.10	CDS	ENSG00000126883.19
chr9	8112	8214	+	ENST00000359428.10	intron	ENSG00000126883.19
chr9	8214	8289	+	ENST00000359428.10	CDS	ENSG00000126883.19
chr9	8289	8390	+	ENST00000359428.10	intron	ENSG00000126883.19
chr9	8390	8468	+	ENST00000359428.10	CDS	ENSG00000126883.19
chr9	8468	8571	+	ENST00000359428.10	intron	ENSG00000126883.19
chr9	8571	8655	+	ENST00000359428.10	CDS	ENSG00000126883.19
chr9	8655	8760	+	ENST00000359428.10	intron	ENSG00000126883.19
chr9	8760	8821	+	ENST00000359428.10	CDS	ENSG00000126883.19
chr9	8821	8922	+	ENST00000359428.10	intron	ENSG00000126883.19
chr9	8922	10721	+	ENST00000359428.10	CDS	ENSG00000126883.19
chr9	10721	10825	+	ENST00000359428.10	intron	ENSG00000126883.19
chr9	10825	10895	+	ENST00000359428.10	CDS	ENSG00000126883.19
chr9	10895	13844	+	ENST00000359428.10	intron	ENSG00000126883.19
chr9	13844	14000	+	ENST00000359428.10	CDS	ENSG00000126883.19
chr9	14000	14101	+	ENST00000359428.10	intron	ENSG00000126883.19
chr9	14101	14253	+	ENST00000359428.10	CDS	ENSG00000126883.19
chr9	14253	14354	+	ENST00000359428.10	intron	ENSG00000126883.19
chr9	14354	14525	+	ENST00000359428.10	CDS	ENSG00000126883.19
chr9	14525	16824	+	ENST00000359428.10	intron	ENSG00000126883.19
chr9	16824	16963	+	ENST00000359428.10	CDS	ENSG00000126883.19
chr9	16963	17089	+	ENST00000359428.10	intron	ENSG00000126883.19
chr9	17089	17113	+	ENST00000359428.10	CDS	ENSG00000126883.19
chr9	17113	17283	+	ENST00000359428.10	intron	ENSG00000126883.19
chr9	17283	17319	+	ENST00000359428.10	CDS	ENSG00000126883.19
chr9	17320	18492	+	ENST00000359428.10	UTR	NA
chr9	2	34	+	ONT9.4948.8083	UTR	NA
chr9	35	202	+	ONT9.4948.8083	CDS	NUP214
chr9	202	311	+	ONT9.4948.8083	intron	NUP214
chr9	311	506	+	ONT9.4948.8083	CDS	NUP214
chr9	506	607	+	ONT9.4948.8083	intron	NUP214
chr9	607	758	+	ONT9.4948.8083	CDS	NUP214
chr9	758	859	+	ONT9.4948.8083	intron	NUP214
chr9	859	1057	+	ONT9.4948.8083	CDS	NUP214
chr9	1057	1401	+	ONT9.4948.8083	intron	NUP214
chr9	1401	1471	+	ONT9.4948.8083	CDS	NUP214
chr9	1471	1572	+	ONT9.4948.8083	intron	NUP214
chr9	1572	1635	+	ONT9.4948.8083	CDS	NUP214
chr9	1635	1757	+	ONT9.4948.8083	intron	NUP214
chr9	1757	1860	+	ONT9.4948.8083	CDS	NUP214
chr9	1860	2484	+	ONT9.4948.8083	intron	NUP214
chr9	2484	2590	+	ONT9.4948.8083	CDS	NUP214
chr9	2590	3485	+	ONT9.4948.8083	intron	NUP214
chr9	3485	3551	+	ONT9.4948.8083	CDS	NUP214
chr9	3551	3652	+	ONT9.4948.8083	intron	NUP214
chr9	3652	3778	+	ONT9.4948.8083	CDS	NUP214
chr9	3778	3879	+	ONT9.4948.8083	intron	NUP214
chr9	3879	4040	+	ONT9.4948.8083	CDS	NUP214
chr9	4040	4771	+	ONT9.4948.8083	intron	NUP214
chr9	4771	5245	+	ONT9.4948.8083	CDS	NUP214
chr9	5245	5379	+	ONT9.4948.8083	intron	NUP214
chr9	5379	5521	+	ONT9.4948.8083	CDS	NUP214
chr9	5521	5625	+	ONT9.4948.8083	intron	NUP214
chr9	5625	5719	+	ONT9.4948.8083	CDS	NUP214
chr9	5719	5823	+	ONT9.4948.8083	intron	NUP214
chr9	5823	5909	+	ONT9.4948.8083	CDS	NUP214
chr9	5909	6010	+	ONT9.4948.8083	intron	NUP214
chr9	6010	6159	+	ONT9.4948.8083	CDS	NUP214
chr9	6159	6260	+	ONT9.4948.8083	intron	NUP214
chr9	6260	6418	+	ONT9.4948.8083	CDS	NUP214
chr9	6418	6519	+	ONT9.4948.8083	intron	NUP214
chr9	6519	6622	+	ONT9.4948.8083	CDS	NUP214
chr9	6622	6723	+	ONT9.4948.8083	intron	NUP214
chr9	6723	6905	+	ONT9.4948.8083	CDS	NUP214
chr9	6905	7009	+	ONT9.4948.8083	intron	NUP214
chr9	7009	7094	+	ONT9.4948.8083	CDS	NUP214
chr9	7094	7195	+	ONT9.4948.8083	intron	NUP214
chr9	7195	7278	+	ONT9.4948.8083	CDS	NUP214
chr9	7278	7379	+	ONT9.4948.8083	intron	NUP214
chr9	7379	7642	+	ONT9.4948.8083	CDS	NUP214
chr9	7642	7749	+	ONT9.4948.8083	intron	NUP214
chr9	7749	7910	+	ONT9.4948.8083	CDS	NUP214
chr9	7910	8013	+	ONT9.4948.8083	intron	NUP214
chr9	8013	8112	+	ONT9.4948.8083	CDS	NUP214
chr9	8112	8214	+	ONT9.4948.8083	intron	NUP214
chr9	8214	8289	+	ONT9.4948.8083	CDS	NUP214
chr9	8289	8390	+	ONT9.4948.8083	intron	NUP214
chr9	8390	8468	+	ONT9.4948.8083	CDS	NUP214
chr9	8468	8571	+	ONT9.4948.8083	intron	NUP214
chr9	8571	8655	+	ONT9.4948.8083	CDS	NUP214
chr9	8655	8760	+	ONT9.4948.8083	intron	NUP214
chr9	8760	8821	+	ONT9.4948.8083	CDS	NUP214
chr9	8821	8922	+	ONT9.4948.8083	intron	NUP214
chr9	8922	10721	+	ONT9.4948.8083	CDS	NUP214
chr9	10721	10825	+	ONT9.4948.8083	intron	NUP214
chr9	10825	10895	+	ONT9.4948.8083	CDS	NUP214
chr9	10895	13844	+	ONT9.4948.8083	intron	NUP214
chr9	13844	14000	+	ONT9.4948.8083	CDS	NUP214
chr9	14000	14101	+	ONT9.4948.8083	intron	NUP214
chr9	14101	14253	+	ONT9.4948.8083	CDS	NUP214
chr9	14253	14354	+	ONT9.4948.8083	intron	NUP214
chr9	14354	14525	+	ONT9.4948.8083	CDS	NUP214
chr9	14525	16824	+	ONT9.4948.8083	intron	NUP214
chr9	16824	16963	+	ONT9.4948.8083	CDS	NUP214
chr9	16963	17089	+	ONT9.4948.8083	intron	NUP214
chr9	17089	17113	+	ONT9.4948.8083	CDS	NUP214
chr9	17113	17283	+	ONT9.4948.8083	intron	NUP214
chr9	17283	17316	+	ONT9.4948.8083	CDS	NUP214
chr9	17317	17533	+	ONT9.4948.8083	UTR	NA
chr9	49	157	+	ONT9.4948.8087	UTR	NA
chr9	158	202	+	ONT9.4948.8087	CDS	NUP214
chr9	202	311	+	ONT9.4948.8087	intron	NUP214
chr9	311	506	+	ONT9.4948.8087	CDS	NUP214
chr9	506	607	+	ONT9.4948.8087	intron	NUP214
chr9	607	758	+	ONT9.4948.8087	CDS	NUP214
chr9	758	859	+	ONT9.4948.8087	intron	NUP214
chr9	859	1057	+	ONT9.4948.8087	CDS	NUP214
chr9	1057	1401	+	ONT9.4948.8087	intron	NUP214
chr9	1401	1471	+	ONT9.4948.8087	CDS	NUP214
chr9	1471	1572	+	ONT9.4948.8087	intron	NUP214
chr9	1572	1635	+	ONT9.4948.8087	CDS	NUP214
chr9	1635	1757	+	ONT9.4948.8087	intron	NUP214
chr9	1757	1911	+	ONT9.4948.8087	CDS	NUP214
chr9	1912	1939	+	ONT9.4948.8087	UTR	NA
chr9	39	157	+	ONT9.4948.8094	UTR	NA
chr9	158	202	+	ONT9.4948.8094	CDS	NUP214
chr9	202	311	+	ONT9.4948.8094	intron	NUP214
chr9	311	506	+	ONT9.4948.8094	CDS	NUP214
chr9	506	607	+	ONT9.4948.8094	intron	NUP214
chr9	607	758	+	ONT9.4948.8094	CDS	NUP214
chr9	758	868	+	ONT9.4948.8094	intron	NUP214
chr9	868	1057	+	ONT9.4948.8094	CDS	NUP214
chr9	1057	1401	+	ONT9.4948.8094	intron	NUP214
chr9	1401	1471	+	ONT9.4948.8094	CDS	NUP214
chr9	1471	1572	+	ONT9.4948.8094	intron	NUP214
chr9	1572	1635	+	ONT9.4948.8094	CDS	NUP214
chr9	1635	1757	+	ONT9.4948.8094	intron	NUP214
chr9	1757	1911	+	ONT9.4948.8094	CDS	NUP214
chr9	1912	1938	+	ONT9.4948.8094	UTR	NA
chr9	39	157	+	ONT9.4948.8102	UTR	NA
chr9	158	202	+	ONT9.4948.8102	CDS	NUP214
chr9	202	311	+	ONT9.4948.8102	intron	NUP214
chr9	311	506	+	ONT9.4948.8102	CDS	NUP214
chr9	506	607	+	ONT9.4948.8102	intron	NUP214
chr9	607	758	+	ONT9.4948.8102	CDS	NUP214
chr9	758	859	+	ONT9.4948.8102	intron	NUP214
chr9	859	1057	+	ONT9.4948.8102	CDS	NUP214
chr9	1057	1401	+	ONT9.4948.8102	intron	NUP214
chr9	1401	1471	+	ONT9.4948.8102	CDS	NUP214
chr9	1471	1572	+	ONT9.4948.8102	intron	NUP214
chr9	1572	1635	+	ONT9.4948.8102	CDS	NUP214
chr9	1635	1757	+	ONT9.4948.8102	intron	NUP214
chr9	1757	1860	+	ONT9.4948.8102	CDS	NUP214
chr9	1860	2484	+	ONT9.4948.8102	intron	NUP214
chr9	2484	2590	+	ONT9.4948.8102	CDS	NUP214
chr9	2590	3485	+	ONT9.4948.8102	intron	NUP214
chr9	3485	3551	+	ONT9.4948.8102	CDS	NUP214
chr9	3551	3652	+	ONT9.4948.8102	intron	NUP214
chr9	3652	3778	+	ONT9.4948.8102	CDS	NUP214
chr9	3778	3879	+	ONT9.4948.8102	intron	NUP214
chr9	3879	4040	+	ONT9.4948.8102	CDS	NUP214
chr9	4040	4771	+	ONT9.4948.8102	intron	NUP214
chr9	4771	5245	+	ONT9.4948.8102	CDS	NUP214
chr9	5245	5346	+	ONT9.4948.8102	intron	NUP214
chr9	5346	5521	+	ONT9.4948.8102	CDS	NUP214
chr9	5521	5625	+	ONT9.4948.8102	intron	NUP214
chr9	5625	5719	+	ONT9.4948.8102	CDS	NUP214
chr9	5719	5823	+	ONT9.4948.8102	intron	NUP214
chr9	5823	5909	+	ONT9.4948.8102	CDS	NUP214
chr9	5909	6010	+	ONT9.4948.8102	intron	NUP214
chr9	6010	6159	+	ONT9.4948.8102	CDS	NUP214
chr9	6159	6260	+	ONT9.4948.8102	intron	NUP214
chr9	6260	6418	+	ONT9.4948.8102	CDS	NUP214
chr9	6418	6519	+	ONT9.4948.8102	intron	NUP214
chr9	6519	6622	+	ONT9.4948.8102	CDS	NUP214
chr9	6622	6723	+	ONT9.4948.8102	intron	NUP214
chr9	6723	6905	+	ONT9.4948.8102	CDS	NUP214
chr9	6905	7009	+	ONT9.4948.8102	intron	NUP214
chr9	7009	7094	+	ONT9.4948.8102	CDS	NUP214
chr9	7094	7195	+	ONT9.4948.8102	intron	NUP214
chr9	7195	7278	+	ONT9.4948.8102	CDS	NUP214
chr9	7278	7379	+	ONT9.4948.8102	intron	NUP214
chr9	7379	7642	+	ONT9.4948.8102	CDS	NUP214
chr9	7642	7749	+	ONT9.4948.8102	intron	NUP214
chr9	7749	7910	+	ONT9.4948.8102	CDS	NUP214
chr9	7910	8013	+	ONT9.4948.8102	intron	NUP214
chr9	8013	8112	+	ONT9.4948.8102	CDS	NUP214
chr9	8112	8214	+	ONT9.4948.8102	intron	NUP214
chr9	8214	8289	+	ONT9.4948.8102	CDS	NUP214
chr9	8289	8390	+	ONT9.4948.8102	intron	NUP214
chr9	8390	8468	+	ONT9.4948.8102	CDS	NUP214
chr9	8468	8571	+	ONT9.4948.8102	intron	NUP214
chr9	8571	8659	+	ONT9.4948.8102	CDS	NUP214
chr9	8659	8760	+	ONT9.4948.8102	intron	NUP214
chr9	8760	8771	+	ONT9.4948.8102	CDS	NUP214
chr9	8772	8821	+	ONT9.4948.8102	UTR	NA
chr9	8821	8922	+	ONT9.4948.8102	intron	NA
chr9	8922	10721	+	ONT9.4948.8102	UTR	NA
chr9	10721	10825	+	ONT9.4948.8102	intron	NA
chr9	10825	10895	+	ONT9.4948.8102	UTR	NA
chr9	10895	13844	+	ONT9.4948.8102	intron	NA
chr9	13844	14000	+	ONT9.4948.8102	UTR	NA
chr9	14000	14101	+	ONT9.4948.8102	intron	NA
chr9	14101	14253	+	ONT9.4948.8102	UTR	NA
chr9	14253	14354	+	ONT9.4948.8102	intron	NA
chr9	14354	14525	+	ONT9.4948.8102	UTR	NA
chr9	14525	16824	+	ONT9.4948.8102	intron	NA
chr9	16824	16963	+	ONT9.4948.8102	UTR	NA
chr9	16963	17089	+	ONT9.4948.8102	intron	NA
chr9	17089	17113	+	ONT9.4948.8102	UTR	NA
chr9	17113	17283	+	ONT9.4948.8102	intron	NA
chr9	17283	18497	+	ONT9.4948.8102	UTR	NA
chr9	39	157	+	ONT9.4948.8106	UTR	NA
chr9	158	202	+	ONT9.4948.8106	CDS	NUP214
chr9	202	311	+	ONT9.4948.8106	intron	NUP214
chr9	311	506	+	ONT9.4948.8106	CDS	NUP214
chr9	506	607	+	ONT9.4948.8106	intron	NUP214
chr9	607	758	+	ONT9.4948.8106	CDS	NUP214
chr9	758	859	+	ONT9.4948.8106	intron	NUP214
chr9	859	1057	+	ONT9.4948.8106	CDS	NUP214
chr9	1057	1401	+	ONT9.4948.8106	intron	NUP214
chr9	1401	1471	+	ONT9.4948.8106	CDS	NUP214
chr9	1471	1572	+	ONT9.4948.8106	intron	NUP214
chr9	1572	1635	+	ONT9.4948.8106	CDS	NUP214
chr9	1635	1757	+	ONT9.4948.8106	intron	NUP214
chr9	1757	1860	+	ONT9.4948.8106	CDS	NUP214
chr9	1860	2484	+	ONT9.4948.8106	intron	NUP214
chr9	2484	2590	+	ONT9.4948.8106	CDS	NUP214
chr9	2590	3485	+	ONT9.4948.8106	intron	NUP214
chr9	3485	3551	+	ONT9.4948.8106	CDS	NUP214
chr9	3551	3652	+	ONT9.4948.8106	intron	NUP214
chr9	3652	3778	+	ONT9.4948.8106	CDS	NUP214
chr9	3778	3879	+	ONT9.4948.8106	intron	NUP214
chr9	3879	4040	+	ONT9.4948.8106	CDS	NUP214
chr9	4040	4771	+	ONT9.4948.8106	intron	NUP214
chr9	4771	5245	+	ONT9.4948.8106	CDS	NUP214
